,CD5L (922)
ACH-000004,-0.122381648639
ACH-000007,-0.0444375492513
ACH-000009,-0.298062087538
ACH-000011,-0.187959377403
ACH-000012,-0.213455247638
ACH-000013,-0.114166117748
ACH-000014,-0.32413262941599996
ACH-000015,-0.227663169549
ACH-000017,-0.030399370756700003
ACH-000018,-0.022830446826
ACH-000019,-0.17678833252599999
ACH-000021,-0.134220193344
ACH-000022,-0.07303703768360001
ACH-000025,-0.30780311671300004
ACH-000028,-0.085778293799
ACH-000030,-0.116870812225
ACH-000035,-0.190220623107
ACH-000036,0.0417743431941
ACH-000037,0.0657394428214
ACH-000039,-0.220722788218
ACH-000040,-0.209712905887
ACH-000041,-0.156464961219
ACH-000042,-0.05070324099330001
ACH-000045,-0.0635002770573
ACH-000047,-0.154502188501
ACH-000052,-0.184169330922
ACH-000053,-0.214377214166
ACH-000054,0.00653147869734
ACH-000055,-0.23454900633499998
ACH-000060,-0.165120408208
ACH-000067,-0.0490852621668
ACH-000070,-0.329716872325
ACH-000075,-0.103833076257
ACH-000078,-0.255024052837
ACH-000082,-0.22077778011799998
ACH-000085,-0.141931646844
ACH-000086,-0.261580984695
ACH-000087,-0.162191601625
ACH-000092,-0.20469535854
ACH-000095,-0.186791317385
ACH-000097,-0.096232615552
ACH-000098,-0.18497656951400002
ACH-000099,-0.0678737829204
ACH-000108,-0.140399146522
ACH-000113,-0.170965366364
ACH-000115,0.08242237185569999
ACH-000116,-0.0224445411069
ACH-000118,-0.10609899574
ACH-000120,-0.0939377518299
ACH-000123,-0.137776317511
ACH-000127,-0.200354058224
ACH-000128,-0.0175885193767
ACH-000132,-0.197440229153
ACH-000133,-0.19780105971200002
ACH-000137,-0.162685108366
ACH-000138,-0.146071034159
ACH-000142,-0.07001739379119999
ACH-000143,-0.165742982426
ACH-000146,-0.1034281764
ACH-000148,-0.188786023822
ACH-000150,-0.13322588511800001
ACH-000152,-0.042560639692799995
ACH-000153,-0.172792556234
ACH-000159,-0.250426852768
ACH-000160,0.0644997602694
ACH-000163,-0.279535812408
ACH-000167,-0.0929826040571
ACH-000168,-0.075587680267
ACH-000169,-0.14739859737299998
ACH-000178,-0.110266476522
ACH-000182,-0.149007719634
ACH-000183,-0.345922834466
ACH-000188,-0.08280957337610001
ACH-000189,-0.350606740822
ACH-000190,-0.0581647737256
ACH-000198,-0.0904414287751
ACH-000204,-0.26856398251999997
ACH-000206,-0.050914890489800003
ACH-000207,0.053962020755699995
ACH-000211,-0.0834237687778
ACH-000215,-0.132160881357
ACH-000221,-0.24158516364
ACH-000222,-0.059858593560800005
ACH-000223,-0.201689445974
ACH-000226,-0.216639542002
ACH-000227,-0.028266547253099995
ACH-000228,-0.213048005218
ACH-000231,-0.11728190457800002
ACH-000232,-0.294803434599
ACH-000233,-0.14935558829099999
ACH-000234,-0.10797199969
ACH-000235,-0.155515460474
ACH-000237,-0.181338849315
ACH-000238,-0.109534311191
ACH-000243,-0.15338068268
ACH-000244,-0.135751298148
ACH-000246,-0.170580861516
ACH-000248,-0.191072334527
ACH-000250,-0.163708184684
ACH-000251,-0.530032107819
ACH-000253,-0.0888591124969
ACH-000255,-0.16972284351599998
ACH-000256,-0.0791830375854
ACH-000257,-0.149569750717
