,PABPN1 (8106)
ACH-000004,-1.2142962342899999
ACH-000007,-1.17071593426
ACH-000009,-1.11557767245
ACH-000011,-1.31103658676
ACH-000012,-1.2171215372
ACH-000013,-1.3391551558700001
ACH-000014,-1.5286733559299999
ACH-000015,-0.768475785407
ACH-000017,-1.63752414557
ACH-000018,-0.905032150215
ACH-000019,-0.838186953511
ACH-000021,-0.9569366658239999
ACH-000022,-1.3818271432499998
ACH-000025,-1.59485955546
ACH-000028,-1.13372378796
ACH-000030,-1.1293712681299999
ACH-000035,-1.46346526315
ACH-000036,-1.33929446693
ACH-000037,-2.23128058119
ACH-000039,-1.2197987972700002
ACH-000040,-1.62392078489
ACH-000041,-1.23099893671
ACH-000042,-1.06192522056
ACH-000045,-1.38280262282
ACH-000047,-1.4860228089200003
ACH-000052,-1.06619290262
ACH-000053,-1.00109706539
ACH-000054,-1.17509975296
ACH-000055,-1.29151879987
ACH-000060,-1.47789763604
ACH-000067,-1.3905411045299998
ACH-000070,-1.4786777005399998
ACH-000075,-1.5450851642399999
ACH-000078,-1.28613164011
ACH-000082,-1.4804511650499999
ACH-000085,-1.19189752082
ACH-000086,-1.17040027225
ACH-000087,-1.19652736696
ACH-000092,-1.58485686685
ACH-000095,-1.0735079629200002
ACH-000097,-1.2155534434200002
ACH-000098,-1.3064947787799999
ACH-000099,-1.07377795228
ACH-000108,-1.33781527299
ACH-000113,-1.3464798937
ACH-000115,-0.9745351979469999
ACH-000116,-1.03947156881
ACH-000118,-1.1496379545200002
ACH-000120,-0.958285100786
ACH-000123,-1.16429587818
ACH-000127,-1.0469065347600002
ACH-000128,-1.27766516748
ACH-000132,-1.4010333001
ACH-000133,-0.9764864525
ACH-000137,-1.3128736100299998
ACH-000138,-0.819790226707
ACH-000142,-1.04380859445
ACH-000143,-1.13610923051
ACH-000146,-1.0645938677700002
ACH-000148,-1.09827931391
ACH-000150,-1.12753264557
ACH-000152,-1.21547107206
ACH-000153,-1.61856197881
ACH-000159,-1.36725861311
ACH-000160,-0.555544559701
ACH-000163,-1.33690899316
ACH-000167,-0.979922373757
ACH-000168,-1.6660804783399998
ACH-000169,-1.35851074461
ACH-000178,-1.2879581293
ACH-000182,-1.0
ACH-000183,-1.55473993301
ACH-000188,-0.871387690464
ACH-000189,-1.6145011151800002
ACH-000190,-0.9861497023289999
ACH-000198,-1.4255986918999999
ACH-000204,-1.86415684849
ACH-000206,-1.60428533882
ACH-000207,-0.545938102409
ACH-000211,-1.40037160437
ACH-000215,-1.25948065575
ACH-000221,-0.9550418304549999
ACH-000222,-1.20748559391
ACH-000223,-1.0648497215100001
ACH-000226,-1.51787142322
ACH-000227,-0.5989016950230001
ACH-000228,-1.31779857597
ACH-000231,-1.03843416329
ACH-000232,-1.2531903393100001
ACH-000233,-0.994304850949
ACH-000234,-1.80345060944
ACH-000235,-1.1899711668600002
ACH-000237,-0.7607654756159999
ACH-000238,-1.04773990271
ACH-000243,-1.07322107945
ACH-000244,-1.20832210064
ACH-000246,-1.24509287354
ACH-000248,-1.43364958794
ACH-000250,-1.3751718042899999
ACH-000251,-1.51469485278
ACH-000253,-1.40729889206
ACH-000255,-1.06258806063
ACH-000256,-1.54883025705
ACH-000257,-1.06550870639
ACH-000258,-1.10441684752
ACH-000259,-0.965277200955
ACH-000260,-1.20167575977
ACH-000261,-1.22971359944
ACH-000262,-1.1915943068500001
ACH-000263,-1.13660860234
ACH-000264,-0.8747762396050001
ACH-000265,-1.0613947697600001
ACH-000266,-0.95773541014
ACH-000272,-1.30959737681
ACH-000273,-1.1544781343200001
ACH-000274,-1.09762330569
ACH-000277,-1.11313770705
ACH-000278,-1.29308297121
ACH-000279,-1.24701567766
ACH-000280,-0.749842949163
ACH-000281,-1.2833895619600002
ACH-000288,-1.00129369198
ACH-000291,-1.3789228655899999
ACH-000293,-1.2729753760200002
ACH-000294,-1.35462181688
ACH-000295,-0.97413570013
ACH-000296,-1.46688617551
ACH-000302,-1.1041326178
ACH-000304,-0.7733871437309999
ACH-000307,-1.24023580071
ACH-000308,-1.3357306721200002
ACH-000310,-0.632548589138
ACH-000311,-1.04376248311
ACH-000312,-0.8958244465440001
ACH-000315,-1.36679126119
ACH-000316,-1.24418967374
ACH-000317,-1.3882308687399998
ACH-000318,-1.10899295064
ACH-000319,-1.09879204812
ACH-000320,-0.727377461127
ACH-000322,-1.18023970002
ACH-000323,-1.30411572594
ACH-000324,-1.2163161796700002
ACH-000329,-1.18295240994
ACH-000330,-1.4605857496399999
ACH-000331,-1.38363853681
ACH-000332,-1.0
ACH-000334,-1.6510779166499998
ACH-000335,-0.9859012646200002
ACH-000336,-1.30370207577
ACH-000337,-1.21941255625
ACH-000339,-1.08857060741
ACH-000341,-1.17670669293
ACH-000348,-1.5760573045800002
ACH-000350,-1.0261823085
ACH-000352,-1.18107605876
ACH-000356,-1.18959679535
ACH-000361,-1.21230249229
ACH-000362,-1.4561913472699999
ACH-000363,-1.4681410458000002
ACH-000364,-0.9972169266169999
ACH-000365,-1.5166218214700002
ACH-000366,-1.11698755815
ACH-000368,-1.2583030986200001
ACH-000374,-1.02317469519
