,ASAH2B (653308)
ACH-000004,-0.0397962035954
ACH-000007,-0.226903143145
ACH-000009,-0.04057437801680001
ACH-000011,-0.264349243142
ACH-000012,-0.182966530425
ACH-000013,-0.176499086144
ACH-000014,-0.23725973389600002
ACH-000015,-0.17442611562
ACH-000017,-0.0293267547368
ACH-000018,-0.41516779351899996
ACH-000019,-0.236309056087
ACH-000021,-0.149910795437
ACH-000022,-0.305311603993
ACH-000025,-0.11966268758700001
ACH-000028,-0.064367964083
ACH-000030,-0.26117505646600003
ACH-000035,-0.17006368393100002
ACH-000036,-0.04453918372830001
ACH-000037,-0.07311852050539999
ACH-000039,-0.0022572535876900003
ACH-000040,-0.125973475458
ACH-000041,-0.011012574395099999
ACH-000042,-0.0486288997542
ACH-000045,-0.31837386640099996
ACH-000047,-0.257532329458
ACH-000052,-0.011920774287700001
ACH-000053,-0.15248517729
ACH-000054,-0.12036830345
ACH-000055,-0.171317830845
ACH-000060,-0.18523161466200003
ACH-000067,-0.17755162859700002
ACH-000070,-0.151282628088
ACH-000075,-0.2713224479
ACH-000078,-0.155939122155
ACH-000082,-0.249868181216
ACH-000085,-0.159239449915
ACH-000086,-0.322131394038
ACH-000087,-0.20892645052499997
ACH-000092,-0.139919587439
ACH-000095,-0.200285945286
ACH-000097,-0.11748471417300001
ACH-000098,-0.306687935827
ACH-000099,-0.13531887087400002
ACH-000108,-0.207945118604
ACH-000113,-0.20276264381099998
ACH-000115,-0.0212553133162
ACH-000116,-0.263723826644
ACH-000118,-0.17616027822799998
ACH-000120,-0.288401027429
ACH-000123,-0.116025132028
ACH-000127,-0.147918451074
ACH-000128,-0.125299344567
ACH-000132,-0.235062184679
ACH-000133,-0.343300950051
ACH-000137,-0.16963463450599997
ACH-000138,-0.11713734466499999
ACH-000142,-0.14700754984
ACH-000143,-0.12212094074
ACH-000146,-0.101551631071
ACH-000148,-0.372616760858
ACH-000150,-0.20035219238
ACH-000152,-0.167195349057
ACH-000153,-0.163178966003
ACH-000159,-0.200839596096
ACH-000160,-0.328807934722
ACH-000163,-0.227367187868
ACH-000167,-0.320669061197
ACH-000168,-0.123643419995
ACH-000169,-0.168057406288
ACH-000178,-0.113021605707
ACH-000182,-0.326643885288
ACH-000183,-0.23404018346500002
ACH-000188,-0.245893335934
ACH-000189,0.161490293428
