,SLC35F2 (54733)
ACH-000004,0.120345791863
ACH-000007,-0.107648118258
ACH-000009,-0.33647832681100004
ACH-000011,-0.20225923232299997
ACH-000012,-0.06709948130509999
ACH-000013,-0.203441772337
ACH-000014,-0.376715047481
ACH-000015,-0.27856383314
ACH-000017,-0.131834567634
ACH-000018,-0.253580179229
ACH-000019,-0.074503590425
ACH-000021,-0.0792630578752
ACH-000022,-0.19437083644
ACH-000025,-0.22930256766100002
ACH-000028,-0.176637579756
ACH-000030,-0.167615495945
ACH-000035,-0.0901533127046
ACH-000036,0.0148996336335
ACH-000037,-0.0690396786263
ACH-000039,-0.08888855840639999
ACH-000040,-0.334541595737
ACH-000041,-0.19781576228199999
ACH-000042,-0.0478341221291
ACH-000045,-0.09167894128589998
ACH-000047,-0.139461893525
ACH-000052,-0.114467762828
ACH-000053,-0.167277339005
ACH-000054,-0.292948567841
ACH-000055,0.015564126975399998
ACH-000060,-0.24211111663100002
ACH-000067,-0.124285912206
ACH-000070,-0.155225064188
ACH-000075,-0.219771593896
ACH-000078,-0.234425114401
ACH-000082,-0.16371295548599998
ACH-000085,-0.235174963724
ACH-000086,-0.21489442901
ACH-000087,-0.33824264649499997
ACH-000092,-0.272008004921
ACH-000095,-0.251258342251
ACH-000097,-0.162433027246
ACH-000098,-0.220006616282
ACH-000099,-0.21967035528
ACH-000108,-0.0675666904767
ACH-000113,-0.0851969212102
ACH-000115,-0.514081254312
ACH-000116,-0.330312053544
ACH-000118,-0.142152737031
ACH-000120,0.141158785691
ACH-000123,-0.246143680477
ACH-000127,-0.041111200558899996
ACH-000128,0.08099186365710001
ACH-000132,-0.24652840839200002
ACH-000133,-0.170854411533
ACH-000137,-0.442797210216
ACH-000138,-0.179207493631
ACH-000142,-0.09170340242889999
ACH-000143,-0.14890639259400001
ACH-000146,-0.193008117816
ACH-000148,-0.198327295765
ACH-000150,-0.161200583014
ACH-000152,-0.128856634305
ACH-000153,-0.258300237027
ACH-000159,-0.26642144105099996
ACH-000160,-0.289752585294
ACH-000163,-0.11550830177200001
ACH-000167,-0.62987690277
ACH-000168,-0.00855598983824
ACH-000169,-0.29098081510400003
ACH-000178,-0.08747681330630001
ACH-000182,-0.005963768993770001
ACH-000183,-0.167184718043
ACH-000188,-0.19543051549100002
ACH-000189,-0.19980697559900001
ACH-000190,-0.608639120776
ACH-000198,-0.1339233103
ACH-000204,-0.400695229669
ACH-000206,-0.193141770806
ACH-000207,-0.267827265241
ACH-000211,-0.22955132786
ACH-000215,-0.110546767425
ACH-000221,0.0277014271241
ACH-000222,-0.189106924167
ACH-000223,-0.060640420125599996
ACH-000226,-0.236979106983
ACH-000227,-0.267920459736
ACH-000228,-0.249228276785
ACH-000231,-0.16384807059599998
ACH-000232,-0.262040051588
ACH-000233,-0.207264143996
ACH-000234,-0.35267364088299996
ACH-000235,-0.05009835507259999
ACH-000237,-0.330698867688
ACH-000238,-0.232593608656
ACH-000243,-0.05759433164990001
ACH-000244,0.0119333114215
ACH-000246,-0.0658518869684
ACH-000248,-0.372260955903
ACH-000250,-0.169519020782
ACH-000251,-0.0712410649853
ACH-000253,-0.166490589462
ACH-000255,-0.00868108818696
ACH-000256,-0.208064605015
ACH-000257,-0.045369394991800004
ACH-000258,0.095304414234
ACH-000259,-0.212445759388
ACH-000260,-0.288723832482
ACH-000261,-0.102008022142
