,MEF2D (4209)
ACH-000004,0.102066034211
ACH-000007,0.0561339342515
ACH-000009,-0.289990993442
ACH-000011,-0.0445242648173
ACH-000012,-0.0525973935635
ACH-000013,-0.220478888864
ACH-000014,-0.123741568136
ACH-000015,-0.0995416315031
ACH-000017,-0.12314026461500001
ACH-000018,-0.138093749824
ACH-000019,-0.0205679406515
ACH-000021,-0.256537924868
ACH-000022,-0.147644391899
ACH-000025,-0.15986165693600002
ACH-000028,-0.0810840836752
ACH-000030,0.0837085829534
ACH-000035,-0.189992094909
ACH-000036,-0.0660486240424
ACH-000037,-0.113711745162
ACH-000039,-0.259211807645
ACH-000040,0.044901282644499996
ACH-000041,-0.0694836804447
ACH-000042,-0.271125933819
ACH-000045,-0.7876890390160001
ACH-000047,-0.13656661855
ACH-000052,-0.171970863105
ACH-000053,-0.0307343817067
ACH-000054,-0.22081827337499998
ACH-000055,-0.12875517269200001
ACH-000060,-0.044846428148300005
ACH-000067,0.0461239691055
ACH-000070,-0.25233631885
ACH-000075,0.0630424845691
ACH-000078,-0.0408607602191
ACH-000082,-0.08457130094660001
ACH-000085,-0.0684989689357
ACH-000086,-0.336877060764
ACH-000087,-0.135684313704
ACH-000092,-0.22319518914500003
ACH-000095,-0.17422521696600002
ACH-000097,-0.0490008345582
ACH-000098,-0.0286179920626
ACH-000099,0.035677347627
ACH-000108,-0.297552022129
ACH-000113,-0.8492094483470001
ACH-000115,-0.228591647713
ACH-000116,-0.170111715596
ACH-000118,-0.0670326717552
ACH-000120,-0.0569064871258
ACH-000123,0.0392418623726
ACH-000127,0.09992406991800001
ACH-000128,0.00141979554087
ACH-000132,-0.152555942139
ACH-000133,-0.161683576143
ACH-000137,0.038670807336
ACH-000138,-0.0454745323731
ACH-000142,-0.190032467612
ACH-000143,0.00362955627697
ACH-000146,-1.2724225384999999
ACH-000148,-0.00688677094213
ACH-000150,-0.12514598784800002
ACH-000152,0.0406991182545
ACH-000153,-0.14138745462000002
ACH-000159,-0.338379154951
ACH-000160,-0.0626374150292
ACH-000163,-0.209372887093
ACH-000167,0.0541518140589
ACH-000168,0.17399575613899998
ACH-000169,0.267310994066
ACH-000178,0.0674017511663
ACH-000182,-0.18913020219999999
ACH-000183,-0.196079598878
ACH-000188,0.0054453182944
ACH-000189,-0.291608187597
ACH-000190,-0.06757224074
ACH-000198,-1.1358241062999999
ACH-000204,-0.301700171278
ACH-000206,0.26997357116099996
ACH-000207,-0.0713756670265
ACH-000211,-0.0771722433487
ACH-000215,-0.133266601711
ACH-000221,-0.022087280304700002
ACH-000222,-0.303045124135
ACH-000223,-0.0751896405745
ACH-000226,0.0418486069499
ACH-000227,-0.055017973705
ACH-000228,-0.253716216751
ACH-000231,-0.0372115698735
ACH-000232,0.07935776355160001
ACH-000233,0.030682365077
ACH-000234,-0.0825787245235
ACH-000235,-0.396639691245
ACH-000237,-0.130645201896
ACH-000238,0.029310228270200002
ACH-000243,0.0701924867305
ACH-000244,0.05843021203530001
ACH-000246,-0.180173606754
ACH-000248,-0.185617115906
ACH-000250,-0.0221763677539
ACH-000251,-0.323661304767
ACH-000253,-0.0789367865673
ACH-000255,-0.37445368552
ACH-000256,-0.0853278890676
ACH-000257,0.0915012988715
ACH-000258,-0.338715823449
ACH-000259,-0.134807001503
ACH-000260,-0.171248723055
ACH-000261,-0.0283520226497
ACH-000262,-0.220911995524
ACH-000263,-0.24110500772799998
ACH-000264,-0.37298295110299995
ACH-000265,-0.0419832280775
ACH-000266,-0.143754333052
ACH-000272,-0.325830310718
ACH-000273,-0.125232692455
ACH-000274,0.0940594952693
ACH-000277,0.304859450682
ACH-000278,-0.12048266749299999
ACH-000279,0.00816760598661
ACH-000280,-0.24648812706700002
ACH-000281,-0.22736642854000003
ACH-000288,-0.20065829635899998
ACH-000291,-0.0383651405938
ACH-000293,-0.059796726015999994
ACH-000294,0.060777287133099996
ACH-000295,-0.00822337476252
ACH-000296,-0.445454449238
ACH-000302,-0.338043346144
ACH-000304,-0.23873412240800002
ACH-000307,-0.227733674571
ACH-000308,-0.234306304948
ACH-000310,-0.20841947228
ACH-000311,-0.33479985621999997
ACH-000312,-0.12409117754799999
ACH-000315,-0.0304588679727
ACH-000316,-0.106732209453
ACH-000317,-0.20138395450899998
ACH-000318,-0.17566477759399998
ACH-000319,-0.0167424128124
ACH-000320,-0.11683609766599999
ACH-000322,0.100366298498
ACH-000323,-0.0984126286341
ACH-000324,-0.0459163438007
ACH-000329,-0.0692818620907
ACH-000330,-0.0254938161811
ACH-000331,0.17108161777
ACH-000332,-0.133661219616
ACH-000334,0.005020513928720001
