,PDGFRA (5156)
ACH-000004,-0.23745565717099998
ACH-000007,-0.133466235326
ACH-000009,-0.317011271969
ACH-000011,-0.115750916155
ACH-000012,-0.231476175623
ACH-000013,0.0782339993858
ACH-000014,-0.141375471004
ACH-000015,-0.330396565678
ACH-000017,-0.283398814532
ACH-000018,-0.495906303306
ACH-000019,-0.33666006971699997
ACH-000021,-0.540550388885
ACH-000022,-0.322785370771
ACH-000025,-0.170752119329
ACH-000028,-0.45680167573200003
ACH-000030,-0.229879510291
ACH-000035,-0.295240618256
ACH-000036,-0.943151680202
ACH-000037,-0.520979258929
ACH-000039,-0.318422774393
ACH-000040,-0.847501648232
ACH-000041,-0.314069605556
ACH-000042,-0.17462879758000002
ACH-000045,-0.22736478070399999
ACH-000047,-0.34524905964100006
ACH-000052,-0.18737040954300002
ACH-000053,-0.231429331271
ACH-000054,-0.26086100763000003
ACH-000055,-0.0909749536487
ACH-000060,-0.457211752196
ACH-000067,-0.44247029064599996
ACH-000070,-0.080502328542
ACH-000075,-0.156708983442
ACH-000078,-0.204906708296
ACH-000082,-0.43885713166699997
ACH-000085,-0.0372478934969
ACH-000086,-0.03959981643030001
ACH-000087,0.136679466156
ACH-000092,-0.227637377072
ACH-000095,-0.120416659975
ACH-000097,-0.19400770327199998
ACH-000098,-0.269411296353
ACH-000099,-0.24757854173500002
ACH-000108,-0.225808112144
ACH-000113,-0.346770539917
ACH-000115,-0.204013367976
ACH-000116,-0.25734521316500003
ACH-000118,-0.15405602703
ACH-000120,-0.068038902149
ACH-000123,-0.215992922909
ACH-000127,-0.371473307882
ACH-000128,-0.30361347069600003
ACH-000132,-0.22129081266999998
ACH-000133,-0.356711263794
ACH-000137,-0.21756942911899999
ACH-000138,-0.061070999808700004
ACH-000142,-0.334498088152
ACH-000143,-0.347751577533
ACH-000146,-0.266701871064
ACH-000148,-0.49688076034699996
ACH-000150,-0.4795296797
ACH-000152,-0.26038687615
ACH-000153,-0.271881837957
ACH-000159,-0.0887628755402
ACH-000160,-0.258271043292
ACH-000163,-1.3809717432700002
ACH-000167,-0.278422005779
ACH-000168,-0.359107022129
ACH-000169,-0.0711707128459
ACH-000178,-0.19082118919399998
ACH-000182,-0.0997176950636
ACH-000183,-0.269820277057
ACH-000188,-0.438430935304
ACH-000189,-0.229487187905
ACH-000190,-0.286649760059
ACH-000198,-0.312353999576
ACH-000204,-0.42693669534
ACH-000206,-0.188510182779
ACH-000207,0.137882711985
ACH-000211,-0.239098353427
ACH-000215,-0.46055232362899995
ACH-000221,-0.28340704905499997
ACH-000222,-0.3163952157
ACH-000223,-0.206036116149
ACH-000226,-0.284344020094
ACH-000227,-0.510012895289
ACH-000228,-0.214754993604
ACH-000231,-0.293051676047
ACH-000232,-0.326204564371
ACH-000233,-0.135594957914
ACH-000234,0.043238489234600004
ACH-000235,-0.199015197118
ACH-000237,-0.21557388237599998
ACH-000238,-0.21862060352600002
ACH-000243,-0.301993496987
ACH-000244,-1.01522244851
ACH-000246,-0.17898406204700001
ACH-000248,-0.367710054312
ACH-000250,-0.12425134359099999
ACH-000251,-0.0450432364009
ACH-000253,-0.18036954884300002
ACH-000255,-0.587068492753
ACH-000256,-0.10257560818299999
ACH-000257,-0.135331566086
ACH-000258,-0.561307007141
ACH-000259,-0.348473700738
ACH-000260,-0.199780189557
ACH-000261,-0.116637140098
ACH-000262,-0.41349903866
ACH-000263,-0.8395251761929999
ACH-000264,-0.314695021138
ACH-000265,-0.34531653450099997
ACH-000266,-0.0745197415614
ACH-000272,-0.25677594387499997
ACH-000273,-0.7528413403409999
ACH-000274,-0.179869752286
ACH-000277,-0.21555002967700002
ACH-000278,-0.25433303878
ACH-000279,-0.25549553607700004
ACH-000280,-0.198769022151
ACH-000281,-0.25188417064199997
ACH-000288,-0.0993410420854
