,HS3ST3B1 (9953)
ACH-000004,0.0422478337166
ACH-000007,-0.013550134021900001
ACH-000009,0.0370313859334
ACH-000011,-0.0183590528454
ACH-000012,0.156783414268
ACH-000013,-0.04158964844119999
ACH-000014,0.24305135714499998
ACH-000015,0.0512040611968
ACH-000017,0.0382905228417
ACH-000018,0.0654617083186
ACH-000019,-0.151903092116
ACH-000021,0.054878869044500005
ACH-000022,-0.12806613556399998
ACH-000025,-0.384197051716
ACH-000028,0.0397426841033
ACH-000030,0.0687614625297
ACH-000035,0.17195820728
ACH-000036,-0.198520809164
ACH-000037,0.119308980276
ACH-000039,0.225612735933
ACH-000040,0.263575719556
ACH-000041,0.005385387246779999
ACH-000042,-0.191573266316
ACH-000045,0.040809505104800005
ACH-000047,0.0167445465236
ACH-000052,0.134530538631
ACH-000053,0.10886317890999998
ACH-000054,-0.198772394775
ACH-000055,-0.08233852039810001
ACH-000060,-0.13850129851
ACH-000067,-0.0591060091515
ACH-000070,-0.00481990981717
ACH-000075,-0.137265783616
ACH-000078,0.129128085833
ACH-000082,-0.06310209396430001
ACH-000085,-0.0393939953679
ACH-000086,-0.058766763670000007
ACH-000087,-0.006914376331
ACH-000092,0.0668840878863
ACH-000095,-0.274547759155
ACH-000097,-0.13766133593000002
ACH-000098,0.0699666284412
ACH-000099,0.07881252473639999
ACH-000108,0.170447820298
ACH-000113,-0.08493167234980001
ACH-000115,-0.245537476822
ACH-000116,-0.16359393426
ACH-000118,0.0672656858671
ACH-000120,0.141735693108
ACH-000123,0.127409723386
ACH-000127,-0.042150636918199993
ACH-000128,-0.117628099415
ACH-000132,-0.059116457994
ACH-000133,-0.198144670762
ACH-000137,0.051904722368800005
ACH-000138,0.051262216083399995
ACH-000142,0.24216830176999998
ACH-000143,0.0017218267007999997
ACH-000146,-0.0774996772253
ACH-000148,-0.034994948824800004
ACH-000150,-0.207051348858
ACH-000152,-0.00349454391045
ACH-000153,-0.027182598000599998
ACH-000159,-0.0311802882547
ACH-000160,-0.08566213158430001
ACH-000163,-0.0597846999787
ACH-000167,0.292508432518
ACH-000168,-0.00791914484322
ACH-000169,0.0256605645063
ACH-000178,-0.10156581456000001
ACH-000182,0.10467393964400001
ACH-000183,0.0013710941854
ACH-000188,-0.134973088183
ACH-000189,-0.0066909135249
ACH-000190,-0.37078677434
ACH-000198,-0.112436371592
ACH-000204,0.065137242751
ACH-000206,0.217244614516
ACH-000207,-0.10727411061
ACH-000211,-0.019267897393
ACH-000215,0.024257055806599998
ACH-000221,-0.188136244417
ACH-000222,0.230258171582
ACH-000223,-0.111216959965
ACH-000226,-0.257561139527
ACH-000227,0.355900106136
ACH-000228,0.019724137691099996
ACH-000231,-0.0223647830696
ACH-000232,-0.0630337001555
ACH-000233,-0.162737647847
