,CDPF1 (150383)
ACH-000004,-0.200070498563
ACH-000007,-0.260133880235
ACH-000009,-0.150404797713
ACH-000011,-0.112008887257
ACH-000012,-0.22655087211199998
ACH-000013,-0.321000785022
ACH-000014,-0.338604776062
ACH-000015,-0.135272211668
ACH-000017,-0.22110823458599999
ACH-000018,-0.187466667523
ACH-000019,-0.269632204517
ACH-000021,-0.158926748881
ACH-000022,-0.251606821087
ACH-000025,-0.15531442712000001
ACH-000028,-0.243051890955
ACH-000030,-0.297259303427
ACH-000035,-0.106914261509
ACH-000036,-0.258726053314
ACH-000037,-0.22729330839499998
ACH-000039,-0.0692214184353
ACH-000040,-0.44722922385799996
ACH-000041,-0.35159597159100003
ACH-000042,-0.266087613926
ACH-000045,-0.18768043520799998
ACH-000047,-0.119206223248
ACH-000052,-0.172989301888
ACH-000053,-0.16714022961
ACH-000054,-0.125287936946
ACH-000055,-0.156236014463
ACH-000060,-0.292401638927
ACH-000067,-0.140741500361
ACH-000070,-0.11322536021299999
ACH-000075,-0.347168064775
ACH-000078,-0.33765970248599997
ACH-000082,-0.11082833367900001
ACH-000085,-0.30976853175700003
ACH-000086,-0.059409047486500006
ACH-000087,-0.333680349399
ACH-000092,-0.08669846355180001
ACH-000095,-0.20150751028499997
ACH-000097,-0.21753213029899998
ACH-000098,-0.20769967241300002
ACH-000099,-0.40357602546099997
ACH-000108,-0.155315790723
ACH-000113,-0.14142531980599998
ACH-000115,0.043686565934800005
ACH-000116,-0.17688566697299998
ACH-000118,-0.08776938251970001
ACH-000120,-0.16537423228
ACH-000123,-0.288804166832
ACH-000127,-0.0854320748687
ACH-000128,-0.22345610334199997
ACH-000132,-0.16329782137499999
ACH-000133,-0.22792352961800003
ACH-000137,-0.167467725114
ACH-000138,-0.119048263712
ACH-000142,-0.0802212756853
ACH-000143,-0.445120179985
ACH-000146,-0.176995553253
ACH-000148,-0.0751109341869
ACH-000150,0.021149542324299997
ACH-000152,-0.316503391737
ACH-000153,-0.0173775645236
ACH-000159,-0.12406910145700001
ACH-000160,-0.211139051341
ACH-000163,-0.110204774927
ACH-000167,-0.483011683395
ACH-000168,-0.486054729271
ACH-000169,-0.261380475138
ACH-000178,-0.278453771396
ACH-000182,-0.120561790876
ACH-000183,-0.391850237379
ACH-000188,-0.144087679016
ACH-000189,-0.441492612367
ACH-000190,-0.350913054266
ACH-000198,-0.28929787318100003
ACH-000204,0.144490826238
ACH-000206,0.047750370956300005
ACH-000207,-0.00418507118036
ACH-000211,-0.295663245368
ACH-000215,-0.284081933697
ACH-000221,-0.21001493836
ACH-000222,-0.263561315875
ACH-000223,-0.351849056741
ACH-000226,-0.14621829339099998
ACH-000227,-0.6097945612160001
ACH-000228,-0.275273345962
ACH-000231,-0.22634916846900002
ACH-000232,-0.306748625334
ACH-000233,-0.41060629629100004
ACH-000234,-0.12052199859099999
ACH-000235,-0.10690587708699999
ACH-000237,-0.362587867989
ACH-000238,-0.268598875247
ACH-000243,-0.206918122743
ACH-000244,-0.130456896362
ACH-000246,-0.415574284472
ACH-000248,-0.34222853809299997
ACH-000250,-0.22376692035300003
ACH-000251,0.146283986266
ACH-000253,0.029962708190700002
ACH-000255,-0.188335130471
ACH-000256,-0.238498163929
ACH-000257,-0.24375135486699998
