,SYNGAP1 (8831)
ACH-000004,-0.325809243551
ACH-000007,-0.151235542319
ACH-000009,-0.0205436776704
ACH-000011,0.0655217978584
ACH-000012,0.0338179007606
ACH-000013,-0.171326713616
ACH-000014,-0.12429178599000001
ACH-000015,-0.125965724441
ACH-000017,-0.10772669339600001
ACH-000018,-0.103078276568
ACH-000019,-0.232282678944
ACH-000021,-0.0669300415991
ACH-000022,0.0752212569388
ACH-000025,-0.09295450837619999
ACH-000028,-0.0136845013765
ACH-000030,-0.0143892419549
ACH-000035,-0.213871499525
ACH-000036,-0.289183658042
ACH-000037,-0.149376369825
ACH-000039,0.0474098979664
ACH-000040,-0.16850253239500002
ACH-000041,0.0322757213833
ACH-000042,-0.0852435090261
ACH-000045,-0.11757565446599999
ACH-000047,-0.17783234206
ACH-000052,-0.024224737418599998
ACH-000053,-0.11432001041300001
ACH-000054,-0.115086410207
ACH-000055,-0.00328996616775
ACH-000060,-0.07803755146380001
ACH-000067,0.0735445478232
ACH-000070,-0.210850637804
ACH-000075,0.047431232714
ACH-000078,-0.17445712919599998
ACH-000082,0.0419979381394
ACH-000085,-0.269708433649
ACH-000086,-0.15647058025
ACH-000087,-0.235781686995
ACH-000092,-0.14410771402
ACH-000095,-0.0397252489868
ACH-000097,-0.10424222854000001
ACH-000098,-0.0205163119475
ACH-000099,-0.0775744435532
ACH-000108,-0.142465773627
ACH-000113,-0.101649568528
ACH-000115,-0.21388600742400002
ACH-000116,-0.00791255043958
ACH-000118,-0.144366015
ACH-000120,-0.130871449711
ACH-000123,0.00677618768036
ACH-000127,-0.160002713549
ACH-000128,-0.00918075988808
ACH-000132,-0.123638796971
ACH-000133,-0.176786600816
ACH-000137,-0.118046190659
ACH-000138,-0.236386389637
ACH-000142,-0.298951519848
ACH-000143,-0.0718180990268
ACH-000146,-0.09516203947349999
ACH-000148,0.09321358633160001
ACH-000150,-0.16877856242699998
ACH-000152,-0.08451172091530001
ACH-000153,0.040127793755
ACH-000159,-0.0953352354693
ACH-000160,-0.0130615733516
ACH-000163,0.013454217869599999
ACH-000167,-0.17989128548900002
ACH-000168,-0.06689499068680001
ACH-000169,-0.0451461567504
ACH-000178,-0.194057446951
ACH-000182,-0.0686252202508
ACH-000183,-0.0551132043744
ACH-000188,-0.11139818870899999
ACH-000189,0.135110615483
ACH-000190,-0.125883779109
ACH-000198,-0.197503773662
ACH-000204,-0.189281599016
ACH-000206,-0.049574131812500005
ACH-000207,0.00289132368426
ACH-000211,-0.0233931196167
ACH-000215,-0.174576201617
ACH-000221,-0.130463263317
ACH-000222,-0.07629820282060001
ACH-000223,-0.09000528248739999
ACH-000226,-0.090163811572
ACH-000227,0.07612487596489999
ACH-000228,0.112019396712
ACH-000231,-0.04590105067459999
ACH-000232,-0.0785863695573
ACH-000233,-0.0920057361927
ACH-000234,-0.11917101616900001
ACH-000235,-0.0162475972114
ACH-000237,-0.251946565319
ACH-000238,0.024819001104599996
ACH-000243,-0.0866196848625
ACH-000244,0.124716307816
ACH-000246,0.07030565881539999
ACH-000248,-0.216987873305
ACH-000250,-0.129421360658
ACH-000251,0.0875333394399
ACH-000253,-0.0875592025738
ACH-000255,-0.12156949765000001
ACH-000256,0.031727096403200004
ACH-000257,-0.248761766566
ACH-000258,-0.30382416483
ACH-000259,-0.0654789333552
