,CSNK1D (1453)
ACH-000004,-0.445262034068
ACH-000007,-0.260092672994
ACH-000009,-0.35364789348399994
ACH-000011,-0.0714643152583
ACH-000012,-0.404361794828
ACH-000013,-0.038305322959800006
ACH-000014,0.19945590467399998
ACH-000015,-0.0327715387316
ACH-000017,-0.0969138041512
ACH-000018,0.0385124406036
ACH-000019,-0.674296222173
ACH-000021,-0.00957783763715
ACH-000022,-0.0729294748493
ACH-000025,-0.165719542811
ACH-000028,-0.6383038944389999
ACH-000030,-0.309904575962
ACH-000035,0.100952774158
ACH-000036,-0.443840519506
ACH-000037,-0.33736527002800004
ACH-000039,-0.25497228907200004
ACH-000040,-0.171911835922
ACH-000041,0.10993536555299999
ACH-000042,-0.446333802832
ACH-000045,-0.025529949574700003
ACH-000047,-0.015042089935700002
ACH-000052,-0.0566774416909
ACH-000053,-0.258088785401
ACH-000054,0.0039682896149099995
ACH-000055,-0.19598215833000002
ACH-000060,-0.205895848752
ACH-000067,-0.260828144223
ACH-000070,-0.0316865973795
ACH-000075,-0.015561447590100001
ACH-000078,-0.24387539988899998
ACH-000082,-0.22258554639400002
ACH-000085,-0.296377090612
ACH-000086,-0.22434488450800003
ACH-000087,0.0256149807421
ACH-000092,0.0432468026354
ACH-000095,-0.0774699891791
ACH-000097,-0.842949025272
ACH-000098,-0.028744062069299997
ACH-000099,-0.25346161244000004
ACH-000108,-0.269961346697
ACH-000113,-0.0639079134279
ACH-000115,-0.36677937126500004
ACH-000116,-0.39159458410899994
ACH-000118,-0.139279941314
ACH-000120,-0.121259597881
ACH-000123,-0.12487608422
ACH-000127,-0.234820921921
ACH-000128,-0.12186779089000002
ACH-000132,0.082453791104
ACH-000133,-0.117317821462
ACH-000137,0.140228262599
ACH-000138,-0.18272358111200002
ACH-000142,-0.616454482686
ACH-000143,0.017926826792099997
ACH-000146,-0.11404468318199999
ACH-000148,-0.246355299281
ACH-000150,0.058664116026300006
ACH-000152,-0.08585014624220001
ACH-000153,-0.295602206395
ACH-000159,-0.258322543094
ACH-000160,-0.14954677266799998
ACH-000163,-0.019069765398400003
ACH-000167,0.0712124867036
ACH-000168,-0.273855361761
ACH-000169,-0.0645477531621
ACH-000178,0.11886140308700001
ACH-000182,-0.37977927631999997
ACH-000183,-0.0674853589121
ACH-000188,-0.290961944363
ACH-000189,-0.24611364150899998
ACH-000190,-0.262077481055
ACH-000198,-0.146595182484
ACH-000204,0.146592028247
ACH-000206,-0.110980511945
ACH-000207,-0.296033329419
ACH-000211,0.0327968351945
ACH-000215,-0.136343806566
ACH-000221,-0.27116549915
ACH-000222,-0.28908032309799997
ACH-000223,-0.11833120491900001
ACH-000226,0.0349692275031
ACH-000227,0.248747463805
ACH-000228,-0.0440147522269
ACH-000231,-0.07386259304010001
ACH-000232,0.0928255885338
ACH-000233,-0.27347936552200003
ACH-000234,-0.47735676818499995
ACH-000235,-0.389023758875
ACH-000237,-0.173466387915
ACH-000238,-0.170364690445
ACH-000243,-0.178822340358
ACH-000244,-0.08790207253910001
ACH-000246,-0.394166768988
ACH-000248,-0.20857032673
ACH-000250,-0.054363757569000005
ACH-000251,0.06311516521919999
ACH-000253,-0.172209840381
ACH-000255,-0.322282359456
ACH-000256,-0.476328520726
ACH-000257,-0.129444696131
ACH-000258,0.301838887003
ACH-000259,-0.06757719437059999
ACH-000260,-0.512328857796
ACH-000261,-0.242789484916
ACH-000262,-0.288259823136
ACH-000263,-0.212067989461
ACH-000264,-0.232922288831
ACH-000265,0.054562270601
ACH-000266,-0.194682378077
ACH-000272,-0.516587029605
ACH-000273,-0.0554579631439
ACH-000274,-0.23602448701099998
ACH-000277,-0.219748425775
ACH-000278,-0.073761104943
ACH-000279,-0.18861625878899999
ACH-000280,-0.276527576254
ACH-000281,-0.0817725725327
ACH-000288,-0.173524985153
ACH-000291,-0.14154511653100002
ACH-000293,-0.18389131896299998
ACH-000294,-0.229936039725
ACH-000295,-0.359135318663
ACH-000296,-0.35748783712899995
ACH-000302,-0.10970169636
ACH-000304,0.22053443219000002
ACH-000307,-0.0782256887686
ACH-000308,-0.033573483862
ACH-000310,-0.288532726875
ACH-000311,-0.209844390459
ACH-000312,-0.12898305064
ACH-000315,-0.0334510476687
ACH-000316,-0.379335402371
ACH-000317,-0.0570242880289
ACH-000318,-0.154990484798
ACH-000319,-0.0887464831254
ACH-000320,-0.22905117206099998
ACH-000322,0.08750088458319999
ACH-000323,-0.317119889115
ACH-000324,-0.322803737516
ACH-000329,-0.278106974586
ACH-000330,-0.387955881986
ACH-000331,-0.148938728397
