,NARS (4677)
ACH-000004,-1.14133527269
ACH-000007,-1.47404959868
ACH-000009,-1.5696880592500002
ACH-000011,-1.1827881220799998
ACH-000012,-1.50244079022
ACH-000013,-1.59472466415
ACH-000014,-1.5812488620700003
ACH-000015,-1.52110452811
ACH-000017,-1.4297202690600002
ACH-000018,-1.5776794900100002
ACH-000019,-1.65881343979
ACH-000021,-1.6293835373299999
ACH-000022,-1.58903535111
ACH-000025,-1.6415383931999998
ACH-000028,-1.71748672068
ACH-000030,-1.5105710801899999
ACH-000035,-1.4080805344
ACH-000036,-1.62399587682
ACH-000037,-1.9430213427599998
ACH-000039,-1.9052215942299997
ACH-000040,-1.55806006701
ACH-000041,-1.34539208287
ACH-000042,-1.6189018264
ACH-000045,-1.58841798007
ACH-000047,-1.3247469122600002
ACH-000052,-1.50670932898
ACH-000053,-1.53578481567
ACH-000054,-1.66020175992
ACH-000055,-1.65053685313
ACH-000060,-1.5374788944799997
ACH-000067,-1.38746850677
ACH-000070,-1.56935024204
ACH-000075,-1.83788597912
ACH-000078,-1.8109172036400003
ACH-000082,-1.47291623917
ACH-000085,-1.54000038575
ACH-000086,-1.5164854029799997
ACH-000087,-1.56624038836
ACH-000092,-1.14229313491
ACH-000095,-1.7423368351
ACH-000097,-1.3773501497
ACH-000098,-1.7830212660799998
ACH-000099,-1.5292894014700003
ACH-000108,-1.50404634648
ACH-000113,-1.5975694866999999
ACH-000115,-1.7089254740900002
ACH-000116,-1.4692603479
ACH-000118,-1.32561705297
ACH-000120,-1.3572180399399998
ACH-000123,-1.4749891808000002
ACH-000127,-1.4551515638499999
ACH-000128,-1.5723752100400001
ACH-000132,-1.9707120787299999
ACH-000133,-1.55689117476
ACH-000137,-1.6668172788
ACH-000138,-1.5835089882700002
ACH-000142,-1.57004151926
ACH-000143,-1.4688695905899998
ACH-000146,-1.43927885509
ACH-000148,-1.43166643266
ACH-000150,-1.6526294702200002
ACH-000152,-1.5197026792100001
ACH-000153,-1.4666803408000002
ACH-000159,-1.7467993277900002
ACH-000160,-1.46821470215
ACH-000163,-1.41148647708
ACH-000167,-1.87865939038
ACH-000168,-1.37688587426
ACH-000169,-1.44415428396
ACH-000178,-1.36787110311
ACH-000182,-1.6966064189399999
