,SECISBP2 (79048)
ACH-000004,-0.0124627327679
ACH-000007,-0.10614190259199999
ACH-000009,-0.18415285019699998
ACH-000011,-0.162823132635
ACH-000012,-0.22622047702599998
ACH-000013,-0.34058482270499996
ACH-000014,-0.19570003280099998
ACH-000015,-0.217935863039
ACH-000017,-0.124539557227
ACH-000018,-0.07104448493089999
ACH-000019,0.154782956337
ACH-000021,-0.805020728542
ACH-000022,-0.0834735032587
ACH-000025,-0.148441711943
ACH-000028,-0.11647937296199999
ACH-000030,-0.0683833336679
ACH-000035,-0.26433467635
ACH-000036,-0.213110729494
ACH-000037,-0.521791849962
ACH-000039,-0.195720025405
ACH-000040,-0.16471535426699999
ACH-000041,-0.471372247177
ACH-000042,-0.09672035478330002
ACH-000045,-0.259808845196
ACH-000047,-0.327566519078
ACH-000052,-0.342497235091
ACH-000053,-0.340104153978
ACH-000054,-0.373437418142
ACH-000055,-0.308570798451
ACH-000060,0.21083024577
ACH-000067,-0.0199279533471
ACH-000070,-0.359600159806
ACH-000075,-0.115076951614
ACH-000078,-0.150396042979
ACH-000082,-0.42666238362
ACH-000085,-0.225678513723
ACH-000086,-0.058388749913499995
ACH-000087,-0.222634105202
ACH-000092,0.18667561592
ACH-000095,-0.268284605319
ACH-000097,0.0179490083962
ACH-000098,-0.0606898915556
ACH-000099,-0.0688745858901
ACH-000108,-0.022016224311700004
ACH-000113,-0.20866010821199998
ACH-000115,-0.05600052351419999
ACH-000116,-0.21386266099399998
ACH-000118,-0.0836163149396
ACH-000120,-0.28603649144000004
ACH-000123,-0.41849482952
ACH-000127,-0.131834634949
ACH-000128,-0.163899887222
ACH-000132,-0.34406955472499995
ACH-000133,-0.14449234011099998
ACH-000137,-0.430691610433
ACH-000138,-0.29800484186500004
ACH-000142,0.0339297616262
ACH-000143,-0.0666965388388
ACH-000146,-0.192217039066
ACH-000148,-0.21779423803599998
ACH-000150,-0.387006836064
ACH-000152,-0.38138303691799996
ACH-000153,0.033221534501799994
ACH-000159,-0.5513690795889999
ACH-000160,0.0228297893177
ACH-000163,-0.352624634805
ACH-000167,-0.377747229998
ACH-000168,-0.5167753894389999
ACH-000169,-0.169353751507
ACH-000178,-0.109970632325
ACH-000182,-0.0149594342897
ACH-000183,-0.23766537369600002
ACH-000188,-0.0681938720769
ACH-000189,-0.379207678696
ACH-000190,-0.254371694375
ACH-000198,-0.283304340953
ACH-000204,-0.20043098007
ACH-000206,-0.147043119956
ACH-000207,0.268976813098
ACH-000211,-0.16333839473300002
ACH-000215,-0.0933228696299
ACH-000221,-0.31724720458
ACH-000222,-0.25144353330200003
ACH-000223,-0.23455336656599998
ACH-000226,-0.23814719572299997
ACH-000227,-0.409463432676
ACH-000228,-0.117097811982
ACH-000231,-0.0439457729486
ACH-000232,0.067995656595
ACH-000233,-0.22534499445300002
ACH-000234,-0.417521072512
ACH-000235,-0.20909088246899998
ACH-000237,0.0333438751324
ACH-000238,-0.12197688576099999
ACH-000243,-0.143420896707
ACH-000244,-0.220427829904
ACH-000246,-0.2949474318
ACH-000248,-0.157426435684
ACH-000250,-0.174556714976
ACH-000251,-0.129739035404
