,PALB2 (79728)
ACH-000004,-0.418422827777
ACH-000007,-1.0307503895
ACH-000009,-0.309577837496
ACH-000011,-0.74634800536
ACH-000012,-0.565249309035
ACH-000013,-0.531129421532
ACH-000014,-0.762160996601
ACH-000015,-0.758282014451
ACH-000017,-0.46299046394500004
ACH-000018,-0.420071385701
ACH-000019,-0.9145039665799999
ACH-000021,-0.7097927352750001
ACH-000022,-0.148812873571
ACH-000025,-0.637907239846
ACH-000028,-0.9099335866859999
ACH-000030,-0.49659502097099995
ACH-000035,-0.36851465942100003
ACH-000036,-0.43356422313299997
ACH-000037,-0.531130460274
ACH-000039,-0.730963431595
ACH-000040,-0.347192659811
ACH-000041,-0.376304380836
ACH-000042,-0.392782038122
ACH-000045,-0.32012332859700005
ACH-000047,-0.593199746297
ACH-000052,-0.482387964231
ACH-000053,-0.40098069598499997
ACH-000054,-0.59401418366
ACH-000055,-0.578023524381
ACH-000060,-0.565535757835
ACH-000067,-0.377258067935
ACH-000070,-0.540767498845
ACH-000075,-0.8256368137700001
ACH-000078,-0.37774123508
ACH-000082,-0.35977238687799995
ACH-000085,-0.494349646545
ACH-000086,-0.304430055446
ACH-000087,-0.323067922179
ACH-000092,-0.18090906479899999
ACH-000095,-0.232922059599
ACH-000097,-0.6796603188789999
ACH-000098,-0.625228818596
ACH-000099,-0.549647453628
ACH-000108,-0.586301170676
ACH-000113,-0.450140152382
ACH-000115,-0.465441632226
ACH-000116,-0.25413396966999996
ACH-000118,-0.973370233907
ACH-000120,-0.770192056793
ACH-000123,-0.608085795202
ACH-000127,-0.145445041119
ACH-000128,-0.379973973301
ACH-000132,-0.747242785481
ACH-000133,-0.26480178374200003
ACH-000137,-0.568767096515
ACH-000138,-0.5858380202660001
ACH-000142,-0.7670244155079999
ACH-000143,-0.36643911853100003
ACH-000146,-0.323416819463
ACH-000148,-0.407280026433
ACH-000150,-0.35152932147
ACH-000152,-0.5399041832270001
ACH-000153,-0.777982869373
ACH-000159,-0.6089795256889999
ACH-000160,-0.143170118352
ACH-000163,-0.239040044146
ACH-000167,-0.417808098783
