,CPE (1363)
ACH-000004,-0.210442773934
ACH-000007,-0.013478097808299998
ACH-000009,0.0328020084908
ACH-000011,-0.137789511545
ACH-000012,-0.33711098581999993
ACH-000013,-0.219105253039
ACH-000014,-0.123749624348
ACH-000015,-0.196474262855
ACH-000017,-0.18522395155299998
ACH-000018,-0.134049367871
ACH-000019,-0.021706954004900005
ACH-000021,-0.06388950912819999
ACH-000022,-0.20941558502500002
ACH-000025,-0.293502131235
ACH-000028,-0.017593905599400002
ACH-000030,-0.255289500713
ACH-000035,-0.06971907144119999
ACH-000036,-0.24538606293
ACH-000037,-0.38096661608599997
ACH-000039,-0.164027596208
ACH-000040,-0.29602307177299997
ACH-000041,-0.0149095868839
ACH-000042,-0.23829652043299998
ACH-000045,-0.174871451855
ACH-000047,-0.244666472033
ACH-000052,0.032020389426599995
ACH-000053,-0.24571603864100003
ACH-000054,-0.39585540305
ACH-000055,-0.0864999882115
ACH-000060,-0.232388012971
ACH-000067,-0.24180938051399997
ACH-000070,-0.283313279659
ACH-000075,-0.599579917469
ACH-000078,-0.119950071658
ACH-000082,-0.390576289944
ACH-000085,-0.259964473711
ACH-000086,-0.18561037151700002
ACH-000087,-0.0025394989138200004
ACH-000092,-0.212889979427
ACH-000095,-0.297383163969
ACH-000097,-0.19671730583299998
ACH-000098,-0.24021489446199998
ACH-000099,-0.17843860215799998
ACH-000108,-0.144873273706
ACH-000113,-0.27965516990600003
ACH-000115,0.162533359844
ACH-000116,-0.122235430735
ACH-000118,-0.153744613625
ACH-000120,-0.156328077749
ACH-000123,-0.304838542037
ACH-000127,-0.323767444874
ACH-000128,-0.244072106615
ACH-000132,-0.344743204525
ACH-000133,-0.297607385359
ACH-000137,-0.36480032721999994
ACH-000138,-0.0504191560063
ACH-000142,-0.23366839132800002
ACH-000143,-0.123150097911
ACH-000146,-0.07841486037130001
ACH-000148,-0.126339408705
ACH-000150,-0.104486750611
ACH-000152,-0.18596141177900002
ACH-000153,-0.549957864676
ACH-000159,-0.297929406494
ACH-000160,-0.261689046546
ACH-000163,-0.27202683383000004
ACH-000167,-0.5839143436850001
ACH-000168,-0.29150648779599997
ACH-000169,-0.115686093288
ACH-000178,-0.313368888932
ACH-000182,-0.17114379516800002
ACH-000183,-0.19236287417800002
ACH-000188,-0.220787587459
ACH-000189,-0.413731558609
ACH-000190,-0.12713396975400001
ACH-000198,-0.28191953654199997
ACH-000204,-0.108104852005
