,NENF (29937)
ACH-000004,-0.0577775179724
ACH-000007,-0.319978042192
ACH-000009,-0.48882695991400005
ACH-000011,-0.24874139698800002
ACH-000012,-0.06388469922090001
ACH-000013,-0.212015416743
ACH-000014,-0.37984104986199996
ACH-000015,-0.12108953353499999
ACH-000017,-0.17829170723
ACH-000018,-0.151075876389
ACH-000019,0.37785461998400005
ACH-000021,-0.23194936745099998
ACH-000022,-0.138929414349
ACH-000025,-0.25897522797
ACH-000028,-0.09718870497469999
ACH-000030,-0.107528877061
ACH-000035,0.147967187242
ACH-000036,-0.281950266881
ACH-000037,0.039040765018
ACH-000039,-0.227229010712
ACH-000040,-0.057775577735
ACH-000041,-0.10208122202099999
ACH-000042,-0.226248271006
ACH-000045,-0.0985459934425
ACH-000047,-0.0993829113413
ACH-000052,-0.0221373766926
ACH-000053,-0.160560803107
ACH-000054,-0.196988632109
ACH-000055,-0.238285180574
ACH-000060,-0.107842555327
ACH-000067,-0.305065988846
ACH-000070,-0.0349655171531
ACH-000075,-0.277015401126
ACH-000078,-0.15995596110500002
ACH-000082,-0.125834295267
ACH-000085,-0.07236308157219999
ACH-000086,-0.277571168356
ACH-000087,-0.231665187227
ACH-000092,-0.0708262989672
ACH-000095,-0.256272478731
ACH-000097,-0.134697535842
ACH-000098,-0.13096643986
ACH-000099,-0.13219695836200002
ACH-000108,-0.150746485221
ACH-000113,-0.301542782088
ACH-000115,-0.15563197699
ACH-000116,-0.07200114480269999
ACH-000118,-0.20697365887000002
ACH-000120,-0.42387845587800005
ACH-000123,-0.0435038851812
ACH-000127,-0.11512466260399999
ACH-000128,-0.104062632486
ACH-000132,-0.257002364674
ACH-000133,-0.115287171903
ACH-000137,-0.269256006157
ACH-000138,-0.398771495159
ACH-000142,-0.141483514313
ACH-000143,-0.41750534713
ACH-000146,-0.257975605935
ACH-000148,-0.323245490233
ACH-000150,-0.020460950823900002
ACH-000152,0.014755913500600001
ACH-000153,-0.5930540158250001
ACH-000159,-0.247971716897
ACH-000160,-0.338686177703
ACH-000163,0.0029574112134200005
ACH-000167,-0.46470321339599996
ACH-000168,0.00859948326816
ACH-000169,-0.00413637248547
ACH-000178,-0.17805963346200002
ACH-000182,-0.121376715717
ACH-000183,-0.29911156538899997
ACH-000188,-0.04654651352530001
ACH-000189,-0.298354650408
ACH-000190,-0.12911950217
ACH-000198,-0.061296241151400005
ACH-000204,-0.271850552518
ACH-000206,0.161415021903
ACH-000207,-0.326152246366
ACH-000211,-0.16064068211100002
ACH-000215,-0.310693595854
ACH-000221,-0.16332887276
ACH-000222,-0.18855424754500003
ACH-000223,-0.24575405613200002
ACH-000226,-0.479759862227
ACH-000227,-0.176161468686
ACH-000228,-0.216055575903
ACH-000231,-0.240650182723
ACH-000232,-0.258108364554
ACH-000233,-0.368496851929
ACH-000234,-0.101933688943
ACH-000235,-0.300734267254
ACH-000237,-0.121135189647
ACH-000238,-0.290798471056
ACH-000243,-0.17133957176399997
ACH-000244,-0.16114175047700002
ACH-000246,-0.285359098581
ACH-000248,-0.125794339674
ACH-000250,-0.0186484684721
ACH-000251,-0.44302729997
ACH-000253,-0.0527354726117
ACH-000255,-0.281889239645
ACH-000256,-0.0223293937433
ACH-000257,0.0361106835102
ACH-000258,-0.550292306982
ACH-000259,-0.0729754383811
ACH-000260,-0.12864815948
ACH-000261,-0.17612314601100001
ACH-000262,0.0572323732876
ACH-000263,-0.1648944743
ACH-000264,-0.200548573968
ACH-000265,-0.331470537792
ACH-000266,-0.312215659097
ACH-000272,-0.487748990088
ACH-000273,-0.189943596338
ACH-000274,-0.25922514809700004
ACH-000277,0.0158305823784
ACH-000278,-0.05435407377859999
ACH-000279,-0.0106309422655
ACH-000280,-0.15326156244
ACH-000281,-0.15347723576400002
ACH-000288,-0.0510284825805
ACH-000291,-0.182822830699
ACH-000293,0.130483275438
ACH-000294,0.10313879880000001
ACH-000295,0.039789310331
ACH-000296,0.208877885507
ACH-000302,-0.154236369647
ACH-000304,-0.384943435126
ACH-000307,-0.137321166776
ACH-000308,-0.361926391395
ACH-000310,-0.35682255950999997
ACH-000311,-0.125841656458
ACH-000312,-0.18496562190000002
ACH-000315,0.11802182422299999
ACH-000316,-0.137821652548
ACH-000317,-0.260929626443
ACH-000318,0.028746484016200002
ACH-000319,-0.11785397377800001
ACH-000320,-0.210944889812
ACH-000322,-0.244360799242
ACH-000323,-0.213418396715
ACH-000324,-0.274782497939
ACH-000329,-0.22105852606600002
ACH-000330,-0.326269826702
ACH-000331,-0.172889955619
ACH-000332,-0.153859003736
ACH-000334,0.030399380304799998
ACH-000335,-0.0361152389896
ACH-000336,-0.261854520118
ACH-000337,0.0533338653244
ACH-000339,-0.0990415986094
ACH-000341,-0.17833496755999997
ACH-000348,-0.169463539145
ACH-000350,-0.270108672029
ACH-000352,-0.167901117951
ACH-000356,-0.430429509227
ACH-000361,-0.56812776374
ACH-000362,-0.142385897418
ACH-000363,-0.12604420747
ACH-000364,-0.216082956323
ACH-000365,-0.17860970561
ACH-000366,-0.177210091248
ACH-000368,-0.1457052374
ACH-000374,-0.285567478011
ACH-000375,-0.325521304367
ACH-000376,-0.162514470188
ACH-000381,-0.336397693318
ACH-000383,-0.16056122031700001
ACH-000387,-0.150295997397
ACH-000389,-0.056119265569900004
ACH-000390,-0.371680810193
ACH-000393,-0.10612045229
ACH-000395,-0.0362794894889
ACH-000397,-0.301061613021
ACH-000401,-0.5541654405449999
ACH-000402,-0.58352114417
ACH-000403,-0.28659604348
ACH-000404,-0.234820943719
ACH-000406,-0.136700880261
ACH-000407,-0.24288533236499998
ACH-000408,-0.270750207122
ACH-000410,-0.125363525462
ACH-000411,-0.21624992774799998
ACH-000414,-0.243204045265
ACH-000415,-0.125450946343
ACH-000416,-0.196306966749
ACH-000420,-0.0430647131866
ACH-000421,-0.14391544919000002
ACH-000424,0.08580944859549999
ACH-000425,-0.0869026681293
ACH-000426,-0.211686243015
ACH-000427,0.0419408918131
ACH-000433,-0.149456494114
ACH-000436,-0.18049696454
ACH-000444,-0.172909562652
ACH-000445,-0.07048016869189999
ACH-000448,-0.26187939064599997
ACH-000450,-0.20452936440299999
ACH-000452,-0.152599434087
