,CSDE1 (7812)
ACH-000004,-0.46093928526699995
ACH-000007,-0.559604721115
ACH-000009,-0.423412665177
ACH-000011,-0.452222425514
ACH-000012,-0.59028541828
ACH-000013,-0.204694553517
ACH-000014,-0.345255922016
ACH-000015,-0.582430528328
ACH-000017,-0.641524973044
ACH-000018,-0.586641572104
ACH-000019,-0.393627023669
ACH-000021,-0.715577492488
ACH-000022,-0.81794184207
ACH-000025,-0.484893540894
ACH-000028,-0.62855606718
ACH-000030,-0.50654255522
ACH-000035,-0.7823662592980001
ACH-000036,-0.381517606188
ACH-000037,-0.21241150828699998
ACH-000039,-0.179185772769
ACH-000040,-0.415099119036
ACH-000041,-0.22396510525199997
ACH-000042,-0.48392892434100004
ACH-000045,-0.528363010991
ACH-000047,0.06648803764519999
ACH-000052,-0.844614554068
ACH-000053,-0.65241876483
ACH-000054,-0.543373288596
ACH-000055,-0.506066630962
ACH-000060,-0.6949926273720001
ACH-000067,-0.742523846381
ACH-000070,-0.24823476184700002
ACH-000075,-0.42073381278800004
ACH-000078,0.345340122662
ACH-000082,-0.138904758929
ACH-000085,-0.683457405573
ACH-000086,-0.318630958156
ACH-000087,-0.504505653614
ACH-000092,-0.489313700518
ACH-000095,-0.256579178902
ACH-000097,-0.749255365229
ACH-000098,-0.273214191378
ACH-000099,-0.31585217309700003
ACH-000108,-0.337023675352
ACH-000113,-0.5456290096540001
ACH-000115,-0.385804461476
ACH-000116,-0.40773037648599997
ACH-000118,-0.747997720373
ACH-000120,-0.563802822229
ACH-000123,-0.466997737686
ACH-000127,-0.44215255379600005
ACH-000128,-0.0633200401956
ACH-000132,-0.663524493555
ACH-000133,-0.12431025044600001
ACH-000137,-0.198898775775
ACH-000138,-0.629259708866
ACH-000142,-0.657539316454
ACH-000143,-0.623964869379
ACH-000146,-0.25440530819
ACH-000148,0.106310146053
ACH-000150,-0.446123139566
ACH-000152,-0.35214729311399995
ACH-000153,-0.604293600983
ACH-000159,-0.683594612784
ACH-000160,-0.356653628328
ACH-000163,0.35228373996600004
ACH-000167,-0.251726749757
ACH-000168,-0.512097276111
ACH-000169,-0.500165929188
ACH-000178,-0.495124631492
ACH-000182,-0.28579609234000003
ACH-000183,-0.907894143283
ACH-000188,-0.403865496124
ACH-000189,-0.438790665428
ACH-000190,-0.808375016042
ACH-000198,-0.671849170908
ACH-000204,-0.75189574081
ACH-000206,-0.7005673988510001
ACH-000207,-0.8192386773229999
ACH-000211,-0.105151583382
ACH-000215,-0.399824289259
ACH-000221,-0.565434076104
ACH-000222,-0.473031396746
ACH-000223,-0.630726499367
ACH-000226,-0.52997625212
ACH-000227,-0.17446719280900003
ACH-000228,-0.576061018772
ACH-000231,-0.403183703314
ACH-000232,-0.40168872416999996
ACH-000233,-0.815869662549
ACH-000234,-0.365640860208
ACH-000235,-0.557848998039
ACH-000237,-0.5542833751780001
ACH-000238,-0.289058491737
ACH-000243,-0.9337147361299999
ACH-000244,-0.671073842333
ACH-000246,-0.396090364736
ACH-000248,-0.7962357148620001
ACH-000250,-0.37649271561399994
ACH-000251,-1.16484253534
ACH-000253,-0.592900126604
ACH-000255,-0.37580231139700004
ACH-000256,-0.0159262146447
ACH-000257,0.184668944356
ACH-000258,-0.22645027674100002
ACH-000259,-0.2211313557
ACH-000260,-0.527454526053
ACH-000261,-0.680398747771
ACH-000262,-0.431380009974
ACH-000263,-0.41273901004600005
ACH-000264,-0.4727190949600001
ACH-000265,-0.322401355751
ACH-000266,-0.9158187570890001
ACH-000272,-0.412623381779
ACH-000273,-0.42701213804
ACH-000274,-0.47068595514300005
ACH-000277,-0.78758126185
ACH-000278,-0.07626153395549999
ACH-000279,-0.14425211407299998
ACH-000280,-0.427596710572
ACH-000281,-0.44453432581
ACH-000288,-0.23507381693799997
ACH-000291,-0.241347271272
ACH-000293,-0.660503891638
ACH-000294,-0.834534980898
ACH-000295,-0.396893628631
ACH-000296,-0.116499996503
ACH-000302,-0.0174104378712
ACH-000304,-0.739063794797
ACH-000307,-0.49712546803900004
ACH-000308,-0.508795969463
ACH-000310,-0.0421560170916
ACH-000311,-0.638009239214
ACH-000312,-0.0851267457371
ACH-000315,-0.8728575412980001
ACH-000316,-0.133815783692
ACH-000317,-0.8484151352889999
ACH-000318,-0.447768824234
ACH-000319,-0.0507749053744
ACH-000320,-0.919720528976
ACH-000322,-0.49210266050800006
ACH-000323,-0.384776386642
ACH-000324,-0.24134407042
ACH-000329,-0.336708199859
ACH-000330,-0.680761408029
ACH-000331,-0.703075565252
ACH-000332,-0.5712706448899999
ACH-000334,-0.40076174588299995
ACH-000335,-0.18636978454300002
ACH-000336,-0.380898658263
ACH-000337,-0.616107822252
ACH-000339,-0.660722129733
ACH-000341,-0.44278137378300003
ACH-000348,-0.49902325307400003
ACH-000350,-0.0088406965207
ACH-000352,-0.35879615301299994
ACH-000356,-0.568348872268
ACH-000361,-0.10035480215
ACH-000362,-0.723509812757
ACH-000363,-0.673437726128
ACH-000364,-0.470208556957
ACH-000365,-0.518257604773
ACH-000366,0.19434589216899997
ACH-000368,-0.501041136668
ACH-000374,-0.16509384978299999
ACH-000375,-0.275894768701
ACH-000376,-0.584285444571
ACH-000381,0.23230578931499998
ACH-000383,-0.483293844621
ACH-000387,-0.875930067807
ACH-000389,-0.609909825095
ACH-000390,-0.855332625907
ACH-000393,-0.6177874703540001
ACH-000395,-0.9792506430779999
ACH-000397,-0.514240135664
ACH-000401,-0.345292265017
ACH-000402,-0.692830965537
ACH-000403,-0.856926380824
ACH-000404,-0.62825710551
ACH-000406,-0.327489709193
ACH-000407,-0.546165411418
ACH-000408,-0.796294858028
ACH-000410,-0.0578385473042
ACH-000411,-0.192055001719
ACH-000414,-0.751346095922
ACH-000415,-0.670611559981
ACH-000416,-0.63616721912
ACH-000420,-0.45802393958899995
ACH-000421,-0.510074182322
ACH-000424,-0.391835971435
ACH-000425,-0.33142836919700003
ACH-000426,-0.05360382073890001
ACH-000427,-0.502975821667
ACH-000433,-0.948904226555
ACH-000436,-0.63306072937
ACH-000444,-0.128138381433
ACH-000445,-0.7663952545999999
ACH-000448,-0.447572593262
ACH-000450,-0.44669926749399996
ACH-000452,-0.574420530646
ACH-000454,-0.574540558532
ACH-000458,-0.480009982928
ACH-000459,-0.28597918739399997
ACH-000460,-0.40920224703
ACH-000461,-0.19648239860599997
ACH-000463,-0.539467048149
ACH-000464,-0.25243914235599996
ACH-000466,-0.60957963577
ACH-000467,-0.5906328817450001
ACH-000468,-1.29419937105
ACH-000469,-0.470826640881
ACH-000470,-0.6099119030899999
ACH-000471,0.09506494182530001
ACH-000472,-0.5298307451100001
ACH-000473,-0.367915690688
ACH-000475,-0.274535932356
ACH-000476,-0.37312724306199996
ACH-000477,-0.27845333597800004
ACH-000480,-0.269170490882
ACH-000481,0.747733234332
ACH-000483,-0.130023426207
ACH-000484,-0.405496203931
ACH-000485,-0.7756460796469999
ACH-000486,-0.591477527106
ACH-000487,-0.45179586725000004
ACH-000488,-0.38023005274800004
ACH-000490,-0.833530168828
ACH-000491,-0.41524076170900004
ACH-000495,-0.20709343616999998
ACH-000496,-0.59168247515
ACH-000499,-0.419969097649
ACH-000500,0.31210951553800004
ACH-000502,-0.702108851837
ACH-000503,-0.341164885651
ACH-000505,-0.366295460797
ACH-000507,-0.661971560413
ACH-000510,-0.28732395165999997
ACH-000511,-0.483705823085
ACH-000512,-0.909366211294
ACH-000516,-0.083566153115
