,CHIT1 (1118)
ACH-000004,-0.316674969774
ACH-000007,0.09275504509189998
ACH-000009,-0.272745184214
ACH-000011,-0.033522912195000004
ACH-000012,-0.158391735463
ACH-000013,-0.15119430414499999
ACH-000014,0.09169554901889998
ACH-000015,-0.163837595666
ACH-000017,-0.0975621836193
ACH-000018,-0.06943621403789998
ACH-000019,-0.435234667931
ACH-000021,-0.07827013266539999
ACH-000022,-0.00953772423211
ACH-000025,-0.15675990000999998
ACH-000028,-0.322590390576
ACH-000030,0.012404938739200002
ACH-000035,-0.193754564004
ACH-000036,-0.119085776327
ACH-000037,-0.20775846553599997
ACH-000039,0.0351183290361
ACH-000040,-0.08690300545889999
ACH-000041,-0.041069732074800004
ACH-000042,-0.14304738020500002
ACH-000045,-0.105450680888
ACH-000047,-0.10915409558599999
ACH-000052,-0.20394544398699999
ACH-000053,-0.08803325561730001
ACH-000054,-0.103914543099
ACH-000055,-0.235980394109
ACH-000060,0.00689468207376
ACH-000067,-0.20649459399
ACH-000070,-0.30241176740200004
ACH-000075,0.0656437432995
ACH-000078,-0.231047284523
ACH-000082,-0.0153665401177
ACH-000085,-0.21635418523400002
ACH-000086,-0.286664291155
ACH-000087,-0.00134473089625
ACH-000092,-0.0688469224572
ACH-000095,-0.20634748257899999
ACH-000097,-0.13125362291099998
ACH-000098,-0.180168340295
ACH-000099,-0.029853577398900003
ACH-000108,-0.052461536394999994
ACH-000113,-0.100876007517
ACH-000115,-0.056767871903400005
ACH-000116,-0.021550704141599996
ACH-000118,-0.0824106473032
ACH-000120,-0.139423935131
ACH-000123,-0.0289829131862
ACH-000127,-0.10168998522500002
ACH-000128,-0.11437616981200001
ACH-000132,-0.217947554784
ACH-000133,-0.17991930016199997
ACH-000137,-0.249760756624
ACH-000138,-0.0290426782639
ACH-000142,-0.247888556071
ACH-000143,-0.0431976769711
ACH-000146,-0.19582790602699998
ACH-000148,-0.23451813473299998
ACH-000150,-0.03779374031819999
ACH-000152,-0.0614128998429
ACH-000153,-0.0601075531691
ACH-000159,-0.0941587632762
ACH-000160,-0.06589815355930001
ACH-000163,-0.188874909065
ACH-000167,-0.13071074751800002
ACH-000168,-0.251985899919
ACH-000169,-0.271269503375
ACH-000178,-0.100177927866
ACH-000182,0.025529989179099998
ACH-000183,-0.238973878404
ACH-000188,-0.108350439365
ACH-000189,-0.35514055602600003
ACH-000190,-0.16862514355900002
ACH-000198,-0.102536261989
ACH-000204,-0.12629521469000002
ACH-000206,-0.011951399706
ACH-000207,-0.0627079139547
ACH-000211,-0.125841100436
ACH-000215,-0.23061861765900002
ACH-000221,-0.154276763648
ACH-000222,0.10618847396
ACH-000223,-0.12156967093
ACH-000226,-0.214503292909
ACH-000227,-0.43729072753200005
ACH-000228,-0.12666273515
ACH-000231,-0.107371697488
