,PPWD1 (23398)
ACH-000004,-1.91419494758
ACH-000007,-1.4334556183899998
ACH-000009,-1.50630637801
ACH-000011,-1.91344727872
ACH-000012,-1.7191603275299998
ACH-000013,-1.81374511257
ACH-000014,-1.99692927586
ACH-000015,-1.6330646281099999
ACH-000017,-1.8820568958000001
ACH-000018,-1.8027723947999998
ACH-000019,-1.3084736188400001
ACH-000021,-1.5044534745700002
ACH-000022,-1.50875419574
ACH-000025,-1.4820865037200002
ACH-000028,-1.5733415047
ACH-000030,-1.7061443527700002
ACH-000035,-1.45745324356
ACH-000036,-1.7694483720299998
ACH-000037,-2.28581769717
ACH-000039,-1.82917955754
ACH-000040,-1.7279989345700002
ACH-000041,-2.1185760339099997
ACH-000042,-1.7652268655400003
ACH-000045,-1.6865761650400002
ACH-000047,-1.73815312025
ACH-000052,-1.34035464216
ACH-000053,-1.68246712579
ACH-000054,-1.56407177225
ACH-000055,-1.7175422540399998
ACH-000060,-1.70444393592
ACH-000067,-1.5440363734600002
ACH-000070,-2.13694151379
ACH-000075,-1.32959721089
ACH-000078,-1.9913726349
ACH-000082,-1.74867438563
ACH-000085,-1.7664377561700002
ACH-000086,-1.4687706631400002
ACH-000087,-1.50644207084
ACH-000092,-1.60381736651
ACH-000095,-1.7995317340299999
ACH-000097,-1.3952280330000002
ACH-000098,-1.6222674489200002
ACH-000099,-1.5900291967500002
ACH-000108,-1.74885129712
ACH-000113,-1.47559784655
ACH-000115,-2.1743087467400004
ACH-000116,-1.7366878123099998
ACH-000118,-1.5240548999599999
ACH-000120,-1.50257785576
ACH-000123,-1.7364793661200002
ACH-000127,-1.7403292800999999
ACH-000128,-1.6509760669100002
ACH-000132,-1.3401025071
ACH-000133,-1.7908602794
ACH-000137,-1.86265375285
ACH-000138,-1.67036993283
ACH-000142,-1.8103094510099997
ACH-000143,-1.68386163243
ACH-000146,-1.89558035012
ACH-000148,-1.9481970573900003
ACH-000150,-1.9721680442400003
ACH-000152,-1.5576987028
ACH-000153,-1.80817103642
ACH-000159,-1.42077846864
ACH-000160,-2.3212794216900003
ACH-000163,-1.66043182741
ACH-000167,-2.00799663599
ACH-000168,-1.51368439361
ACH-000169,-1.63421230875
ACH-000178,-1.75440365238
ACH-000182,-1.92687248187
ACH-000183,-1.62995201783
ACH-000188,-1.6553972473700003
ACH-000189,-1.32347289886
ACH-000190,-1.9474175247799999
ACH-000198,-1.7022910980200001
ACH-000204,-1.4973050952000002
ACH-000206,-1.4030324054299999
ACH-000207,-1.8603479047
ACH-000211,-1.70834996431
ACH-000215,-1.7986620795800001
ACH-000221,-1.71288070104
ACH-000222,-1.8395409468900001
ACH-000223,-1.4083947069299998
ACH-000226,-1.55631928018
ACH-000227,-1.71507327347
ACH-000228,-1.4555115862099999
ACH-000231,-1.64764234225
ACH-000232,-1.765070224
ACH-000233,-1.65811069036
ACH-000234,-1.14858935366
ACH-000235,-1.6412774915700001
ACH-000237,-1.79609125258
ACH-000238,-2.20916773586
ACH-000243,-1.63597361042
ACH-000244,-1.66313478541
ACH-000246,-1.6269393027799999
ACH-000248,-1.63316475819
ACH-000250,-1.6121624839700002
ACH-000251,-1.51497792243
ACH-000253,-1.6850450114700002
ACH-000255,-1.39541020942
ACH-000256,-1.7466002319099998
ACH-000257,-2.12793500976
ACH-000258,-2.11979981507
ACH-000259,-1.48358692919
ACH-000260,-1.47475603502
ACH-000261,-1.4240239379100001
ACH-000262,-1.4878701090200002
ACH-000263,-1.9370204388699999
ACH-000264,-2.14674292252
