,RHPN1 (114822)
ACH-000004,-0.0414609603453
ACH-000007,-0.39072929200999995
ACH-000009,-0.34441040306599996
ACH-000011,-0.5551025546239999
ACH-000012,-0.5136550141089999
ACH-000013,-0.318671058176
ACH-000014,-0.46760002755
ACH-000015,-0.182410525874
ACH-000017,-0.518752764178
ACH-000018,-0.494804691444
ACH-000019,-0.5428110328710001
ACH-000021,-0.35107936249899996
ACH-000022,-0.427451246935
ACH-000025,-0.372154446553
ACH-000028,-0.406601160553
ACH-000030,-0.322835809566
ACH-000035,-0.37693548394000004
ACH-000036,-0.612124693972
ACH-000037,-0.629415552251
ACH-000039,-0.656801713954
ACH-000040,-0.5732224996190001
ACH-000041,-0.301164674698
ACH-000042,-0.49641267987099996
ACH-000045,-0.515603207274
ACH-000047,-0.70560159177
ACH-000052,-0.5366764538809999
ACH-000053,-0.48251792702299995
ACH-000054,-0.41875557113399997
ACH-000055,-0.533958075683
ACH-000060,-0.566698850745
ACH-000067,-0.165495876683
ACH-000070,-0.323371701534
ACH-000075,-0.237232715907
ACH-000078,-0.160820514969
ACH-000082,-0.37458173859
ACH-000085,-0.38244450317900003
ACH-000086,-0.374880697341
ACH-000087,-0.36609541367799997
ACH-000092,-0.600525851344
ACH-000095,-0.22605751571199997
ACH-000097,-0.45322470723200003
ACH-000098,-0.271506460794
ACH-000099,-0.397524467859
ACH-000108,-0.595980803807
ACH-000113,-0.490377566428
ACH-000115,-0.462365232661
ACH-000116,-0.39134166793999997
ACH-000118,-0.487843978615
ACH-000120,-0.337238488426
ACH-000123,-0.44103050877800004
ACH-000127,-0.251958120893
ACH-000128,-0.42874107769299996
ACH-000132,-0.453793927154
ACH-000133,-0.466414660311
ACH-000137,-0.22227769563299998
ACH-000138,-0.312489489978
ACH-000142,-0.411707391255
ACH-000143,-0.650479958362
ACH-000146,-0.36811591322
ACH-000148,-0.468784481084
ACH-000150,-0.844230056477
ACH-000152,-0.511992639377
ACH-000153,-0.575743348282
ACH-000159,-0.208802650884
ACH-000160,-0.34474845548199995
ACH-000163,-0.338877143773
ACH-000167,-0.7400170991159999
ACH-000168,-0.31484677662599997
ACH-000169,-0.39486499096699995
ACH-000178,-0.63947416324
ACH-000182,-0.495157243618
ACH-000183,-0.42806979587300004
ACH-000188,-0.531080765823
ACH-000189,-0.909193913709
ACH-000190,-0.537780779568
ACH-000198,-0.36463911560199996
ACH-000204,-0.602727746475
ACH-000206,-0.482058141879
ACH-000207,-0.525332268349
ACH-000211,-0.557041121642
ACH-000215,-0.392776944114
ACH-000221,-0.325258395056
ACH-000222,-0.6281083400190001
ACH-000223,-0.478785144203
ACH-000226,-0.394165277243
ACH-000227,-0.039816246289599996
ACH-000228,-0.299723498344
ACH-000231,-0.45441903186399996
ACH-000232,-0.344923079717
ACH-000233,-0.48933985022
ACH-000234,-0.5457584667700001
ACH-000235,-0.5341155341699999
ACH-000237,-0.51924036579
ACH-000238,-0.688598821088
ACH-000243,-0.330742112947
ACH-000244,-0.913212194522
ACH-000246,-0.506966972915
ACH-000248,-0.657824145884
ACH-000250,-0.519269676199
ACH-000251,-0.647180963332
ACH-000253,-0.63956146482
ACH-000255,-0.273649765241
ACH-000256,-0.527220697368
ACH-000257,-0.40261495531499997
ACH-000258,0.0523306932137
ACH-000259,-0.421327266646
ACH-000260,-0.433465957469
ACH-000261,-0.34442771171400005
ACH-000262,-0.6780342542290001
ACH-000263,-0.7684974079889999
ACH-000264,-0.41084499411200004
ACH-000265,-0.384117492518
ACH-000266,-0.46408887332800003
ACH-000272,-0.369585150897
ACH-000273,-0.548343628048
ACH-000274,-0.540540131952
ACH-000277,-0.29060118528900003
ACH-000278,-0.463438101898
ACH-000279,-0.38794749288400004
ACH-000280,-0.583544979063
ACH-000281,-0.111002866708
