,MIS18BP1 (55320)
ACH-000004,-1.2320777173100002
ACH-000007,-1.0367371009100002
ACH-000009,-1.45009860276
ACH-000011,-1.45493729391
ACH-000012,-1.08854820109
ACH-000013,-1.28670657511
ACH-000014,-1.19652983278
ACH-000015,-1.19901712933
ACH-000017,-1.1498036685700002
ACH-000018,-1.3044002035299997
ACH-000019,-1.1060951591
ACH-000021,-1.1779178832100001
ACH-000022,-1.12545824672
ACH-000025,-1.1173376299700002
ACH-000028,-1.13824968223
ACH-000030,-1.24337395866
ACH-000035,-1.39760196466
ACH-000036,-1.21139212889
ACH-000037,-1.29609908738
ACH-000039,-1.51551122938
ACH-000040,-1.2447682504000002
ACH-000041,-1.32288358551
ACH-000042,-1.28320901561
ACH-000045,-1.43274725023
ACH-000047,-1.26247668592
ACH-000052,-1.50250968872
ACH-000053,-1.1050069814899999
ACH-000054,-1.2693926422600001
ACH-000055,-0.9937169182860001
ACH-000060,-0.996941612129
ACH-000067,-1.2974757405
ACH-000070,-1.51575287527
ACH-000075,-1.3845897268599998
ACH-000078,-1.4210720175799998
ACH-000082,-1.12013973448
ACH-000085,-1.25646383288
ACH-000086,-1.16494411615
ACH-000087,-1.45668362755
ACH-000092,-1.18285924611
ACH-000095,-1.2071461719299998
ACH-000097,-1.3098783171600001
ACH-000098,-1.41175459853
ACH-000099,-1.13350631285
ACH-000108,-1.5102374316100002
ACH-000113,-1.39607925901
ACH-000115,-0.889892975484
ACH-000116,-1.30892978692
ACH-000118,-1.22864348207
ACH-000120,-1.0034656824
ACH-000123,-1.23481963515
ACH-000127,-1.05739807436
ACH-000128,-1.11067466579
ACH-000132,-1.09780591043
ACH-000133,-1.36832565667
ACH-000137,-1.3482497795100001
ACH-000138,-1.32373390039
ACH-000142,-1.16739051607
ACH-000143,-1.3249543996100002
ACH-000146,-1.23534725458
ACH-000148,-1.36184666845
ACH-000150,-1.1677697318
ACH-000152,-1.37535401795
ACH-000153,-1.2304348497
ACH-000159,-1.33293147375
ACH-000160,-0.805924875707
ACH-000163,-1.1665770061299998
ACH-000167,-0.416726055735
ACH-000168,-1.32394060499
ACH-000169,-1.2841818327299999
ACH-000178,-1.25319274909
ACH-000182,-1.33048623234
ACH-000183,-1.1768959750499999
ACH-000188,-1.1154017238
ACH-000189,-1.33845652341
ACH-000190,-0.762436260821
ACH-000198,-0.9420373064740001
ACH-000204,-1.13915142279
ACH-000206,-0.9251161654700001
ACH-000207,-0.894515095653
ACH-000211,-1.32258979373
ACH-000215,-1.39118947315
ACH-000221,-1.3683157171200002
ACH-000222,-1.48002167868
ACH-000223,-1.01767707069
ACH-000226,-1.26935032236
ACH-000227,-1.28624680694
ACH-000228,-1.37628267538
ACH-000231,-1.1970081616500001
ACH-000232,-1.22619548651
ACH-000233,-1.13124335696
ACH-000234,-0.8671983378929999
ACH-000235,-1.11328033923
ACH-000237,-1.169351085
ACH-000238,-1.1132111797700002
ACH-000243,-1.34758270933
ACH-000244,-1.51965369562
ACH-000246,-1.29608131166
ACH-000248,-1.222044879
ACH-000250,-1.1968445269299999
ACH-000251,-0.7436323375920001
ACH-000253,-1.15952012244
ACH-000255,-1.2470698520799999
ACH-000256,-1.29766094938
ACH-000257,-1.20702409474
ACH-000258,-1.4574524745299997
ACH-000259,-1.32108774826
ACH-000260,-1.17496188711
ACH-000261,-1.41661671184
ACH-000262,-1.32836311433
ACH-000263,-1.4311884116
ACH-000264,-1.0112746130299999
ACH-000265,-1.2646211050700003
ACH-000266,-1.3486868527000002
ACH-000272,-1.20608810461
ACH-000273,-1.1564409536700002
ACH-000274,-1.1710688099600002
ACH-000277,-1.0
ACH-000278,-1.3795089945299999
ACH-000279,-1.6188908563
ACH-000280,-1.30328963464
ACH-000281,-1.5856104483700002
ACH-000288,-1.27210988069
ACH-000291,-1.0279598293899999
ACH-000293,-0.914817273194
ACH-000294,-1.34620030264
ACH-000295,-1.59678345618
ACH-000296,-1.06000150506
ACH-000302,-1.1136003801899998
ACH-000304,-1.19917597341
ACH-000307,-1.2513654164499999
ACH-000308,-1.23854263816
ACH-000310,-1.57710431301
