,UROS (7390)
ACH-000004,-0.21531236411600002
ACH-000007,-0.155448616727
ACH-000009,-0.25895740446800003
ACH-000011,0.0602382327642
ACH-000012,-0.31906438796500003
ACH-000013,-0.06401430911980001
ACH-000014,-0.25226735055300004
ACH-000015,-0.22676081638599999
ACH-000017,-0.286119187037
ACH-000018,-0.42646162149300004
ACH-000019,-0.28665216204300004
ACH-000021,-0.241966681798
ACH-000022,-0.254935878662
ACH-000025,-0.39178605305799996
ACH-000028,-0.253322431768
ACH-000030,-0.671561107922
ACH-000035,-0.17450376452100003
ACH-000036,-0.14517339827099998
ACH-000037,-0.329216641141
ACH-000039,-0.313988222842
ACH-000040,-0.30001470813700004
ACH-000041,-0.42399790993500003
ACH-000042,-0.29687085663
ACH-000045,-0.6989539498540001
ACH-000047,-0.570481339244
ACH-000052,-0.0107385969352
ACH-000053,-0.803243906332
ACH-000054,-0.23601768731400002
ACH-000055,-0.10495308855699999
ACH-000060,-0.185971928777
ACH-000067,-0.126528929958
ACH-000070,-0.911334367202
ACH-000075,-0.0414461377425
ACH-000078,-0.17674733438
ACH-000082,-0.304722730638
ACH-000085,-0.147635543201
ACH-000086,-0.279572875782
ACH-000087,-0.353560880951
ACH-000092,-0.237427311082
ACH-000095,-0.123089997259
ACH-000097,-0.226519889014
ACH-000098,-0.26893543874299997
ACH-000099,-0.405015623963
ACH-000108,-0.335871944661
ACH-000113,-0.63415874719
ACH-000115,-0.225887110168
ACH-000116,-0.17606930218
ACH-000118,-0.460409241256
ACH-000120,-0.299542522807
ACH-000123,-0.0415688965399
ACH-000127,-0.139034955011
ACH-000128,-0.339739058521
ACH-000132,-0.22594039736299998
ACH-000133,-0.0606849019065
ACH-000137,-0.196475714001
ACH-000138,-0.347057207716
ACH-000142,-0.225163094623
ACH-000143,-0.092999350122
ACH-000146,-0.516316406554
ACH-000148,-0.249428960748
ACH-000150,-0.580212007851
ACH-000152,-0.297157301024
ACH-000153,-0.190127070932
ACH-000159,-0.242887932247
ACH-000160,-0.29817243116799996
ACH-000163,-0.304253245274
ACH-000167,-0.113819727115
ACH-000168,-0.590310615285
ACH-000169,-0.36365156430100004
ACH-000178,-0.0469265199881
ACH-000182,-0.07603894243010001
ACH-000183,-0.590529551348
ACH-000188,-0.129379320939
ACH-000189,-0.285030869455
ACH-000190,-0.433325394776
ACH-000198,-0.745447928928
ACH-000204,-0.145129203157
ACH-000206,-0.18458162657699997
ACH-000207,-0.332299024778
ACH-000211,-0.21288859759
ACH-000215,-0.20116413813900003
ACH-000221,-0.296269820737
ACH-000222,-0.060830681887600005
ACH-000223,-0.202846711045
ACH-000226,-0.375706977741
ACH-000227,-0.313652773649
ACH-000228,-0.505695167776
ACH-000231,-0.294562439822
ACH-000232,-0.177511321596
ACH-000233,-0.741388394153
ACH-000234,-0.323282993909
ACH-000235,-0.225018513946
ACH-000237,-0.17869638972899998
ACH-000238,-0.46449257381399994
ACH-000243,-0.319749494455
ACH-000244,-0.009953585414719999
ACH-000246,-0.163493934082
ACH-000248,-0.315497101432
ACH-000250,-0.232103140196
ACH-000251,-0.349657003879
ACH-000253,-0.281662849552
ACH-000255,-0.194692397012
ACH-000256,-0.160422122463
ACH-000257,-0.162182778825
ACH-000258,-0.45638881395400005
ACH-000259,-0.111993758816
ACH-000260,-0.0671459322842
ACH-000261,-0.163834526985
ACH-000262,-0.06252503388280001
ACH-000263,0.00935642789412
ACH-000264,-0.267928475446
ACH-000265,-0.18479199153999998
ACH-000266,-0.27003216832800003
ACH-000272,-0.30051390077
ACH-000273,-0.494860056108
ACH-000274,-0.301938854027
ACH-000277,-0.48899489368
ACH-000278,-0.122441266843
ACH-000279,-0.657165104267
ACH-000280,-0.423601639366
ACH-000281,-0.675132592942
ACH-000288,-0.47673029743600004
ACH-000291,-0.0606306602589
ACH-000293,-0.338335397333
ACH-000294,-0.8828552867389999
ACH-000295,-0.896533594931
ACH-000296,0.0241571994961
ACH-000302,-0.25245607491
ACH-000304,0.0396294533888
ACH-000307,-0.290480380707
ACH-000308,-0.29111351737
ACH-000310,-0.357209766206
ACH-000311,-0.41603840703199996
ACH-000312,-0.31180857674199997
ACH-000315,-0.440453531059
ACH-000316,-0.38959944362
ACH-000317,-0.448196085905
ACH-000318,-0.352221672971
ACH-000319,-0.383667907341
ACH-000320,-0.36411745381800004
ACH-000322,-0.234568876382
ACH-000323,-0.510173219278
ACH-000324,-0.21121498393100002
ACH-000329,-0.45624458429
ACH-000330,-0.294908652386
ACH-000331,-0.0892930350345
ACH-000332,-0.27798510492
