,MOK (5891)
ACH-000004,-0.548015698366
ACH-000007,-0.562574082322
ACH-000009,-0.311297740368
ACH-000011,-0.271929906106
ACH-000012,-0.472755500581
ACH-000013,-0.510071240005
ACH-000014,-0.409307415682
ACH-000015,-0.506130966836
ACH-000017,-0.509255946898
ACH-000018,-0.631253510901
ACH-000019,-0.511220291175
ACH-000021,-0.412109820022
ACH-000022,-0.359574511899
ACH-000025,-0.213333947647
ACH-000028,-0.426413043686
ACH-000030,-0.20122741368500002
ACH-000035,-0.343146565635
ACH-000036,-0.503741438181
ACH-000037,-0.358529658724
ACH-000039,-0.329726958454
ACH-000040,-0.527664835831
ACH-000041,-0.34634285389700004
ACH-000042,-0.605945169088
ACH-000045,-0.39382246227300005
ACH-000047,-0.511417886524
ACH-000052,-0.569654431036
ACH-000053,-0.400316195596
ACH-000054,-0.4759114621
ACH-000055,-0.6155002877929999
ACH-000060,-0.549382182027
ACH-000067,-0.520582764434
ACH-000070,-0.498569334345
ACH-000075,-0.271543253516
ACH-000078,-0.508840516875
ACH-000082,-0.521139306286
ACH-000085,-0.372379044735
ACH-000086,-0.339410278054
ACH-000087,-0.12390001240700001
ACH-000092,-0.436864697502
ACH-000095,-0.574546810591
ACH-000097,-0.505764950483
ACH-000098,-0.503849121941
ACH-000099,-0.369408560198
ACH-000108,-0.316752132853
ACH-000113,-0.547798765419
ACH-000115,-0.284349815797
ACH-000116,-0.390466859632
ACH-000118,-0.325125642709
ACH-000120,-0.42635528058600003
ACH-000123,-0.38331373636699995
ACH-000127,-0.441121025893
ACH-000128,-0.376275358275
ACH-000132,-0.49355891536300006
ACH-000133,-0.623334567304
ACH-000137,-0.565818246491
ACH-000138,-0.457875716259
ACH-000142,-0.561917334214
ACH-000143,-0.499103701325
ACH-000146,-0.416431953234
ACH-000148,-0.608406290286
ACH-000150,-0.37976898451700003
ACH-000152,-0.554339909226
ACH-000153,-0.19410222075
ACH-000159,-0.47852271701000004
ACH-000160,-0.5747626751179999
ACH-000163,-0.49901139102200004
ACH-000167,0.114162819516
ACH-000168,-0.803320537423
ACH-000169,-0.437566710947
ACH-000178,-0.406693424552
ACH-000182,-0.497632552663
ACH-000183,-0.344745473516
ACH-000188,-0.474532598212
ACH-000189,-0.481942761216
ACH-000190,-0.435133589441
ACH-000198,-0.51671037284
ACH-000204,-0.558732675326
ACH-000206,-0.441081065077
ACH-000207,-1.04238637884
ACH-000211,-0.555563017619
ACH-000215,-0.389589912426
ACH-000221,-0.55288828158
ACH-000222,-0.329078359601
ACH-000223,-0.5652417207399999
ACH-000226,-0.350300243194
ACH-000227,-0.594027220423
ACH-000228,-0.207155293658
ACH-000231,-0.52375846398
ACH-000232,-0.432131739608
ACH-000233,-0.425521243961
ACH-000234,-0.440764092199
ACH-000235,-0.48242440955399996
ACH-000237,-0.237201367891
ACH-000238,-0.446143091105
ACH-000243,-0.342399996818
ACH-000244,-0.612025805336
ACH-000246,-0.5050811269650001
ACH-000248,-0.518183390517
ACH-000250,-0.407494743112
ACH-000251,-0.30345994917
ACH-000253,-0.5546249056229999
ACH-000255,-0.30379162959399997
ACH-000256,-0.573485051681
ACH-000257,-0.693507162651
ACH-000258,-0.373387262385
ACH-000259,-0.521232546474
ACH-000260,-0.507845342117
ACH-000261,-0.43303383303599996
ACH-000262,-0.34046179716200003
ACH-000263,-0.603879087774
ACH-000264,-0.534302155474
ACH-000265,-0.243573354204
ACH-000266,-0.49406187779399996
ACH-000272,-0.434633138975
ACH-000273,-0.403175135213
ACH-000274,-0.55059237912
ACH-000277,-0.643149388194
ACH-000278,-0.320123075288
ACH-000279,-0.446705286034
ACH-000280,-0.6674565664769999
ACH-000281,-0.458515421171
ACH-000288,-0.42089201386200004
ACH-000291,-0.479383243602
ACH-000293,-0.605692283215
ACH-000294,-0.31720544715599996
ACH-000295,-0.38997369146099997
ACH-000296,-0.273575732582
ACH-000302,-0.4452674112899999
ACH-000304,-0.08265142643189999
ACH-000307,-0.519285454658
ACH-000308,-0.417871055291
ACH-000310,-0.718330082943
ACH-000311,-0.452233094112
ACH-000312,-0.647393419413
ACH-000315,-0.645474161843
ACH-000316,-0.338592647882
ACH-000317,-0.17528103216
ACH-000318,-0.49718895420500003
ACH-000319,-0.524955332342
ACH-000320,-0.488769139552
ACH-000322,-0.233595033318
ACH-000323,-0.47436172287699996
ACH-000324,-0.522076339881
ACH-000329,-0.452840423027
ACH-000330,-0.542331621823
ACH-000331,-0.327363475552
ACH-000332,-0.478881432364
ACH-000334,-0.502218279154
ACH-000335,0.027790271736499998
ACH-000336,-0.7066239987549999
ACH-000337,-0.512106474056
ACH-000339,-0.435003004943
ACH-000341,-0.257394212023
ACH-000348,-0.459415967769
ACH-000350,-0.508323209961
ACH-000352,-0.396628132579
ACH-000356,-0.47341915632700005
ACH-000361,-0.240632904553
ACH-000362,-0.498332855497
ACH-000363,-0.628395689396
ACH-000364,-0.35075031394100004
ACH-000365,-0.34296629897500003
ACH-000366,-0.547323297644
ACH-000368,-0.43231966654299997
ACH-000374,-0.334978762809
ACH-000375,-0.424683482613
ACH-000376,-0.499075553023
ACH-000381,-0.5067938794100001
ACH-000383,-0.40560739491
ACH-000387,-0.424326700147
ACH-000389,-0.37531013741499997
ACH-000390,-0.6171930910260001
ACH-000393,-0.546671971
ACH-000395,-0.643606725832
ACH-000397,-0.504111418279
ACH-000401,-0.314849373308
ACH-000402,-0.27026089856400004
ACH-000403,-0.430617903235
ACH-000404,-0.12110144808000001
ACH-000406,-0.5020396185270001
ACH-000407,-0.38791116321
ACH-000408,-0.34344647362899994
ACH-000410,-0.32011225438
ACH-000411,-0.342791734106
ACH-000414,-0.46269814697300005
ACH-000415,-0.391244704007
ACH-000416,-0.540217366793
ACH-000420,-0.373643090876
ACH-000421,-0.481540800959
ACH-000424,-0.47062095636699997
ACH-000425,-0.497452147289
ACH-000426,-0.6565113666879999
ACH-000427,-0.5147180868760001
ACH-000433,-0.42962027733
ACH-000436,-0.358986442323
ACH-000444,-0.274634973055
ACH-000445,-0.7758066727609999
ACH-000448,-0.479055845092
ACH-000450,-0.6193509221710001
ACH-000452,-0.446823213047
ACH-000454,-0.513304317557
ACH-000458,-0.46720770640299997
ACH-000459,-0.0465454528372
ACH-000460,-0.5424231906679999
ACH-000461,-0.44813568255099995
ACH-000463,-0.384684031531
ACH-000464,-0.503423852976
ACH-000466,-0.759417040616
ACH-000467,-0.425067455787
ACH-000468,-0.428566684233
ACH-000469,-0.642244255793
ACH-000470,-0.274852674003
ACH-000471,-0.48357436787600006
ACH-000472,-0.533770633881
ACH-000473,-0.331173842762
ACH-000475,-0.42759723123599996
ACH-000476,-0.447366346555
ACH-000477,-0.445213261338
ACH-000480,-0.328487973293
ACH-000481,-0.341275431235
ACH-000483,-0.611240349137
ACH-000484,-0.596372835564
ACH-000485,-0.575139804109
ACH-000486,-0.359119091197
ACH-000487,-0.34250213643
ACH-000488,-0.482533136097
ACH-000490,-0.455716263445
ACH-000491,-0.637783562298
ACH-000495,-0.576539476998
ACH-000496,-0.44126876636999995
ACH-000499,-0.510006017214
ACH-000500,-0.0709489395295
ACH-000502,-0.508292784365
ACH-000503,-0.26415620480700003
ACH-000505,-0.447282948389
ACH-000507,-0.45054545976800003
ACH-000510,-0.39227782784000004
