,SRBD1 (55133)
ACH-000004,-1.2948789456299998
ACH-000007,-1.4496940454299998
ACH-000009,-1.08958090329
ACH-000011,-1.79203901975
ACH-000012,-1.43805245461
ACH-000013,-1.65481518715
ACH-000014,-1.7270347726599997
ACH-000015,-1.44947169956
ACH-000017,-1.2131403644499998
ACH-000018,-1.5201186772400002
ACH-000019,-0.961571261312
ACH-000021,-1.33474727325
ACH-000022,-1.30161624596
ACH-000025,-1.2983242428
ACH-000028,-1.2067209268899999
ACH-000030,-1.28631354376
ACH-000035,-1.5210666587200001
ACH-000036,-1.4964608891
ACH-000037,-1.0183715748
ACH-000039,-1.84601456847
ACH-000040,-1.56257206191
ACH-000041,-1.79935878531
ACH-000042,-1.4758746347100002
ACH-000045,-1.5665423467700001
ACH-000047,-1.60256519502
ACH-000052,-1.67201679354
ACH-000053,-1.3383136281299999
ACH-000054,-1.4224738577200002
ACH-000055,-1.29916060096
ACH-000060,-1.3518775422100002
ACH-000067,-1.47037483985
ACH-000070,-1.65214898039
ACH-000075,-1.4207927950299999
ACH-000078,-1.4939083577399999
ACH-000082,-1.24217809335
ACH-000085,-1.6192252555899997
ACH-000086,-1.3493016759099998
ACH-000087,-1.69661891041
ACH-000092,-1.52314695171
ACH-000095,-1.36759029501
ACH-000097,-1.66066116226
ACH-000098,-1.7114067105000002
ACH-000099,-1.4048741858000002
ACH-000108,-1.27342016963
ACH-000113,-1.6634773814700001
ACH-000115,-1.50995796916
ACH-000116,-1.29444021262
ACH-000118,-1.46747357141
ACH-000120,-1.60838040008
ACH-000123,-1.6284247801499998
ACH-000127,-1.15236391479
ACH-000128,-1.53894326171
ACH-000132,-1.48850680896
ACH-000133,-1.3628012077899998
ACH-000137,-1.7494897492500001
ACH-000138,-1.5319171433399998
ACH-000142,-1.2548391169600002
ACH-000143,-1.55738846901
ACH-000146,-1.8097562572900001
ACH-000148,-1.4541259845299999
ACH-000150,-1.66846417163
ACH-000152,-1.50295195544
ACH-000153,-1.1665574178
ACH-000159,-1.87314873259
ACH-000160,-1.8623692748099998
ACH-000163,-1.5241408934099998
ACH-000167,-1.65486181272
ACH-000168,-1.43786799034
ACH-000169,-1.26404277881
ACH-000178,-1.55459854785
ACH-000182,-1.5195097560799997
ACH-000183,-1.5246767707299997
ACH-000188,-1.47176157574
ACH-000189,-1.6589738973800001
ACH-000190,-1.2736269822600002
ACH-000198,-1.4069425631099999
ACH-000204,-1.3544941523899998
ACH-000206,-1.3443021303600002
ACH-000207,-1.13545399231
ACH-000211,-1.6956552660100002
ACH-000215,-1.4698388877000002
ACH-000221,-1.26389302776
ACH-000222,-1.57632430435
ACH-000223,-1.6649616132499998
ACH-000226,-1.34027224855
ACH-000227,-1.9459335819699999
ACH-000228,-1.65274823378
ACH-000231,-1.61136819759
ACH-000232,-1.5374061605200002
ACH-000233,-1.4456696971599998
ACH-000234,-1.70957594046
ACH-000235,-1.5182233376700003
ACH-000237,-1.35070353212
ACH-000238,-1.54741409678
ACH-000243,-1.8128199733900001
ACH-000244,-1.2817993717799998
ACH-000246,-1.53817920848
ACH-000248,-1.52242977081
ACH-000250,-1.5238467392
ACH-000251,-1.71096741162
ACH-000253,-1.4684015494100002
ACH-000255,-1.3944196567700002
ACH-000256,-1.20437539808
ACH-000257,-1.63289110825
ACH-000258,-1.3387745497399999
ACH-000259,-1.4828292181600002
ACH-000260,-1.47787576242
ACH-000261,-1.77516101289
ACH-000262,-1.7585544863900002
ACH-000263,-1.7189178061700001
ACH-000264,-1.62638817625
ACH-000265,-1.43895170007
ACH-000266,-1.4735153930000002
ACH-000272,-1.26255418488
ACH-000273,-1.61860929682
ACH-000274,-1.9195223391999998
ACH-000277,-1.32956473338
ACH-000278,-1.2498423413600002
ACH-000279,-1.86812261974
ACH-000280,-1.65000289371
ACH-000281,-1.72320573741
ACH-000288,-1.60585393873
ACH-000291,-1.33576038178
ACH-000293,-1.7137247649899998
ACH-000294,-1.1790361363
ACH-000295,-1.51014772337
ACH-000296,-1.38017711193
ACH-000302,-1.31475558274
ACH-000304,-2.15439612805
ACH-000307,-1.52046643326
ACH-000308,-1.70673312996
ACH-000310,-1.3608664693799999
ACH-000311,-1.40277596163
ACH-000312,-1.45589245887
ACH-000315,-1.1296369746500001
ACH-000316,-1.69700471093
ACH-000317,-2.35931799084
ACH-000318,-1.5285145517299998
ACH-000319,-1.64664560316
ACH-000320,-1.71675798885
ACH-000322,-1.5344708255300001
ACH-000323,-1.47611337028
ACH-000324,-1.7467467387200002
