,ZBTB16 (7704)
ACH-000571,0.0990266905766
ACH-000573,0.107998531831
ACH-000576,0.291004075407
ACH-000580,0.20703318102499998
ACH-000584,0.103301521998
ACH-000585,0.22101404537500002
ACH-000588,0.09944271918610001
ACH-000589,0.218545862329
ACH-000591,0.127168814242
ACH-000593,0.07470380343960001
ACH-000600,0.159684909204
ACH-000601,0.149011058696
ACH-000604,0.125141947554
ACH-000605,0.108065440481
ACH-000606,0.177683013183
ACH-000608,0.176751244281
ACH-000614,0.276450739796
ACH-000616,0.120229628479
ACH-000618,0.0669425041566
ACH-000619,0.07175636767139999
ACH-000620,0.16787007742899998
ACH-000621,0.210880769486
ACH-000622,-0.046764968669600004
ACH-000623,-0.0651862062081
ACH-000624,0.23746994897
ACH-000627,0.168403266292
ACH-000630,0.0712076249906
ACH-000632,0.117971105581
ACH-000633,-0.039741774783099995
ACH-000637,-0.129083962243
ACH-000638,0.17760920635000002
ACH-000646,0.254899103671
ACH-000647,0.15538712123099999
ACH-000648,0.22330914974
ACH-000649,0.108232119491
ACH-000651,0.06920876365730001
ACH-000652,-0.0555109146015
ACH-000653,0.189758404625
ACH-000657,0.0492375081494
ACH-000658,0.211252524698
ACH-000661,0.164989819583
ACH-000662,0.39145293833800004
ACH-000663,-0.0874313954095
ACH-000665,0.0459985994401
ACH-000671,0.0611576030107
ACH-000673,0.161171612254
ACH-000676,0.100227263207
ACH-000677,0.314011716891
ACH-000681,0.050916926212
ACH-000682,0.25385915222100003
ACH-000683,0.10327002201999999
ACH-000684,-0.0158852751928
ACH-000688,0.511821452113
ACH-000693,0.07038862739080001
ACH-000694,0.129262941339
ACH-000695,-0.0031885901231399998
ACH-000696,0.200467715647
ACH-000697,0.151349605942
ACH-000699,0.21804616142799998
ACH-000701,0.17003045832199998
ACH-000706,0.0165416628198
ACH-000711,0.271585043473
ACH-000713,0.151739107317
ACH-000714,-0.0540665208385
ACH-000718,0.100395219193
ACH-000720,0.152082947431
ACH-000721,0.130000763238
ACH-000724,0.156316350569
ACH-000725,0.155247370799
ACH-000732,0.314087427039
ACH-000734,0.0639255491579
ACH-000735,0.352595156384
ACH-000736,-0.0641188068512
ACH-000738,0.042731258808300004
ACH-000746,0.282989441002
ACH-000747,0.167556044713
ACH-000748,0.367359819287
ACH-000753,0.167740170935
ACH-000756,0.268155896979
ACH-000757,0.0323082755009
ACH-000758,0.0119185332575
ACH-000760,0.151067119478
ACH-000763,0.10054038383
ACH-000764,0.25730031778900003
ACH-000765,0.046754186658600004
ACH-000766,0.14688248440999999
