,DNAH2 (146754)
ACH-000004,-0.22913016653499998
ACH-000007,-0.04436146591469999
ACH-000009,-0.552205495114
ACH-000011,-0.207724646358
ACH-000012,-0.22909418216400002
ACH-000013,-0.30999707923
ACH-000014,-0.053096717764999996
ACH-000015,-0.20776759055
ACH-000017,-0.144073533394
ACH-000018,-0.251380779994
ACH-000019,0.0715188534734
ACH-000021,-0.13533940898900002
ACH-000022,-0.0012803825315
ACH-000025,-0.28627640681
ACH-000028,-0.09893277224449999
ACH-000030,-0.239388035648
ACH-000035,-0.225170127935
ACH-000036,-0.39740856634000005
ACH-000037,-0.190777389736
ACH-000039,-0.15990133588
ACH-000040,-0.33494286234799997
ACH-000041,-0.29299515659
ACH-000042,-0.224671363853
ACH-000045,-0.37004093664099996
ACH-000047,-0.0654006675979
ACH-000052,-0.49145139143600003
ACH-000053,-0.169023222946
ACH-000054,-0.08542198672419998
ACH-000055,-0.202158312168
ACH-000060,-0.266485045167
ACH-000067,-0.20640243421799997
ACH-000070,-0.171102840376
ACH-000075,-0.17232722927900002
ACH-000078,-0.239129560754
ACH-000082,-0.520949537456
ACH-000085,-0.138819613283
ACH-000086,-0.240073233071
ACH-000087,0.0180118223516
ACH-000092,-0.029664171251099998
ACH-000095,-0.040214027413900004
ACH-000097,-0.05121716921180001
ACH-000098,-0.27854364574
ACH-000099,-0.254890548147
ACH-000108,-0.23754412342599998
ACH-000113,-0.23181221347
ACH-000115,-0.296518104438
ACH-000116,-0.156378829283
ACH-000118,-0.208977102292
ACH-000120,-0.300258662944
ACH-000123,-0.291680241045
ACH-000127,-0.221355370048
ACH-000128,-0.26929374612199997
ACH-000132,-0.0964590910699
ACH-000133,-0.305264838151
ACH-000137,-0.0281012464689
ACH-000138,-0.37775035351400005
ACH-000142,-0.37489023646200004
ACH-000143,-0.120371360427
ACH-000146,-0.139656733333
ACH-000148,-0.154418380597
ACH-000150,-0.212974837102
ACH-000152,-0.446757654502
ACH-000153,-0.111667701797
ACH-000159,-0.081049477823
ACH-000160,-0.171993232478
ACH-000163,-0.26815584519499996
ACH-000167,-0.126921172184
ACH-000168,-0.381286201551
ACH-000169,-0.0623342666017
ACH-000178,-0.310050325698
ACH-000182,-0.344352335248
ACH-000183,-0.240125184254
ACH-000188,-0.366160675112
ACH-000189,0.00547659136625
ACH-000190,-0.039672592016099996
ACH-000198,-0.273623215518
ACH-000204,-0.154142354435
ACH-000206,-0.28096238472199997
ACH-000207,-0.34582661360100003
ACH-000211,-0.0973783681555
ACH-000215,-0.186343094388
ACH-000221,-0.284832954727
ACH-000222,-0.155717336161
ACH-000223,-0.16137553632999999
ACH-000226,-0.363407011631
ACH-000227,-0.19309506655499997
ACH-000228,-0.160491387948
ACH-000231,-0.36526196579099995
ACH-000232,-0.213610228559
ACH-000233,-0.287059854495
ACH-000234,-0.17898388706
ACH-000235,-0.196988292106
ACH-000237,-0.243724846336
ACH-000238,-0.418175634523
ACH-000243,-0.273560361593
ACH-000244,-0.309713362012
ACH-000246,-0.0902998928531
ACH-000248,-0.18600858762400002
ACH-000250,-0.345561324988
ACH-000251,-0.0572260571683
ACH-000253,-0.207819413022
ACH-000255,-0.040278959444699995
ACH-000256,-0.37549357961999996
ACH-000257,-0.274228316599
ACH-000258,-0.25430840908
ACH-000259,-0.0818112629808
ACH-000260,-0.242175810467
ACH-000261,-0.296635893328
ACH-000262,-0.156633298018
ACH-000263,-0.065992920022
ACH-000264,-0.135918874448
ACH-000265,-0.143188391953
ACH-000266,-0.110997626878
ACH-000272,-0.37289353980499995
ACH-000273,-0.34952745255
ACH-000274,-0.22327206379999998
ACH-000277,-0.355574359347
ACH-000278,-0.028655287938900004
ACH-000279,-0.166227700354
ACH-000280,-0.191482719093
ACH-000281,-0.231015862938
ACH-000288,-0.528248770961
ACH-000291,-0.04606601767469999
ACH-000293,-0.197013399918
ACH-000294,-0.18111399525199998
ACH-000295,-0.21560589539500002
ACH-000296,-0.227518450872
ACH-000302,-0.180759089748
ACH-000304,-0.29615350911
ACH-000307,-0.197053823165
ACH-000308,-0.044128303285999995
ACH-000310,0.000946049103417
ACH-000311,-0.238661610975
ACH-000312,-0.084564912784
ACH-000315,-0.20531758802299999
ACH-000316,-0.20379234462
ACH-000317,0.0552286890374
ACH-000318,-0.245975017485
ACH-000319,-0.416071055173
ACH-000320,-0.308676091985
ACH-000322,-0.154617564076
ACH-000323,-0.31790824164500003
ACH-000324,-0.149294827436
ACH-000329,-0.273715648494
ACH-000330,-0.255032738813
ACH-000331,-0.106733958409
ACH-000332,-0.118286318857
ACH-000334,-0.058409730314699995
ACH-000335,-0.0189093455726
ACH-000336,-0.303499857801
ACH-000337,0.164822815388
ACH-000339,-0.235126270913
ACH-000341,-0.0943999825333
ACH-000348,-0.22363460238400001
ACH-000350,-0.12369205095899999
ACH-000352,-0.13034771400599998
ACH-000356,-0.644294872934
ACH-000361,-0.158312042854
ACH-000362,-0.250386181037
ACH-000363,-0.182896076339
ACH-000364,-0.18395687249099998
ACH-000365,-0.196000492382
ACH-000366,-0.14202127341499998
ACH-000368,-0.0377472601295
ACH-000374,-0.194031152381
ACH-000375,-0.235008208404
ACH-000376,-0.163637194317
ACH-000381,-0.157776519221
ACH-000383,-0.241786780121
ACH-000387,-0.22163556482500002
ACH-000389,-0.0294030138865
ACH-000390,-0.187306100942
ACH-000393,-0.391224240553
ACH-000395,0.115800355741
ACH-000397,-0.13013045653799998
ACH-000401,-0.23731973855500002
ACH-000402,-0.19379413363899997
ACH-000403,-0.140745667573
ACH-000404,-0.00954317392002
ACH-000406,-0.239140252284
ACH-000407,-0.21879816316300002
ACH-000408,-0.39027843296400005
ACH-000410,-0.128135346201
ACH-000411,-0.16218433568399998
ACH-000414,-0.15487397082
ACH-000415,-0.26204576845
ACH-000416,-0.213019198921
ACH-000420,-0.260467561879
ACH-000421,-0.10908229417899999
ACH-000424,-0.0342993494184
ACH-000425,-0.0956888284632
ACH-000426,-0.148782818755
ACH-000427,-0.171321149124
ACH-000433,-0.256913740173
ACH-000436,-0.23098247107500003
ACH-000444,-0.173666189013
ACH-000445,-0.313926210778
ACH-000448,-0.151423505482
ACH-000450,-0.31814410089699996
ACH-000452,-0.21088896425099998
ACH-000454,-0.24221806092300002
ACH-000458,-0.05387234548309999
ACH-000459,-0.237761787725
ACH-000460,-0.202314888182
ACH-000461,-0.0311440467724
ACH-000463,-0.147182970613
ACH-000464,-0.353852769551
ACH-000466,-0.193160468692
ACH-000467,-0.200584580881
ACH-000468,-0.390677875159
ACH-000469,-0.260315127689
ACH-000470,-0.25470332780099997
ACH-000471,-0.11147379746500001
ACH-000472,-0.128763552955
ACH-000473,-0.21924223635899998
ACH-000475,-0.14964387106899998
ACH-000476,-0.032273099320200005
ACH-000477,-0.000598495914531
ACH-000480,-0.15277146401900002
ACH-000481,-0.00195951065683
ACH-000483,-0.383789282302
ACH-000484,0.069506670532
ACH-000485,-0.171892977183
ACH-000486,-0.0558975079204
ACH-000487,-0.17213728222600003
ACH-000488,-0.113897284121
ACH-000490,-0.022286542802900003
ACH-000491,-0.07907665082160001
ACH-000495,0.08509410470760001
ACH-000496,-0.331414330766
ACH-000499,-0.21454633358800002
ACH-000500,-0.0499027880707
ACH-000502,-0.24285798664
ACH-000503,-0.019651588625
ACH-000505,-0.185307876045
ACH-000507,-0.116813240202
ACH-000510,-0.273265036073
ACH-000511,-0.441008322231
ACH-000512,-0.16702724295399998
ACH-000516,-0.145232719944
ACH-000517,-0.17619102179499999
ACH-000518,-0.15144881445800001
ACH-000520,-0.369241481608
ACH-000521,-0.150964389064
