,MFF (56947)
ACH-000004,0.011597096727
ACH-000007,0.211631415416
ACH-000009,-0.206392967834
ACH-000011,-0.200383463383
ACH-000012,-0.121309604797
ACH-000013,-0.0655562795063
ACH-000014,-0.00838724686044
ACH-000015,0.00271277249361
ACH-000017,-0.143488491752
ACH-000018,-0.176873013277
ACH-000019,0.0374408384116
ACH-000021,-0.0278430950237
ACH-000022,-0.106123209606
ACH-000025,-0.23291773518000003
ACH-000028,-0.456927674322
ACH-000030,-0.044625072035600004
ACH-000035,0.23939733703699997
ACH-000036,-0.0618663022789
ACH-000037,0.0030492865469400002
ACH-000039,-0.156960725507
ACH-000040,-0.0724114488908
ACH-000041,0.19494509733100002
ACH-000042,-0.102323482653
ACH-000045,0.138748843835
ACH-000047,-0.119581505818
ACH-000052,-0.09402765149810001
ACH-000053,-0.158799943046
ACH-000054,-0.0544018679144
ACH-000055,-0.195494462053
ACH-000060,-0.03465494091369999
ACH-000067,-0.17628921332400002
ACH-000070,0.172692868597
ACH-000075,-0.196679162309
ACH-000078,-0.139892906928
ACH-000082,-0.02277679279
ACH-000085,0.0820560543832
ACH-000086,-0.0997988513208
ACH-000087,-0.24137569318000004
ACH-000092,-0.329554797361
ACH-000095,-0.0828237992065
ACH-000097,-0.183233048682
ACH-000098,-0.217447279741
ACH-000099,-0.266325857573
ACH-000108,-0.41801404552599997
ACH-000113,0.00684354566768
ACH-000115,-0.041179379112900004
ACH-000116,-0.0804034502414
ACH-000118,0.0954998588134
ACH-000120,-0.114722626509
ACH-000123,-0.19249439891399997
ACH-000127,-0.12250991014000001
ACH-000128,-0.021941334761099995
ACH-000132,0.144455208554
ACH-000133,-0.243525433558
ACH-000137,-0.264683164559
ACH-000138,-0.08559790559080001
ACH-000142,-0.170515968371
ACH-000143,-0.156741695953
ACH-000146,-0.00700785053018
ACH-000148,-0.158067925539
ACH-000150,-0.386412217846
ACH-000152,-0.0187450557021
ACH-000153,-0.43681178367
ACH-000159,-0.166771784805
ACH-000160,-0.0347723738975
ACH-000163,-0.12401479622099999
ACH-000167,-0.512668044201
ACH-000168,-0.045932447043
ACH-000169,0.00854480453781
ACH-000178,-0.0026766773994299996
ACH-000182,-0.115315297855
ACH-000183,-0.030182490082
ACH-000188,-0.17813948104200003
ACH-000189,-0.152418044207
ACH-000190,-0.181664444505
ACH-000198,-0.0293573297308
ACH-000204,-0.502010478071
ACH-000206,-0.0798082443104
ACH-000207,-0.353515353833
ACH-000211,-0.12784731567
ACH-000215,-0.030669101060200002
ACH-000221,-0.25690499293200003
ACH-000222,-0.10254341252499999
ACH-000223,-0.21031827957199997
ACH-000226,-0.335478315578
ACH-000227,0.18670848841899998
ACH-000228,-0.0439586178737
ACH-000231,-0.0680665738644
ACH-000232,-0.189323511457
ACH-000233,0.00156993120276
ACH-000234,-0.10860525554400001
ACH-000235,-0.028661603662299997
ACH-000237,-0.362623634666
ACH-000238,0.022439865639599998
ACH-000243,-0.08610023758369999
ACH-000244,0.14896905685999998
ACH-000246,-0.18763331089899998
ACH-000248,-0.219728582703
ACH-000250,-0.11673796085100001
ACH-000251,-0.17445511736299998
ACH-000253,0.0505550922197
ACH-000255,-0.269489042685
ACH-000256,-0.27236085739300003
ACH-000257,0.08172863192039999
ACH-000258,0.25226554703000004
ACH-000259,0.035811829765400004
