,UNC13D (201294)
ACH-000004,-0.128981736876
ACH-000007,-0.0110399195676
ACH-000009,-0.21352444047400002
ACH-000011,-0.0954093606281
ACH-000012,-0.0380770244788
ACH-000013,-0.101094298577
ACH-000014,-0.09190921215710002
ACH-000015,-0.011938364252299999
ACH-000017,-0.254506553494
ACH-000018,-0.0377139608982
ACH-000019,-0.34194515880099996
ACH-000021,-0.0687425234095
ACH-000022,-0.166795989691
ACH-000025,0.114025155682
ACH-000028,-0.0106883489834
ACH-000030,-0.07753664801860001
ACH-000035,-0.0874427034819
ACH-000036,-0.132039368884
ACH-000037,-0.269091125468
ACH-000039,-0.257573025919
ACH-000040,-0.0604697814845
ACH-000041,-0.29628390337
ACH-000042,-0.033895172911400005
ACH-000045,-0.156938062682
ACH-000047,-0.0102775037817
ACH-000052,-0.190810936904
ACH-000053,-0.006852619792020001
ACH-000054,-0.396223713169
ACH-000055,-0.153877745806
ACH-000060,-0.073927053243
ACH-000067,-0.209252082868
ACH-000070,-0.161271225091
ACH-000075,0.157471236699
ACH-000078,0.0352478176032
ACH-000082,-0.0444675824152
ACH-000085,-0.225203053617
ACH-000086,-0.28761349635600003
ACH-000087,-0.233711766152
ACH-000092,-0.057386404642599996
ACH-000095,-0.18122139209600002
ACH-000097,0.005275814479319999
ACH-000098,-0.0322902128423
ACH-000099,-0.0556480005994
ACH-000108,-0.04543781666899999
ACH-000113,-0.137573831596
ACH-000115,-0.159868222817
ACH-000116,-0.131769699777
ACH-000118,-0.129712732291
ACH-000120,-0.20424306844
ACH-000123,-0.0673625404792
ACH-000127,-0.0392390925377
ACH-000128,-0.182937124916
ACH-000132,-0.060261814129999994
ACH-000133,-0.0009980325891309999
ACH-000137,-0.152983387861
ACH-000138,-0.0798603403243
ACH-000142,-0.167157582464
ACH-000143,0.0452099432394
ACH-000146,-0.139733760716
ACH-000148,-0.128439178871
ACH-000150,-0.0665899569003
ACH-000152,-0.361888007989
ACH-000153,0.028042576392799997
ACH-000159,-0.250302431765
ACH-000160,-0.211838451961
ACH-000163,-0.0849297937063
ACH-000167,0.39858933063
ACH-000168,-0.13863149168400002
ACH-000169,-0.0497068995818
ACH-000178,-0.12373863917300001
ACH-000182,-0.0823466770705
ACH-000183,0.053727876705599996
ACH-000188,-0.0613927258007
ACH-000189,-0.0745117277182
ACH-000190,-0.0991341499593
ACH-000198,0.046507147270499996
ACH-000204,-0.010122769238
ACH-000206,0.0300826282398
ACH-000207,0.11325381952500001
ACH-000211,-0.221509177418
ACH-000215,-0.113106761905
ACH-000221,-0.0714749308396
ACH-000222,0.0006153594372189999
ACH-000223,-0.043185998032300006
ACH-000226,0.0321266625587
ACH-000227,-0.333435950297
ACH-000228,-0.250337610922
ACH-000231,-0.10375377933499999
ACH-000232,-0.120398095382
ACH-000233,-0.0779128333412
ACH-000234,-0.0294059854073
ACH-000235,-0.141341721893
ACH-000237,0.0672328359196
ACH-000238,-0.26701007001
ACH-000243,0.0361319800985
ACH-000244,0.0335938112531
ACH-000246,-0.109826643308
ACH-000248,-0.252301650688
ACH-000250,-0.139289258447
ACH-000251,0.080054093474
ACH-000253,-0.193887437426
ACH-000255,-0.242987458796
