,ALDOA (226)
ACH-000004,-1.1550946198799998
ACH-000007,-1.6579592303900001
ACH-000009,-1.15284642911
ACH-000011,-1.45265435671
ACH-000012,-1.4103501014700002
ACH-000013,-1.39158251559
ACH-000014,-1.28504203646
ACH-000015,-1.68466377014
ACH-000017,-1.08638525331
ACH-000018,-1.7354887971200001
ACH-000019,-1.10372491234
ACH-000021,-1.5383290812700001
ACH-000022,-1.47824473139
ACH-000025,-1.5196630624899998
ACH-000028,-1.52586095326
ACH-000030,-1.36399760629
ACH-000035,-1.48865068352
ACH-000036,-1.57247238806
ACH-000037,-2.4238339752
ACH-000039,-1.5758838866799998
ACH-000040,-1.81079537355
ACH-000041,-1.75553037905
ACH-000042,-1.55492236985
ACH-000045,-1.48429362523
ACH-000047,-1.06137287096
ACH-000052,-1.81115682543
ACH-000053,-0.388654895397
ACH-000054,-1.67856220153
ACH-000055,-1.2785710629
ACH-000060,-1.17036205066
ACH-000067,-1.37121190421
ACH-000070,-1.27850804666
ACH-000075,-1.4004936868900002
ACH-000078,-1.55631697075
ACH-000082,-1.7869636692500002
ACH-000085,-1.25581328779
ACH-000086,-1.51289091883
ACH-000087,-1.58615135592
ACH-000092,-1.32160612058
ACH-000095,-1.7845503360599997
ACH-000097,-1.3550790824099999
ACH-000098,-1.69995063206
ACH-000099,-1.50847579033
ACH-000108,-1.48080915224
ACH-000113,-1.5185481539899999
ACH-000115,-1.08385599474
ACH-000116,-1.19639942853
ACH-000118,-1.38839683558
ACH-000120,-1.27295791128
ACH-000123,-1.3598274871899998
ACH-000127,-1.3861038986200003
ACH-000128,-1.5031397024000002
ACH-000132,-1.4055046876700001
ACH-000133,-1.3367843722700001
ACH-000137,-2.1857718018
ACH-000138,-1.1726609606
ACH-000142,-1.3501698666600002
ACH-000143,-1.42018508927
ACH-000146,-1.21161858624
ACH-000148,-1.52937668887
ACH-000150,-1.3054371576200001
ACH-000152,-1.18978725895
ACH-000153,-1.47273758418
ACH-000159,-1.29326992065
ACH-000160,-1.61403277148
ACH-000163,-1.39639455347
ACH-000167,-1.7585037900599998
ACH-000168,-1.06745918977
ACH-000169,-1.4261425432100001
ACH-000178,-1.5057894962799998
ACH-000182,-0.5776980798420001
ACH-000183,-1.51465727242
ACH-000188,-1.42749639641
ACH-000189,-1.23482429379
ACH-000190,-1.4003265505000002
ACH-000198,-1.3016920943
ACH-000204,-1.60896764937
ACH-000206,-1.5369146255000001
ACH-000207,-1.5059127434000001
ACH-000211,-1.58214277984
ACH-000215,-1.61518513503
ACH-000221,-1.36071003665
ACH-000222,-1.35246824875
