,PXK (54899)
ACH-000004,0.135290435345
ACH-000007,0.140278603449
ACH-000009,0.210468016342
ACH-000011,0.15342976350600002
ACH-000012,0.314172346846
ACH-000013,0.311020948515
ACH-000014,0.357861506388
ACH-000015,0.314466371776
ACH-000017,0.231528055269
ACH-000018,0.428479276074
ACH-000019,0.17692388598099998
ACH-000021,0.266757368662
ACH-000022,0.10636339115700001
ACH-000025,0.291422081725
ACH-000028,0.231621247237
ACH-000030,0.17632862732299998
ACH-000035,0.22284505272500002
ACH-000036,0.11742043082499999
ACH-000037,0.24947224049000002
ACH-000039,0.35973125171
ACH-000040,0.197271643658
ACH-000041,0.27305437353
ACH-000042,0.189750112198
ACH-000045,0.13428010949400002
ACH-000047,0.224750632502
ACH-000052,0.40207291687799995
ACH-000053,0.15587650880999998
ACH-000054,0.155366698453
ACH-000055,0.221802325277
ACH-000060,0.292865624018
ACH-000067,0.07006894141560001
ACH-000070,0.11516231257899999
ACH-000075,-0.031863516159900004
ACH-000078,0.21387201887200002
ACH-000082,0.218433168026
ACH-000085,0.365252977168
ACH-000086,0.309282878328
ACH-000087,0.440877837453
ACH-000092,0.23101216149
ACH-000095,0.166226855933
ACH-000097,0.20844778702599998
ACH-000098,0.327140173007
ACH-000099,0.345415378239
ACH-000108,0.26742738305799996
ACH-000113,0.138446639912
ACH-000115,0.265851652254
ACH-000116,0.23403877711399998
ACH-000118,0.198206983659
ACH-000120,0.225185421197
ACH-000123,0.180257218393
ACH-000127,0.268824037036
ACH-000128,0.171890366578
ACH-000132,0.21940712915
ACH-000133,0.159757359347
ACH-000137,0.24916863375700002
ACH-000138,0.2865702866
ACH-000142,0.172202542866
ACH-000143,0.15739047777999998
ACH-000146,0.269057002459
ACH-000148,0.12547660198
ACH-000150,0.111828134017
ACH-000152,0.290896926417
ACH-000153,0.310611378304
ACH-000159,0.33279898283500003
ACH-000160,0.198417885306
ACH-000163,0.0104859818809
ACH-000167,0.113580097876
ACH-000168,0.27889326417
ACH-000169,0.180603055779
ACH-000178,0.180919366035
ACH-000182,0.11193185155999999
ACH-000183,0.0477775462815
ACH-000188,0.0759983667565
ACH-000189,0.37948310020000003
ACH-000190,0.378511534973
ACH-000198,-0.0672138438942
ACH-000204,0.105517625675
ACH-000206,0.33196326597
ACH-000207,0.191704636234
ACH-000211,0.240049573702
ACH-000215,0.180000933592
ACH-000221,0.149848380248
ACH-000222,0.414084653517
ACH-000223,0.09297456625129999
ACH-000226,0.341723122009
ACH-000227,0.0745629425618
ACH-000228,0.208842359993
ACH-000231,0.240201786535
ACH-000232,0.264342843879
ACH-000233,0.23772218810899998
ACH-000234,0.11116448080999998
ACH-000235,0.26000757315
ACH-000237,0.22078247540100002
ACH-000238,0.279887273959
ACH-000243,0.256422112148
ACH-000244,-0.29157064683
ACH-000246,0.200846757874
ACH-000248,0.464800863771
ACH-000250,0.223476515405
ACH-000251,0.303652594921
ACH-000253,0.186856139945
ACH-000255,0.201437404126
ACH-000256,0.17530671303800002
ACH-000257,0.33113526693399997
ACH-000258,0.18766252207400003
ACH-000259,0.28669306160700003
ACH-000260,0.224117965162
ACH-000261,0.19210584836199998
ACH-000262,0.0580504387381
ACH-000263,0.108604873209
ACH-000264,0.23318210284000002
ACH-000265,0.246009002002
ACH-000266,0.211721963946
ACH-000272,0.11606720784399999
ACH-000273,0.24202572573399997
ACH-000274,0.18271247851199998
ACH-000277,0.39956215895
ACH-000278,0.349374286659
ACH-000279,0.10006407464299999
ACH-000280,0.196348127925
ACH-000281,0.282669580681
ACH-000288,0.20510608134
ACH-000291,0.22640666351
ACH-000293,0.324802704593
ACH-000294,0.10627785401699999
ACH-000295,0.0977722129552
ACH-000296,0.18667294699099998
ACH-000302,0.28646339412300004
ACH-000304,0.28869333036999995
ACH-000307,0.268591834597
ACH-000308,0.19613813655499998
ACH-000310,0.246404856807
ACH-000311,0.336102824882
ACH-000312,0.429342950031
ACH-000315,0.207289035335
ACH-000316,0.0467725214623
ACH-000317,0.137727724931
ACH-000318,-0.0670395204185
ACH-000319,0.196993240564
ACH-000320,0.47210321233999997
ACH-000322,0.289047798134
ACH-000323,0.216106583508
ACH-000324,0.175776270983
ACH-000329,0.22585501725499998
ACH-000330,0.45029932998800004
ACH-000331,0.345316601059
ACH-000332,0.207947292088
ACH-000334,0.0449195043781
ACH-000335,0.0687150834433
ACH-000336,-0.062481779775599995
ACH-000337,0.485394107189
ACH-000339,0.281995027198
ACH-000341,0.09088382484989999
ACH-000348,0.213311284364
ACH-000350,0.211132146814
ACH-000352,0.279346405036
ACH-000356,0.201196144184
ACH-000361,0.353071371052
ACH-000362,0.111685554438
ACH-000363,0.0982291001752
ACH-000364,0.161342414269
ACH-000365,0.157015986736
ACH-000366,0.271905146893
ACH-000368,0.34174224594499997
ACH-000374,0.224784336385
ACH-000375,0.316310384401
ACH-000376,0.115765241886
ACH-000381,0.284818747474
ACH-000383,0.15340941830600002
ACH-000387,0.265334461477
ACH-000389,0.357656293781
ACH-000390,0.280880793359
ACH-000393,0.0428722309032
ACH-000395,0.17504471895399998
ACH-000397,0.161295050287
ACH-000401,0.24665917773600002
ACH-000402,0.158542042107
ACH-000403,0.154423841776
ACH-000404,0.0506312232601
ACH-000406,0.12247386253900001
ACH-000407,0.08530119899139998
ACH-000408,0.19258436956900002
ACH-000410,0.17361553522999998
ACH-000411,0.06401051470909999
ACH-000414,0.158259821581
ACH-000415,0.0933279063091
ACH-000416,0.201319390643
ACH-000420,0.026448201625599996
ACH-000421,0.17852828880899999
ACH-000424,0.050496216806800005
ACH-000425,0.242440665015
ACH-000426,0.10334041284399999
ACH-000427,0.167637165305
ACH-000433,0.158131201654
ACH-000436,0.0507513274265
ACH-000444,0.276444521903
ACH-000445,0.11616926109999999
ACH-000448,0.199054441637
ACH-000450,0.276849145709
ACH-000452,0.20914901296
ACH-000454,0.214382450561
ACH-000458,0.006799961929640001
ACH-000459,0.0589101974239
ACH-000460,0.19930048171
ACH-000461,0.223203173552
ACH-000463,0.376408801589
ACH-000464,0.403298147621
ACH-000466,0.258272029121
ACH-000467,0.381484761315
ACH-000468,0.33774633756300004
ACH-000469,0.34578828033799996
ACH-000470,0.27695619068599997
ACH-000471,0.267428793762
ACH-000472,0.23551436309300003
ACH-000473,0.38258129663900003
ACH-000475,0.22177283899300002
ACH-000476,0.125414935372
ACH-000477,0.10521629702
ACH-000480,0.15883382724
ACH-000481,0.194190571712
ACH-000483,0.0653054382205
ACH-000484,0.255339748553
ACH-000485,0.235514075909
ACH-000486,0.263592828688
ACH-000487,0.0520324807794
ACH-000488,0.269705037042
ACH-000490,0.184118521404
ACH-000491,0.139501399742
ACH-000495,0.256635680366
ACH-000496,0.348283978854
ACH-000499,0.11904225315
ACH-000500,0.23036636206900002
ACH-000502,0.252525204333
ACH-000503,0.5421938601349999
ACH-000505,0.21547470872900001
ACH-000507,0.15712904296
ACH-000510,0.185050897982
ACH-000511,0.247172009641
ACH-000512,0.183756434503
ACH-000516,0.364962241627
ACH-000517,0.0750460183416
ACH-000518,0.222898171649
ACH-000520,0.154775031804
ACH-000521,0.024351825645
ACH-000522,0.284857232574
ACH-000524,0.13651679579700002
ACH-000527,0.133061469242
ACH-000528,0.228516833696
ACH-000537,0.134594144706
ACH-000541,0.41198548964299997
ACH-000542,0.209401932825
ACH-000544,0.115772597717
ACH-000545,0.41770920888400004
ACH-000547,0.0227828965669
ACH-000548,0.232189970824
ACH-000549,0.078105951221
ACH-000550,0.23618831068100002
ACH-000552,0.272260631625
ACH-000556,0.10945148644899999
ACH-000557,0.24800168173099998
ACH-000570,0.15564513188100002
ACH-000571,0.212759201703
ACH-000573,0.261215545163
ACH-000576,0.139860285198
ACH-000580,0.26319575833000003
ACH-000584,0.29114773564699997
ACH-000585,0.24889506415100002
ACH-000588,0.26640770772
ACH-000589,0.23667948463000002
ACH-000591,0.13441373566099998
ACH-000593,0.219473653675
ACH-000600,0.0724355065393
ACH-000601,0.228277985329
ACH-000604,0.287764560012
ACH-000605,0.0480133617735
ACH-000606,0.298392573613
ACH-000608,0.10246238894500001
ACH-000614,0.156756371591
ACH-000616,0.165473014748
ACH-000618,0.17644326440900002
ACH-000619,0.112093392213
ACH-000620,0.09469538010220001
ACH-000621,0.117845496645
ACH-000622,0.25078974163400003
ACH-000623,0.0892194313453
ACH-000624,0.107109449378
ACH-000627,0.07297150218989999
ACH-000630,0.08612772909710001
ACH-000632,0.275009589853
ACH-000633,0.173946744123
ACH-000637,0.223175693534
ACH-000638,0.156743609406
ACH-000646,0.260287121527
ACH-000647,0.27778171425299997
ACH-000648,0.175193929032
ACH-000649,0.297072258853
ACH-000651,0.318254087614
ACH-000652,0.00829883408105
ACH-000653,0.158466106619
