,PRLHR (2834)
ACH-000004,-0.180851439707
ACH-000007,0.0190363589947
ACH-000009,-0.256581592825
ACH-000011,-0.049279503727599996
ACH-000012,-0.274031577417
ACH-000013,-0.147283713476
ACH-000014,-0.35202779897799996
ACH-000015,-0.209518660465
ACH-000017,-0.216860187993
ACH-000018,-0.09623087861850001
ACH-000019,-0.375403613855
ACH-000021,0.0383472745126
ACH-000022,-0.140595399173
ACH-000025,-0.0974605527807
ACH-000028,-0.115415403618
ACH-000030,-0.279155445411
ACH-000035,-0.315039851382
ACH-000036,-0.356771082409
ACH-000037,-0.23701148612
ACH-000039,-0.20086074922699998
ACH-000040,-0.458858834882
ACH-000041,-0.240182867303
ACH-000042,-0.270610104582
ACH-000045,-0.13050682538
ACH-000047,-0.211516228826
ACH-000052,-0.239860516888
ACH-000053,-0.107109303143
ACH-000054,-0.40944951331699997
ACH-000055,-0.11601963039999999
ACH-000060,-0.14948885895199998
ACH-000067,-0.33083516357500004
ACH-000070,-0.344217872459
ACH-000075,-0.19416652596700001
ACH-000078,-0.0968697165923
ACH-000082,-0.215045407709
ACH-000085,-0.371052552678
ACH-000086,-0.283332176097
ACH-000087,-0.146754768674
ACH-000092,-0.033248494655900004
ACH-000095,-0.196687262384
ACH-000097,-0.157102446361
ACH-000098,-0.375835399135
ACH-000099,-0.280283526931
ACH-000108,-0.132880467134
ACH-000113,-0.261011498249
ACH-000115,-0.393945562039
ACH-000116,-0.22726886698000004
ACH-000118,-0.14518673054099998
ACH-000120,-0.0647301161952
ACH-000123,-0.110994665263
ACH-000127,-0.23355652485999998
ACH-000128,-0.279817471952
ACH-000132,-0.21234608695300003
ACH-000133,-0.407524779409
ACH-000137,-0.35578783582900003
ACH-000138,-0.0977617326046
ACH-000142,-0.164424822879
ACH-000143,-0.322213968536
ACH-000146,0.055962967740500004
ACH-000148,-0.300511801222
ACH-000150,-0.227240455335
ACH-000152,-0.13783166644
ACH-000153,-0.5880240932199999
ACH-000159,-0.392407178115
ACH-000160,-0.2694469283
ACH-000163,-0.08114932230010001
ACH-000167,0.226699686339
ACH-000168,-0.10528629161
