,DYNC1H1 (1778)
ACH-000004,-1.6991940206099998
ACH-000007,-1.4606303762600001
ACH-000009,-1.4367400660799998
ACH-000011,-1.3709600738999999
ACH-000012,-1.61094525074
ACH-000013,-1.4879090066
ACH-000014,-1.44136197276
ACH-000015,-1.3812829958700001
ACH-000017,-1.3732851854700001
ACH-000018,-1.48861958795
ACH-000019,-1.18363602269
ACH-000021,-1.38329362242
ACH-000022,-1.75577321495
ACH-000025,-1.17696990578
ACH-000028,-1.31733838751
ACH-000030,-1.14582816885
ACH-000035,-1.18799528372
ACH-000036,-1.58679543585
ACH-000037,-1.9484220535699999
ACH-000039,-1.54548784882
ACH-000040,-1.68239440631
ACH-000041,-1.7462705198500001
ACH-000042,-1.42778678287
ACH-000045,-1.51000518199
ACH-000047,-1.32126204922
ACH-000052,-1.3505781318599999
ACH-000053,-1.4344315155399998
ACH-000054,-1.46252297928
ACH-000055,-1.35885077544
ACH-000060,-1.60633910938
ACH-000067,-1.6463856231600003
ACH-000070,-1.6986600653600001
ACH-000075,-1.34254787682
ACH-000078,-1.52915631859
ACH-000082,-1.4515062885299999
ACH-000085,-1.46091865975
ACH-000086,-1.28806455177
ACH-000087,-1.27291860464
ACH-000092,-1.43810475393
ACH-000095,-1.5118177061200002
ACH-000097,-1.4697081176499998
ACH-000098,-1.54706237909
ACH-000099,-1.40455247539
ACH-000108,-1.3411220940200002
ACH-000113,-1.28654714169
ACH-000115,-1.86049045093
ACH-000116,-1.36291843079
ACH-000118,-1.2873133941
ACH-000120,-1.37594714312
ACH-000123,-1.37677796286
ACH-000127,-1.41510824062
ACH-000128,-1.26267344303
ACH-000132,-1.28153911164
ACH-000133,-1.1555553403899999
ACH-000137,-1.27469476474
ACH-000138,-1.2504907121200002
ACH-000142,-1.33593342895
ACH-000143,-1.328574487
ACH-000146,-1.4492182077700002
ACH-000148,-1.5240328151700002
ACH-000150,-1.4080575778100002
ACH-000152,-1.6416028172100001
ACH-000153,-1.5398458013799998
ACH-000159,-1.36400425385
ACH-000160,-1.52963043989
ACH-000163,-1.36130805757
ACH-000167,-1.4511909118900002
