,ALG9 (79796)
ACH-000004,-0.213274483107
ACH-000007,-0.114775441608
ACH-000009,-0.23200164025800002
ACH-000011,-0.280393603476
ACH-000012,-0.326867269084
ACH-000013,-0.232188075835
ACH-000014,-0.134932652563
ACH-000015,-0.0149519603939
ACH-000017,-0.136602118602
ACH-000018,-0.417947848984
ACH-000019,-0.0714864922473
ACH-000021,-0.038557833347800004
ACH-000022,-0.0883434045085
ACH-000025,-0.138226134798
ACH-000028,-0.44827911126000003
ACH-000030,-0.137371374483
ACH-000035,-0.43148531983099997
ACH-000036,-0.752302502088
ACH-000037,0.00518293396161
ACH-000039,-0.164993848578
ACH-000040,-0.057094434965399996
ACH-000041,-0.07516265902960001
ACH-000042,-0.032194021342899996
ACH-000045,0.026430362072099995
ACH-000047,0.0821641302663
ACH-000052,-0.13469587201199998
ACH-000053,-0.17580885934300003
ACH-000054,-0.00347252585395
ACH-000055,-0.06700155600480001
ACH-000060,-0.153827041668
ACH-000067,-0.054013318528300006
ACH-000070,-0.382459900255
ACH-000075,-0.317420333012
ACH-000078,-0.176350380036
ACH-000082,-0.103509992873
ACH-000085,0.00548847077661
ACH-000086,-0.268238192535
ACH-000087,0.22323675876899998
ACH-000092,-0.9103350742890001
ACH-000095,0.050370643372499996
ACH-000097,-0.19649499532099998
ACH-000098,-0.12532181969
ACH-000099,-0.0346490233479
ACH-000108,-0.370566711839
ACH-000113,-0.137175080354
ACH-000115,-0.3870873968
ACH-000116,-0.299205745078
ACH-000118,-0.5884713061969999
ACH-000120,-0.39821416758699996
ACH-000123,-0.30517035888599997
ACH-000127,-0.039111599366800004
ACH-000128,-0.018702439439
ACH-000132,-0.554186308885
ACH-000133,-0.421580021432
ACH-000137,-0.0684772014909
ACH-000138,-0.317494046173
ACH-000142,-0.552970517861
ACH-000143,-0.1982321602
ACH-000146,-0.0451184618108
ACH-000148,-0.130182507599
ACH-000150,0.13155488279400002
ACH-000152,-0.17151073129099997
ACH-000153,-0.481070944696
ACH-000159,-0.00328542189609
ACH-000160,-0.0702488102703
ACH-000163,-0.0814533632352
ACH-000167,-0.290360278749
ACH-000168,-0.036305537578
ACH-000169,-0.16059204277
ACH-000178,-0.0657507063829
ACH-000182,0.033523231471599996
ACH-000183,-0.960804734974
ACH-000188,-0.24657854577799998
ACH-000189,-0.182775223517
ACH-000190,-0.37503008246799996
ACH-000198,-0.0237431820055
ACH-000204,-0.710429472608
ACH-000206,-0.0266986999432
ACH-000207,-0.0834951864052
ACH-000211,-0.0156707400028
ACH-000215,-0.247673122168
ACH-000221,-0.08578835371600001
ACH-000222,-0.353211397303
ACH-000223,-0.175263933187
ACH-000226,-0.0646221492165
ACH-000227,-0.249118722958
ACH-000228,-0.19632191918699998
ACH-000231,-0.0865611575701
ACH-000232,-0.0545023835908
ACH-000233,-0.09715907024970001
ACH-000234,-0.24065906186799998
ACH-000235,-0.10650419658299999
ACH-000237,-0.556468698592
ACH-000238,-0.242091096163
ACH-000243,-0.193191995738
ACH-000244,-0.440476148772
ACH-000246,-0.439226180208
ACH-000248,-0.050760081713
ACH-000250,-0.258521067669
ACH-000251,0.021985307399
ACH-000253,-0.18983433971900002
ACH-000255,-0.143013380465
ACH-000256,-0.24618552415
ACH-000257,-0.132524586295
ACH-000258,-0.280364730881
ACH-000259,-0.344842372443
ACH-000260,-0.233686451192
ACH-000261,0.105934485626
ACH-000262,-0.266504921177
ACH-000263,-0.240256599712
ACH-000264,-0.08349857407389999
ACH-000265,-0.07927121626849999
ACH-000266,-0.0597593189487
ACH-000272,-0.430701515636
ACH-000273,-0.158775244946
ACH-000274,-0.302082946285
ACH-000277,-0.252882071772
ACH-000278,-0.303658786793
ACH-000279,-0.12690734692
ACH-000280,-0.10472871722999999
ACH-000281,-0.14884328618599998
ACH-000288,-0.09643755986230002
ACH-000291,-0.0016999208430799999
ACH-000293,-0.00769266383094
ACH-000294,0.21263778246399997
ACH-000295,-0.316024718265
ACH-000296,-0.455082380211
ACH-000302,0.0680660802326
ACH-000304,-0.342262104023
ACH-000307,-0.0131749531277
ACH-000308,-0.24551818075399998
ACH-000310,-0.217303090574
ACH-000311,-0.30376907802299996
ACH-000312,-0.0708807730066
