,PRELID1 (27166)
ACH-000004,-1.62700008123
ACH-000007,-1.88762800097
ACH-000009,-1.85628070616
ACH-000011,-1.68261729938
ACH-000012,-1.8130522535099998
ACH-000013,-1.85522941972
ACH-000014,-1.9633939751599998
ACH-000015,-1.5681232168700001
ACH-000017,-1.7872685769099999
ACH-000018,-1.6816420511599999
ACH-000019,-1.67550071584
ACH-000021,-1.55919586973
ACH-000022,-1.6384031024099999
ACH-000025,-1.63051300272
ACH-000028,-1.65488706135
ACH-000030,-1.73244453257
ACH-000035,-1.6441401959900002
ACH-000036,-1.66019977439
ACH-000037,-2.44354813968
ACH-000039,-1.73360946558
ACH-000040,-1.7853260268200002
ACH-000041,-1.8136269792099997
ACH-000042,-1.5144820722999999
ACH-000045,-1.91213272268
ACH-000047,-1.6092982233200002
ACH-000052,-1.6837031903600002
ACH-000053,-1.89436888347
ACH-000054,-1.74743190254
ACH-000055,-1.6536054059
ACH-000060,-1.70823395076
ACH-000067,-1.4100630772299998
ACH-000070,-1.8679753301099997
ACH-000075,-1.75937107116
ACH-000078,-1.73439551212
ACH-000082,-1.8259025986099997
ACH-000085,-1.7273721310699999
ACH-000086,-1.55442692506
ACH-000087,-1.6872082813
ACH-000092,-1.5386400113799998
ACH-000095,-1.86028871305
ACH-000097,-1.7808077372
ACH-000098,-1.80644672449
ACH-000099,-1.69195623826
ACH-000108,-1.6999247973299998
ACH-000113,-1.60010526254
ACH-000115,-2.5385326504599997
ACH-000116,-1.7352821672099998
ACH-000118,-1.46203846385
ACH-000120,-1.70606053493
ACH-000123,-1.69413727402
ACH-000127,-1.57279712879
ACH-000128,-1.59576931137
ACH-000132,-1.69232263553
ACH-000133,-1.659242394
ACH-000137,-2.06349693013
ACH-000138,-1.7558280243200002
ACH-000142,-1.80555497721
ACH-000143,-1.7690215795
ACH-000146,-2.06875433997
ACH-000148,-1.70132310072
ACH-000150,-1.67495268982
ACH-000152,-1.73572636053
ACH-000153,-1.4349310022
ACH-000159,-1.7764933486
ACH-000160,-1.9191056852700001
ACH-000163,-1.6596938093200002
ACH-000167,-2.38948186114
ACH-000168,-1.7692918555700001
ACH-000169,-1.8413698411900001
ACH-000178,-1.6982998141699999
ACH-000182,-1.6209970253400001
ACH-000183,-1.84253024931
ACH-000188,-1.70529132361
ACH-000189,-1.50210323311
ACH-000190,-1.36042213451
ACH-000198,-1.69286146715
ACH-000204,-1.9533445009900001
ACH-000206,-1.56837867005
ACH-000207,-1.5765612019100002
ACH-000211,-1.72530877933
ACH-000215,-1.80816454935
ACH-000221,-1.77398430847
ACH-000222,-1.82331620862
ACH-000223,-1.71448836887
ACH-000226,-1.76151247649
ACH-000227,-1.6635769652099999
ACH-000228,-1.7259909404900002
ACH-000231,-1.59080373935
ACH-000232,-1.52494731667
ACH-000233,-1.83016141036
ACH-000234,-1.6159784824
ACH-000235,-1.74908713979
ACH-000237,-1.44663531645
ACH-000238,-1.8327598022
ACH-000243,-1.67314558372
ACH-000244,-1.6771496404700001
ACH-000246,-1.4733223532700002
ACH-000248,-1.5142780061599999
ACH-000250,-1.6579504149899997
ACH-000251,-1.6540928692399999
ACH-000253,-1.5606863092399998
ACH-000255,-1.41173803539
ACH-000256,-1.55733661318
ACH-000257,-2.12077678345
ACH-000258,-1.41564577975
ACH-000259,-1.77893692509
ACH-000260,-1.8641686068799999
