,UGGT2 (55757)
ACH-000004,-0.35039507016800003
ACH-000007,-0.33674552645499994
ACH-000009,-0.00982739081026
ACH-000011,0.024633705368499997
ACH-000012,-0.126252946809
ACH-000013,-0.16113944879699998
ACH-000014,-0.10799915649399999
ACH-000015,-0.140128751567
ACH-000017,-0.22886462624099999
ACH-000018,-0.162540417269
ACH-000019,-0.133245654626
ACH-000021,-0.143862899735
ACH-000022,-0.103029776333
ACH-000025,-0.34810328773500004
ACH-000028,-0.140524325155
ACH-000030,-0.0369226254682
ACH-000035,-0.110983945688
ACH-000036,-0.0649655412175
ACH-000037,-0.0105451085095
ACH-000039,-0.258332899853
ACH-000040,-0.061508966841799996
ACH-000041,-0.047322984908699996
ACH-000042,-0.146428875522
ACH-000045,-0.174518749423
ACH-000047,0.00560859192956
ACH-000052,-0.109866288151
ACH-000053,-0.0652211947628
ACH-000054,-0.182648881788
ACH-000055,-0.00154939401361
ACH-000060,-0.119625398151
ACH-000067,-0.036155701646199995
ACH-000070,-0.18224845897300002
ACH-000075,-0.303703869685
ACH-000078,-0.297444784178
ACH-000082,-0.156767924467
ACH-000085,-0.221361240942
ACH-000086,0.011814733770299998
ACH-000087,-0.000311407610763
ACH-000092,-0.08711596507639999
ACH-000095,-0.196729061103
ACH-000097,-0.0491738748869
ACH-000098,-0.0203343890626
ACH-000099,-0.192768496266
ACH-000108,-0.0840670068394
ACH-000113,-0.0414341465342
ACH-000115,-0.138771597711
ACH-000116,-0.0686701491024
ACH-000118,-0.143641092576
ACH-000120,-0.193536185858
ACH-000123,0.0346854419654
ACH-000127,-0.04874193350880001
ACH-000128,-0.17630845173700002
ACH-000132,-0.143203152772
ACH-000133,-0.128026466551
ACH-000137,0.07875676120080001
ACH-000138,0.0410355583071
ACH-000142,-0.176286781087
ACH-000143,0.0352814936383
ACH-000146,-0.0988678148119
ACH-000148,-0.1797746919
ACH-000150,0.073548184398
ACH-000152,-0.118162846569
ACH-000153,-0.20619943080800002
ACH-000159,-0.174806376442
ACH-000160,-0.045120392291599996
ACH-000163,-0.111158895063
ACH-000167,-0.256750741328
ACH-000168,0.026323102857
ACH-000169,-0.14968692513
ACH-000178,0.025294992625599998
ACH-000182,-0.20055290171700002
ACH-000183,-0.157287002968
ACH-000188,-0.16385460656
ACH-000189,-0.158878421238
ACH-000190,0.0190277855539
ACH-000198,-0.123952475303
ACH-000204,-0.270695149528
ACH-000206,-0.21288823194899997
ACH-000207,-0.281493213359
ACH-000211,-0.135099257301
ACH-000215,-0.128005096618
ACH-000221,-0.199502763755
ACH-000222,0.0493055294013
ACH-000223,0.07014889739189999
ACH-000226,-0.122864517729
ACH-000227,0.119991966771
ACH-000228,0.03437244992230001
ACH-000231,-0.16731157337400002
ACH-000232,-0.20563817234
ACH-000233,-0.093563554037
ACH-000234,-0.004980273302890001
ACH-000235,-0.169763958555
ACH-000237,-0.12766030851500001
ACH-000238,-0.258491960365
ACH-000243,-0.0973835834636
ACH-000244,-0.0144663966906
ACH-000246,-0.145892398609
ACH-000248,-0.159567251425
ACH-000250,-0.07692274504800001
ACH-000251,-0.101944503507
ACH-000253,-0.210217541262
ACH-000255,0.0134682493784
ACH-000256,-0.0768477268129
ACH-000257,-0.219108637474
ACH-000258,-0.11330846640100001
ACH-000259,0.050087762754199995
ACH-000260,-0.110740391013
ACH-000261,-0.0253505236711
ACH-000262,-0.130755272733
ACH-000263,0.240633976603
ACH-000264,-0.10869237772
ACH-000265,-0.19755660159699998
ACH-000266,-0.130722554032
ACH-000272,-0.0693609425131
ACH-000273,-0.05716921274259999
ACH-000274,-0.22710395210499998
