,ZC3HC1 (51530)
ACH-000004,-0.22904192148400002
ACH-000007,-0.342744457544
ACH-000009,-0.512660583074
ACH-000011,-0.18905640633499998
ACH-000012,-0.599572310201
ACH-000013,-0.302662730625
ACH-000014,-0.574319248408
ACH-000015,-0.0245206670191
ACH-000017,-0.621153409591
ACH-000018,-0.327219027969
ACH-000019,-0.232713341002
ACH-000021,-0.622707121439
ACH-000022,-0.300207547189
ACH-000025,-0.6877325668559999
ACH-000028,-0.628744460213
ACH-000030,-0.154311569274
ACH-000035,-0.413417891503
ACH-000036,-0.396863198321
ACH-000037,0.0962225432345
ACH-000039,-0.433579567231
ACH-000040,-0.208171814683
ACH-000041,-0.190517030881
ACH-000042,-0.540098859041
ACH-000045,-0.00891537572947
ACH-000047,-0.265417189352
ACH-000052,-0.552637986954
ACH-000053,-0.309697770053
ACH-000054,-0.396354418047
ACH-000055,-0.374440130004
ACH-000060,-0.47081361881000006
ACH-000067,-0.519786821163
ACH-000070,-0.22946119048
ACH-000075,-0.418190704465
ACH-000078,-0.386617279262
ACH-000082,-0.027655613094099998
ACH-000085,-0.299217409963
ACH-000086,-0.0942594323896
ACH-000087,-0.239597769804
ACH-000092,-0.350334740463
ACH-000095,-0.26410785521200003
ACH-000097,-0.215762726833
ACH-000098,-0.30849949161
ACH-000099,-0.41218565555200004
ACH-000108,-0.30576619325300003
ACH-000113,-0.183068724398
ACH-000115,-0.09258456441980001
ACH-000116,-0.48591103860299995
ACH-000118,-0.522485957707
ACH-000120,-0.639955897341
ACH-000123,-0.273658421948
ACH-000127,-0.282408379102
ACH-000128,-0.139380469345
ACH-000132,-0.40546506457099996
ACH-000133,-0.35194083404200005
ACH-000137,-0.5598099254159999
ACH-000138,-0.407239767428
ACH-000142,-0.604789771182
ACH-000143,0.134116334373
ACH-000146,-0.261442722517
ACH-000148,-0.40248731108400004
ACH-000150,-0.52603240542
ACH-000152,-0.26972419741500003
ACH-000153,-0.19999317045200002
ACH-000159,-0.455891131303
ACH-000160,-0.14267096632999998
ACH-000163,-0.202338321776
ACH-000167,-0.386277532317
ACH-000168,-0.649145812993
ACH-000169,-0.45612237319
ACH-000178,-0.30540013471099997
ACH-000182,-0.359938545679
ACH-000183,-0.158239414382
ACH-000188,-0.254628498694
ACH-000189,-0.426862090995
ACH-000190,-0.518565378312
ACH-000198,-0.265881182632
ACH-000204,-0.21382463508900001
ACH-000206,-0.028789353855599997
ACH-000207,-0.22178558048
ACH-000211,-0.6591749286240001
ACH-000215,-0.26168362749400004
ACH-000221,-0.133221566799
ACH-000222,-0.259365718903
ACH-000223,-0.5335913911379999
ACH-000226,-0.754650739
ACH-000227,-0.497674538582
ACH-000228,-0.298806195128
ACH-000231,-0.125383468097
ACH-000232,-0.317174801298
ACH-000233,-0.430324869846
ACH-000234,-0.361758266297
ACH-000235,-0.349294774533
ACH-000237,-0.202555799139
ACH-000238,-0.502843654454
ACH-000243,-0.527079283497
ACH-000244,-0.490733554809
ACH-000246,-0.39873755465899996
ACH-000248,-0.430336120568
ACH-000250,-0.301575487584
ACH-000251,-0.634036991082
ACH-000253,-0.34275946509800004
ACH-000255,-0.608899775745
ACH-000256,-0.655764286062
ACH-000257,-0.09930696319469999
ACH-000258,-0.5580780783120001
ACH-000259,-0.41126766488300004
ACH-000260,-0.45748922198700004
ACH-000261,-0.422456118331
ACH-000262,-0.0450111674821
ACH-000263,-0.152467883322
ACH-000264,-0.528357309923
ACH-000265,-0.18259063327199998
ACH-000266,-0.484561440565
ACH-000272,-0.33215449038899997
ACH-000273,-0.411605083838
ACH-000274,-0.24643085364700001
ACH-000277,-0.051597807283899996
ACH-000278,-0.386909015568
ACH-000279,-0.46052723080200003
ACH-000280,-0.602601748016
ACH-000281,-0.558086402968
ACH-000288,-0.43261495657300003
ACH-000291,-0.18943831703800001
ACH-000293,-0.31818229897399997
ACH-000294,-0.15270563746500002
ACH-000295,-0.6672285881009999
ACH-000296,-0.21485163828200002
ACH-000302,-0.243385725962
ACH-000304,-0.42540593516099995
ACH-000307,-0.227877471948
ACH-000308,-0.508697395807
ACH-000310,-0.39236029253700005
ACH-000311,-0.329802627653
ACH-000312,-0.5667652735600001
ACH-000315,-0.5368147270279999
ACH-000316,-0.246244875923
ACH-000317,-0.259297989598
ACH-000318,-0.345433596911
ACH-000319,-0.19509011718
ACH-000320,-0.45563230314099995
ACH-000322,-0.449250002767
ACH-000323,-0.13696368957
ACH-000324,-0.322063334423
ACH-000329,-0.244575558475
ACH-000330,-0.5726684394039999
ACH-000331,-0.404188815484
ACH-000332,-0.270366385414
ACH-000334,-0.549086810423
ACH-000335,-0.315073976388
ACH-000336,-0.150397702676
ACH-000337,-0.299846121405
ACH-000339,-0.240819052208
ACH-000341,0.0763487719115
ACH-000348,-0.31471298259799996
ACH-000350,-0.281615192575
ACH-000352,-0.432648769687
ACH-000356,-0.388654912462
ACH-000361,-0.16049447385600002
ACH-000362,-0.0652035996438
ACH-000363,-0.326481169448
ACH-000364,-0.548225558529
ACH-000365,-0.42849804217200005
ACH-000366,-0.506289177003
ACH-000368,-0.529631579142
ACH-000374,-0.480178544959
ACH-000375,-0.179345626536
ACH-000376,-0.36338082631499996
ACH-000381,-0.350794183005
ACH-000383,-0.38560158717500004
ACH-000387,-0.510789423786
ACH-000389,-0.36023708494499995
ACH-000390,-0.351492039688
ACH-000393,-0.403661504446
ACH-000395,-0.364316479217
ACH-000397,-0.296237705165
ACH-000401,-0.381275079108
ACH-000402,-0.345793940116
ACH-000403,-0.531886154471
ACH-000404,-0.394040191752
ACH-000406,-0.33832910739100003
