,TFB1M (51106)
ACH-000004,-0.12181511435900001
ACH-000007,-0.351936126421
ACH-000009,-0.37568560732100004
ACH-000011,-0.07667900258060001
ACH-000012,-0.5725784566969999
ACH-000013,-0.562765789655
ACH-000014,-0.276653192598
ACH-000015,-0.373531296436
ACH-000017,-0.175187062606
ACH-000018,-0.332343145502
ACH-000019,-0.258457401086
ACH-000021,-0.523743343519
ACH-000022,-0.184170268459
ACH-000025,-0.31440032323
ACH-000028,-0.7135432566050001
ACH-000030,-0.229292699382
ACH-000035,-0.565849757317
ACH-000036,-0.0635888395862
ACH-000037,-0.241043184839
ACH-000039,-0.330862933334
ACH-000040,-0.260820261457
ACH-000041,-0.21726619768199998
ACH-000042,-0.125393166931
ACH-000045,-0.35338208457099995
ACH-000047,-0.41809217584200004
ACH-000052,-0.37882523707099997
ACH-000053,-0.167361680714
ACH-000054,-0.141860987451
ACH-000055,-0.11773143668500001
ACH-000060,-0.24540291397
ACH-000067,-0.285113710571
ACH-000070,-0.27617888386100004
ACH-000075,-0.24194326111900002
ACH-000078,-0.18775577179900002
ACH-000082,-0.09542754333930001
ACH-000085,-0.36605869166599997
ACH-000086,-0.5103447091650001
ACH-000087,-0.476632771527
ACH-000092,-0.33829419114299997
ACH-000095,-0.10786717873
ACH-000097,-0.19541948186
ACH-000098,-0.40462137338
ACH-000099,-0.363495332892
ACH-000108,-0.179568014566
ACH-000113,-0.542428564925
ACH-000115,-0.34199632965300003
ACH-000116,-0.408556438152
ACH-000118,-0.640144646912
ACH-000120,-0.321342297163
ACH-000123,-0.46882729383599997
ACH-000127,-0.6727107219740001
ACH-000128,-0.5473962271339999
ACH-000132,-0.309223776156
ACH-000133,-0.224644622894
ACH-000137,-0.0767318818964
ACH-000138,-0.202125679403
ACH-000142,-0.239857931842
ACH-000143,-0.360202094076
ACH-000146,-0.207085682436
ACH-000148,-0.467951302687
ACH-000150,-0.653398193948
ACH-000152,-0.195010977844
ACH-000153,-0.23768401591899999
ACH-000159,-0.246132304388
ACH-000160,-0.369204710243
ACH-000163,-0.214800624258
ACH-000167,-0.195942708821
ACH-000168,-0.0367830850549
ACH-000169,-0.323715404118
ACH-000178,-0.406506296488
ACH-000182,-0.577522408396
ACH-000183,-0.414156160636
ACH-000188,-0.31630217574700004
ACH-000189,-0.290170254165
ACH-000190,-0.525598009396
ACH-000198,-0.43388151421899995
ACH-000204,-0.642825522538
ACH-000206,-0.147297911259
ACH-000207,-0.617338508266
ACH-000211,-0.257236929334
ACH-000215,-0.41754867004900004
ACH-000221,-0.804348360754
ACH-000222,-0.276404163678
ACH-000223,-0.444997321978
ACH-000226,-0.16664700508
ACH-000227,-0.5467657445899999
ACH-000228,-0.15744014701099998
ACH-000231,-0.027542755029000002
ACH-000232,-0.603811040871
ACH-000233,-0.388955855669
ACH-000234,-0.249423941832
ACH-000235,-0.168130512526
ACH-000237,-0.110120923861
ACH-000238,-0.267890239457
