,GPI (2821)
ACH-000004,-0.41188563747900003
ACH-000007,-0.396720607666
ACH-000009,-0.5421803564459999
ACH-000011,-0.23068937735300002
ACH-000012,-0.923713669507
ACH-000013,-0.864504992066
ACH-000014,-0.529352444715
ACH-000015,-0.649319451671
ACH-000017,-0.31487243155699995
ACH-000018,-0.58227078784
ACH-000019,-0.0652885431708
ACH-000021,-0.231753591465
ACH-000022,-0.161753856744
ACH-000025,-0.7614588179449999
ACH-000028,-0.7083714363439999
ACH-000030,-0.407565896806
ACH-000035,-0.930429843199
ACH-000036,-0.983762187515
ACH-000037,-0.715931852281
ACH-000039,-1.00983932082
ACH-000040,-0.229850104272
ACH-000041,-0.22776490465500002
ACH-000042,-0.627251239957
ACH-000045,0.9398584400929999
ACH-000047,-0.0582369053991
ACH-000052,-0.51204572702
ACH-000053,-0.44026431749
ACH-000054,-0.06000756753280001
ACH-000055,-1.13419188955
ACH-000060,-0.735824361597
ACH-000067,-0.5211149243450001
ACH-000070,-0.437006633729
ACH-000075,0.10278953516
ACH-000078,-0.564620642495
ACH-000082,-0.20829433330699998
ACH-000085,-0.356629997726
ACH-000086,-0.583241965942
ACH-000087,-0.860780106322
ACH-000092,-0.366980266453
ACH-000095,-0.59205868033
ACH-000097,-0.18958461706000002
ACH-000098,-0.7582304042489999
ACH-000099,-0.813081742461
ACH-000108,-0.6304674614119999
ACH-000113,-0.467002863354
ACH-000115,-0.222669187484
ACH-000116,-0.324516010593
ACH-000118,-0.180694952695
ACH-000120,-0.26038059561
ACH-000123,-0.507156994799
ACH-000127,-0.228278278326
ACH-000128,-0.629843018221
ACH-000132,-0.0655477561968
ACH-000133,-0.537650373216
ACH-000137,-0.7022432701710001
ACH-000138,-0.6753033538490001
ACH-000142,-0.575523650728
ACH-000143,-0.48746113173699995
ACH-000146,0.00816278911533
ACH-000148,-0.444112543863
ACH-000150,-0.958832638177
ACH-000152,-0.24288973964699997
ACH-000153,-0.7753736661149999
ACH-000159,-0.5560635578190001
ACH-000160,-0.61790642831
ACH-000163,-0.964210053067
ACH-000167,-0.319715379798
ACH-000168,-0.0955234379405
ACH-000169,-0.5848941361760001
ACH-000178,-0.883931213953
ACH-000182,-0.018122649676
ACH-000183,-0.700834172289
ACH-000188,-1.11731666736
ACH-000189,-0.818513357283
ACH-000190,-0.561851007253
ACH-000198,-0.146509263233
ACH-000204,-0.148709609706
ACH-000206,-0.828938579384
ACH-000207,-0.364525911351
ACH-000211,-0.429237726443
ACH-000215,-0.792726058661
ACH-000221,-0.617418172069
ACH-000222,-0.5677336291189999
ACH-000223,-0.475241223985
ACH-000226,-0.894101071063
ACH-000227,-0.44747661093
ACH-000228,-1.03309538209
ACH-000231,-0.22024715378499998
ACH-000232,-0.46172957445699997
ACH-000233,-0.205621417821
ACH-000234,-0.312835973531
ACH-000235,-0.7088837506450001
ACH-000237,-0.640751262636
ACH-000238,-0.327532147141
ACH-000243,-0.674448203364
ACH-000244,-0.654493336899
ACH-000246,-0.554679337159
ACH-000248,-0.7778287712899999
ACH-000250,-1.01551956745
ACH-000251,-0.219379082684
ACH-000253,-0.39293188013499997
ACH-000255,-1.12345235076
ACH-000256,-0.754576286833
ACH-000257,-0.131653063046
ACH-000258,-0.214273163933
ACH-000259,-0.500947521596
ACH-000260,-0.740197345035
ACH-000261,-0.60874115933
ACH-000262,-1.0471693042
ACH-000263,-0.0682883969353
ACH-000264,-0.0376840536005
ACH-000265,-0.862309855588
ACH-000266,-0.273616875468
ACH-000272,-0.281396966167
ACH-000273,-0.63379785033
ACH-000274,-0.677974144587
ACH-000277,-0.154508848465
ACH-000278,-0.928409445928
ACH-000279,-0.46154840067
ACH-000280,-0.5748520118079999
ACH-000281,-1.17385035824
ACH-000288,-0.344567682575
ACH-000291,-0.237672651302
ACH-000293,-0.495839346323
ACH-000294,1.1508712744399998
ACH-000295,-0.180844023094
