,TUBB4B (10383)
ACH-000004,-0.114502021103
ACH-000007,-0.8035871437090001
ACH-000009,-0.479500735686
ACH-000011,-0.944421819197
ACH-000012,-1.03003376214
ACH-000013,-1.02973293791
ACH-000014,0.07160001889430001
ACH-000015,-0.145740364086
ACH-000017,-0.197982666259
ACH-000018,-0.106376629853
ACH-000019,-0.161125886732
ACH-000021,0.0164647247303
ACH-000022,-1.03724275063
ACH-000025,-0.14215592963600002
ACH-000028,-0.50806608535
ACH-000030,-0.512845074424
ACH-000035,0.0991626940492
ACH-000036,-0.07705287001960001
ACH-000037,-0.20129191249899997
ACH-000039,-0.152969760524
ACH-000040,-0.198522495722
ACH-000041,-0.20046962116300002
ACH-000042,-1.35635049061
ACH-000045,-0.22142665257599997
ACH-000047,-0.5775889397380001
ACH-000052,0.0586369696692
ACH-000053,-0.193536916048
ACH-000054,-0.442128717746
ACH-000055,-0.12186204478399999
ACH-000060,-0.59944322371
ACH-000067,-0.297583160276
ACH-000070,-0.29653253487799996
ACH-000075,-0.685105488052
ACH-000078,-0.138831254932
ACH-000082,0.0105936846123
ACH-000085,-0.49372710673000003
ACH-000086,-0.17357886237300002
ACH-000087,-0.38553213376400003
ACH-000092,0.0979706904984
ACH-000095,-0.20982938940600002
ACH-000097,-1.14260356725
ACH-000098,-0.023209253162700002
ACH-000099,-0.170270831389
ACH-000108,-0.426565706054
ACH-000113,-0.09250674331039999
ACH-000115,-0.21377911319899998
ACH-000116,-0.577462205863
ACH-000118,0.0151960169005
ACH-000120,-0.21842503420200002
ACH-000123,-0.162148374274
ACH-000127,-0.18337891985899998
ACH-000128,-0.132119651932
ACH-000132,-0.180023830469
ACH-000133,-0.23305180022100003
ACH-000137,0.22336481515700002
ACH-000138,-0.03919199739
ACH-000142,-0.216150677984
ACH-000143,-0.08924119166339999
ACH-000146,-1.5228714496899998
ACH-000148,-0.044440459402999996
ACH-000150,-0.232099778662
ACH-000152,0.08353210469660001
ACH-000153,-0.7151943000100001
ACH-000159,-0.24244388316100002
ACH-000160,-0.539910270658
ACH-000163,-0.0616095752929
ACH-000167,-0.0203953888322
ACH-000168,-0.10099534356699999
ACH-000169,-0.456118169876
ACH-000178,-0.44057411473200003
ACH-000182,-1.49069556223
ACH-000183,-0.046925298272
ACH-000188,-0.8733887693610001
ACH-000189,-0.18482561925500002
ACH-000190,-0.07092860181989999
ACH-000198,-0.123845741117
ACH-000204,0.00759351374969
ACH-000206,-0.013695132901899998
ACH-000207,-0.747338884048
ACH-000211,0.0193660027199
ACH-000215,0.05912158440230001
ACH-000221,-0.06011845953890001
ACH-000222,-0.677603228884
ACH-000223,-0.762174426523
ACH-000226,-0.0601130248718
ACH-000227,-0.022592792176700002
ACH-000228,-0.866442821864
ACH-000231,-0.09596992839160001
ACH-000232,-0.24873173898899997
ACH-000233,-0.194823826917
ACH-000234,-0.234762092102
ACH-000235,-0.471915176717
ACH-000237,-0.0570938393977
ACH-000238,-1.33914258119
ACH-000243,0.00664292127798
ACH-000244,-0.455262153459
ACH-000246,-0.288241749758
ACH-000248,-0.06980799757589999
ACH-000250,-0.887770938679
ACH-000251,-0.07059386923060001
ACH-000253,-0.300638121887
ACH-000255,-0.36798240817199995
ACH-000256,-0.276388614077
ACH-000257,0.00241684728664
ACH-000258,0.18862421074900002
ACH-000259,-0.163443991761
ACH-000260,-0.0735214818812
ACH-000261,-0.254690328522
ACH-000262,-0.819798548723
ACH-000263,-0.335869988949
ACH-000264,-0.347617669298
ACH-000265,-0.18301929117
ACH-000266,-0.302744724364
ACH-000272,-0.089341288654
ACH-000273,-0.173185277596
ACH-000274,-0.0450153438385
ACH-000277,-0.14062592579299998
ACH-000278,-0.024922130945599995
ACH-000279,-0.10289825679400001
ACH-000280,-0.645445386253
ACH-000281,-0.00934346520663
ACH-000288,0.08682075471439998
ACH-000291,-0.524204116153
ACH-000293,-0.0760745042313
ACH-000294,-0.400345518766
ACH-000295,-0.40789225162299997
ACH-000296,-0.044844526290499995
ACH-000302,-0.23011640566599997
ACH-000304,-0.164686519748
ACH-000307,-1.3863109103100002
ACH-000308,0.0302536207729
ACH-000310,0.0203047501096
ACH-000311,-0.340354639872
ACH-000312,-0.048433667003199996
ACH-000315,-0.330791928702
ACH-000316,-1.08195695175
ACH-000317,-1.52170077535
ACH-000318,0.0128272179569
ACH-000319,0.164533759774
ACH-000320,-0.624848623025
ACH-000322,-0.486658658981
ACH-000323,-0.023807998835
ACH-000324,-0.478522426559
ACH-000329,-0.19314671264400002
ACH-000330,-0.207604549056
ACH-000331,-0.0896772228628
ACH-000332,-0.82840941795
ACH-000334,-0.316309264283
ACH-000335,-0.836075106854
ACH-000336,-0.453815640991
ACH-000337,-0.22483838446999996
ACH-000339,-0.0049688997122799995
ACH-000341,-0.08695863272489998
ACH-000348,-0.271479002581
ACH-000350,-0.280455503622
ACH-000352,-0.546633091901
ACH-000356,-0.223363825078
ACH-000361,-0.141190462268
ACH-000362,-0.115845648701
ACH-000363,-0.0312973284153
ACH-000364,-0.04510614117819999
ACH-000365,-0.00877105050537
ACH-000366,-0.05835409900719999
ACH-000368,-0.142948966571
ACH-000374,-0.108360959667
ACH-000375,-0.26277183184
ACH-000376,0.0160822842375
ACH-000381,-0.37680433093800003
ACH-000383,-0.595993364835
ACH-000387,0.0364910524251
ACH-000389,-0.42111869839599997
ACH-000390,-0.027631564252999997
ACH-000393,-0.310616752122
ACH-000395,-0.9060630001729999
ACH-000397,-0.185572118019
ACH-000401,-0.184987430057
ACH-000402,-0.143231563723
ACH-000403,-0.536933410572
ACH-000404,-0.6678781252170001
ACH-000406,-0.0235068875753
ACH-000407,-0.189827074273
ACH-000408,0.158216528714
ACH-000410,-0.0472554330725
ACH-000411,-0.478452555788
ACH-000414,-0.517376594662
ACH-000415,-0.309487750331
ACH-000416,0.12117648211
ACH-000420,-0.275075073685
ACH-000421,0.016158960554100002
ACH-000424,-0.257372248387
ACH-000425,-0.0549128999785
ACH-000426,-0.04870020989019999
ACH-000427,-1.25606644251
ACH-000433,-0.939188861376
ACH-000436,0.006935215999220001
ACH-000444,-0.372400280347
ACH-000445,-0.0523137359347
ACH-000448,-0.43341174565800006
ACH-000450,-0.044807537247699994
ACH-000452,-0.16130262429
ACH-000454,-0.11396676328
ACH-000458,-1.06871757471
ACH-000459,-0.17955396819699998
ACH-000460,0.0157300321371
ACH-000461,-1.3524132560100002
ACH-000463,-0.506462506264
ACH-000464,-0.251709179848
ACH-000466,-0.598657260411
ACH-000467,-0.941425965229
ACH-000468,-0.191108601495
ACH-000469,-0.07831562798769999
ACH-000470,-0.873421884721
ACH-000471,-0.19069367059
ACH-000472,-0.148201416463
ACH-000473,-0.6013734512650001
ACH-000475,-0.226442057507
ACH-000476,-0.804197090222
