,APRT (353)
ACH-000004,-0.40056170304399996
ACH-000007,-0.385666221859
ACH-000009,-0.14824525531500002
ACH-000011,-0.489571151164
ACH-000012,-0.308993146988
ACH-000013,-0.326279538315
ACH-000014,-0.16684897867999998
ACH-000015,-0.0629443740482
ACH-000017,-0.25509745708500003
ACH-000018,-0.39231139612099997
ACH-000019,-0.258292016683
ACH-000021,-0.151414950373
ACH-000022,-0.35916724375799997
ACH-000025,-0.434333341092
ACH-000028,-0.396665128869
ACH-000030,-0.29056491996100003
ACH-000035,-0.168079101461
ACH-000036,-0.477351719869
ACH-000037,-0.162336474288
ACH-000039,-0.339828017764
ACH-000040,-0.198718972607
ACH-000041,0.0202633569013
ACH-000042,-0.18875282760899997
ACH-000045,-0.248145503168
ACH-000047,-0.4773447497
ACH-000052,-0.392584436778
ACH-000053,-0.190616380398
ACH-000054,-0.270974128455
ACH-000055,-0.268574595125
ACH-000060,-0.30640585913699997
ACH-000067,-0.177974706582
ACH-000070,-0.301122588816
ACH-000075,-0.272509464878
ACH-000078,-0.175898465016
ACH-000082,-0.23479981652100002
ACH-000085,-0.376155264802
ACH-000086,-0.214280452619
ACH-000087,-0.184684736111
ACH-000092,-0.213263814096
ACH-000095,-0.259299752246
ACH-000097,-0.236525057411
ACH-000098,-0.105562803361
ACH-000099,-0.1054801686
ACH-000108,-0.454210229642
ACH-000113,-0.31518284960299997
ACH-000115,-0.325132703623
ACH-000116,-0.225117262984
ACH-000118,-0.0613096177676
ACH-000120,-0.306835265361
ACH-000123,-0.30400580382
ACH-000127,-0.301864831607
ACH-000128,-0.108947519643
ACH-000132,-0.37740273538099994
ACH-000133,-0.36250225507
ACH-000137,-0.233415261252
ACH-000138,-0.124141566777
ACH-000142,-0.21147851236600002
ACH-000143,-0.19279629416900002
ACH-000146,-0.122695622333
ACH-000148,-0.189449697339
ACH-000150,-0.267020700496
ACH-000152,-0.379645989715
ACH-000153,-0.327914488114
ACH-000159,-0.32846968547100003
ACH-000160,-0.0473639413412
ACH-000163,-0.34708451833000004
ACH-000167,-0.439383133543
ACH-000168,-0.36300300948799996
ACH-000169,-0.113244594472
ACH-000178,-0.267238151975
ACH-000182,-0.35552748316200006
ACH-000183,-0.017819346684000002
ACH-000188,-0.0919380154107
ACH-000189,-0.19865713685
ACH-000190,-0.00487505318892
ACH-000198,-0.280208721693
ACH-000204,-0.217707767716
ACH-000206,-0.270881695369
ACH-000207,-0.267357016147
ACH-000211,-0.269004271461
ACH-000215,-0.149315018611
ACH-000221,-0.430233290824
