,BTN2A2 (10385)
ACH-000004,0.170754568297
ACH-000007,-0.0784923083638
ACH-000009,0.167731960165
ACH-000011,0.122607050467
ACH-000012,0.088657703763
ACH-000013,0.101914783747
ACH-000014,-0.09912593510739999
ACH-000015,0.230810703693
ACH-000017,-0.0722008390405
ACH-000018,0.0474978994575
ACH-000019,0.0313360354484
ACH-000021,0.0748237259902
ACH-000022,0.167490754097
ACH-000025,0.300995906294
ACH-000028,0.167260589736
ACH-000030,0.0380349065652
ACH-000035,0.22766790229400002
ACH-000036,0.12925953771600002
ACH-000037,0.0625822642576
ACH-000039,0.08367441347089999
ACH-000040,0.181087356422
ACH-000041,0.22391340604200002
ACH-000042,0.196712758264
ACH-000045,0.108428456458
ACH-000047,-0.0719515896309
ACH-000052,0.094603842579
ACH-000053,0.11022835769400001
ACH-000054,-0.0250803244496
ACH-000055,-0.150088400278
ACH-000060,0.111254744844
ACH-000067,0.18640038839899997
ACH-000070,0.218722375044
ACH-000075,-0.17056291238899998
ACH-000078,-0.00970625369234
ACH-000082,0.127487624603
ACH-000085,0.038603689901
ACH-000086,0.046599815345000004
ACH-000087,0.05478608791069999
ACH-000092,0.0781063260225
ACH-000095,0.0315430453342
ACH-000097,0.135075962199
ACH-000098,0.125856183781
ACH-000099,0.159764348305
ACH-000108,-0.00227292392356
ACH-000113,0.11151746717700001
ACH-000115,-0.143197602285
ACH-000116,0.142605738585
ACH-000118,0.0529304046675
ACH-000120,0.0473025886365
ACH-000123,0.0645322676424
ACH-000127,0.0800799599571
ACH-000128,-0.0671562071138
ACH-000132,0.126972536379
ACH-000133,0.122213213257
ACH-000137,0.0361602589028
ACH-000138,-0.0494243655992
ACH-000142,0.110792011441
ACH-000143,-0.00579595836825
ACH-000146,0.119800518728
ACH-000148,0.197256355451
ACH-000150,0.21665561507199999
ACH-000152,-0.029613626244299997
ACH-000153,0.0255657740287
ACH-000159,0.150867265538
ACH-000160,-0.162143994447
ACH-000163,0.20658595147599998
ACH-000167,-0.058073752726999994
ACH-000168,0.228325022249
ACH-000169,0.122298738338
ACH-000178,0.09144850759989999
ACH-000182,0.22202018817400002
ACH-000183,0.10249662159600001
ACH-000188,0.289496742204
ACH-000189,-0.38417242243
ACH-000190,-0.0636676300364
ACH-000198,0.19516983265500001
ACH-000204,0.138338734361
ACH-000206,0.09105350391410001
ACH-000207,0.100119566338
ACH-000211,0.14600862458
ACH-000215,0.157193608416
ACH-000221,0.0669919332924
ACH-000222,-0.0662501446255
ACH-000223,0.11889974214400001
ACH-000226,0.146482447959
ACH-000227,0.36873571161700003
ACH-000228,0.00923402779858
ACH-000231,0.08854522396130002
ACH-000232,0.175758543721
ACH-000233,0.101332584843
ACH-000234,0.10154573214099999
ACH-000235,0.102768734541
ACH-000237,0.0443432240829
ACH-000238,0.0405810576394
ACH-000243,0.021214918609400002
ACH-000244,0.0968278521146
ACH-000246,0.0849764976555
ACH-000248,-0.07305256649860001
ACH-000250,0.00425192751161
ACH-000251,0.161513571898
ACH-000253,0.09905342301110001
ACH-000255,0.214338593063
ACH-000256,0.220457832266
ACH-000257,0.251714164812
ACH-000258,-0.08575902034180001
ACH-000259,0.09926017908230002
ACH-000260,0.130755668061
ACH-000261,0.109426412547
ACH-000262,0.205575550454
ACH-000263,0.14059005432399999
ACH-000264,0.179485915441
ACH-000265,0.119326798518
ACH-000266,0.081028616081
ACH-000272,0.00952575345532
ACH-000273,0.0266546127996
ACH-000274,0.117314573823
ACH-000277,0.216080672486
ACH-000278,0.19980177639199997
ACH-000279,-0.0028049359661999995
ACH-000280,0.24017862513500002
ACH-000281,0.0526546178766
ACH-000288,0.0609878263146
ACH-000291,0.0645564547263
ACH-000293,0.0794304338522
ACH-000294,0.18992106637800002
ACH-000295,-0.192489758831
ACH-000296,0.205197493533
ACH-000302,0.056135085800400004
ACH-000304,0.195998225195
ACH-000307,0.12486915232899999
ACH-000308,-0.00755329884512
ACH-000310,0.282550832328
ACH-000311,-0.019706203231799998
ACH-000312,-0.0154479491185
ACH-000315,0.219658265284
ACH-000316,0.116624203694
ACH-000317,-0.00760413156884
ACH-000318,0.137986543471
ACH-000319,0.263057686266
ACH-000320,0.0198624076519
ACH-000322,0.330417725419
ACH-000323,0.13461012507300002
ACH-000324,0.07517638329260001
ACH-000329,0.15909716291099998
ACH-000330,0.0108105870426
ACH-000331,0.19854820585900002
ACH-000332,0.0330238196197
ACH-000334,0.28390000233199997
ACH-000335,0.0640637191519
ACH-000336,0.061397949773000005
ACH-000337,-0.149990039887
ACH-000339,0.18626742807100002
