,POLR2K (5440)
ACH-000004,-1.41277769433
ACH-000007,-1.43914179715
ACH-000009,-1.21073864208
ACH-000011,-1.11624481765
ACH-000012,-1.2405368939
ACH-000013,-1.38580929498
ACH-000014,-1.31459407797
ACH-000015,-1.01582191771
ACH-000017,-1.3886120436200002
ACH-000018,-0.9001665493209999
ACH-000019,-1.04735329111
ACH-000021,-1.1694986710600002
ACH-000022,-1.35199660119
ACH-000025,-0.908932430487
ACH-000028,-1.02296586256
ACH-000030,-1.15243525422
ACH-000035,-1.0430435492799999
ACH-000036,-1.28086597543
ACH-000037,-0.602211759614
ACH-000039,-0.963649936587
ACH-000040,-1.10470660261
ACH-000041,-1.1927863693
ACH-000042,-1.00932369006
ACH-000045,-1.1754087953299999
ACH-000047,-1.0779178892499999
ACH-000052,-1.4024243965799998
ACH-000053,-1.32199643096
ACH-000054,-1.2953345415200002
ACH-000055,-1.1719258023899999
ACH-000060,-1.1079917927399998
ACH-000067,-1.0529208286799998
ACH-000070,-1.24848319502
ACH-000075,-1.2970761021500001
ACH-000078,-1.3806081498700002
ACH-000082,-1.32021986846
ACH-000085,-1.09512552311
ACH-000086,-1.2007965109
ACH-000087,-1.2153104751000001
ACH-000092,-1.28305074289
ACH-000095,-1.23291066008
ACH-000097,-1.31268105893
ACH-000098,-1.06520712547
ACH-000099,-1.43096976351
ACH-000108,-1.33915426146
ACH-000113,-1.23157748703
ACH-000115,-1.15875847578
ACH-000116,-1.19497097092
ACH-000118,-1.10123987166
ACH-000120,-1.36482431228
ACH-000123,-1.15271182259
ACH-000127,-1.27095356546
ACH-000128,-1.06925015375
ACH-000132,-1.42760050519
ACH-000133,-1.2308060656200002
ACH-000137,-1.0563901122900001
ACH-000138,-1.10230534128
ACH-000142,-1.00941225792
ACH-000143,-1.2724915368
ACH-000146,-1.5407908306
ACH-000148,-1.0297067069399999
ACH-000150,-1.29515470037
ACH-000152,-0.8433204027869999
ACH-000153,-1.47853094039
ACH-000159,-1.36203942616
ACH-000160,-0.765119445562
ACH-000163,-1.1705558466600001
ACH-000167,-0.77792310579
ACH-000168,-1.07488707376
ACH-000169,-1.17461124781
ACH-000178,-1.26105689968
ACH-000182,-1.22767913306
ACH-000183,-1.1337013735600001
ACH-000188,-0.998065004582
ACH-000189,-1.23988551554
ACH-000190,-0.587043581678
ACH-000198,-1.23569633412
ACH-000204,-1.2011738033700001
ACH-000206,-1.12852279073
ACH-000207,-1.1534781522700002
ACH-000211,-1.2352390832200002
ACH-000215,-1.05078178814
ACH-000221,-1.44866336104
ACH-000222,-1.34935038155
ACH-000223,-1.4112411490799999
ACH-000226,-1.34395969561
ACH-000227,-1.5882988639200002
ACH-000228,-0.856988322656
ACH-000231,-1.3207513322600002
ACH-000232,-1.3603238028600002
ACH-000233,-1.2316030784
ACH-000234,-1.52372884215
ACH-000235,-1.2410434245200002
ACH-000237,-0.9330935969799999
ACH-000238,-1.0235178206
ACH-000243,-1.27464429817
ACH-000244,-1.1484126758700002
ACH-000246,-1.23419445263
ACH-000248,-1.24744635873
ACH-000250,-1.2106642645399999
ACH-000251,-1.26272831142
ACH-000253,-1.2126011713200002
ACH-000255,-1.10280370085
