,BHLHE22 (27319)
ACH-000004,-0.15299473475
ACH-000007,-0.36495610492200004
ACH-000009,0.046018846455699994
ACH-000011,0.0230350951107
ACH-000012,-0.006815139393070001
ACH-000013,-0.0015782932805399998
ACH-000014,-0.26825077427099997
ACH-000015,-0.0982243764855
ACH-000017,-0.0237473121215
ACH-000018,-0.304545658648
ACH-000019,0.233949203936
ACH-000021,0.117264306294
ACH-000022,-0.465994828618
ACH-000025,-0.19735581472600003
ACH-000028,-0.0558771781155
ACH-000030,-0.0923150495162
ACH-000035,-0.193882800937
ACH-000036,-0.00867734188834
ACH-000037,-0.17890950710200001
ACH-000039,-0.112340392996
ACH-000040,-0.134830442594
ACH-000041,0.052687504315900004
ACH-000042,-0.0980458789011
ACH-000045,-0.030672847642099998
ACH-000047,-0.0293266106304
ACH-000052,0.10362281087200001
ACH-000053,-0.0420785840158
ACH-000054,-0.00168474754658
ACH-000055,-0.0837067458874
ACH-000060,-0.09957752554430001
ACH-000067,-0.06841269273350001
ACH-000070,-0.0773615718853
ACH-000075,0.124054611711
ACH-000078,0.173894613752
ACH-000082,-0.154880744572
ACH-000085,0.11091084234899999
ACH-000086,-0.023398534484799997
ACH-000087,0.0335948304743
ACH-000092,-0.0969576346467
ACH-000095,0.0102980473523
ACH-000097,0.0282183937297
ACH-000098,-0.17429430516
ACH-000099,0.0648600634009
ACH-000108,-0.422233131995
ACH-000113,-0.140695631591
ACH-000115,-0.272504522667
ACH-000116,0.00447006664476
ACH-000118,-0.128778491929
ACH-000120,0.0484489531252
ACH-000123,0.008222707680170001
ACH-000127,-0.18115501090599997
ACH-000128,-0.08235358875160001
ACH-000132,0.08071362722589999
ACH-000133,-0.10176568281
ACH-000137,0.16188473195
ACH-000138,-0.12109845320999998
ACH-000142,0.030973133637299997
ACH-000143,-0.0515927455691
ACH-000146,-0.24014708268100002
ACH-000148,-0.170644175125
ACH-000150,-0.133325784562
ACH-000152,-0.191811104759
ACH-000153,-0.23274062187199998
ACH-000159,-0.16776817678
ACH-000160,-0.0314560391191
ACH-000163,-0.387525328194
ACH-000167,-0.293552394913
ACH-000168,-0.166386320604
ACH-000169,-0.0337196815784
ACH-000178,-0.060006285021299996
ACH-000182,-0.246600881569
ACH-000183,-0.290685110573
ACH-000188,-0.034620840443000005
ACH-000189,-0.09669178606319999
ACH-000190,-0.256938491671
ACH-000198,-0.04369554137069999
ACH-000204,-0.050748620784800004
ACH-000206,-0.436570712155
ACH-000207,-0.00208702385935
ACH-000211,-0.0385722842851
ACH-000215,-0.021969295021099997
ACH-000221,-0.05920344545990001
ACH-000222,-0.39898890738700005
ACH-000223,-0.08863052322000001
ACH-000226,-0.210889223371
ACH-000227,0.0308744785806
ACH-000228,-0.176839943265
ACH-000231,0.029457169654799997
ACH-000232,-0.110108573065
ACH-000233,-0.130303153968
ACH-000234,-0.0507945972479
ACH-000235,-0.314394055067
ACH-000237,-0.06746290038319999
ACH-000238,0.206425701177
ACH-000243,-0.025759934121
ACH-000244,-0.121987010391
ACH-000246,-0.035955700582599996
ACH-000248,-0.0896578648594
ACH-000250,-0.0273892866929
ACH-000251,-0.26445159620700004
ACH-000253,-0.0887937816543
ACH-000255,-0.17241601510899998
ACH-000256,-0.0591876081649
ACH-000257,0.035477568780900005
ACH-000258,0.034590027985
ACH-000259,0.0417267014971
ACH-000260,-0.0149233017271
ACH-000261,-0.113464575421
ACH-000262,-0.060570017417500004
ACH-000263,-0.0883567010045
ACH-000264,-0.09774844465389998
ACH-000265,-0.163439046354
ACH-000266,-0.149242140205
ACH-000272,-0.0214255308096
ACH-000273,-0.033783389616400004
ACH-000274,0.12581297634299998
ACH-000277,-0.308838733583
ACH-000278,-0.0422708931053
ACH-000279,-0.105260962597
ACH-000280,-0.348996140402
ACH-000281,0.0470500618501
ACH-000288,0.089928510165
ACH-000291,-0.204489530504
