,MAF (4094)
ACH-000004,-0.08765682158330002
ACH-000007,-0.137576794275
ACH-000009,0.050764444539199996
ACH-000011,-0.324776067514
ACH-000012,-0.11705868584200001
ACH-000013,-0.143597594909
ACH-000014,-0.07268002512880001
ACH-000015,-0.0814582449867
ACH-000017,-0.0578705217308
ACH-000018,-0.0354432880279
ACH-000019,-0.253616195431
ACH-000021,-0.136047624939
ACH-000022,-0.140490596041
ACH-000025,-0.253160451875
ACH-000028,0.0110046986885
ACH-000030,-0.0971157944226
ACH-000035,-0.15390971366599998
ACH-000036,-0.32469973312899997
ACH-000037,-0.31254821661800003
ACH-000039,-0.0680007795927
ACH-000040,-0.261208279236
ACH-000041,0.040229838540699996
ACH-000042,-0.159559080109
ACH-000045,0.00491166945846
ACH-000047,-0.24336767211899998
ACH-000052,-0.534290454486
ACH-000053,-0.0970572489361
ACH-000054,-0.453133892213
ACH-000055,0.00335140847925
ACH-000060,-0.306346257891
ACH-000067,-0.145992744763
ACH-000070,-0.425273439641
ACH-000075,-0.357200915587
ACH-000078,-0.0341488167729
ACH-000082,-0.29268714340199997
ACH-000085,-0.0317906258237
ACH-000086,-0.09905032821979999
ACH-000087,-0.0667908557111
ACH-000092,-0.117971115254
ACH-000095,-0.08332552116780001
ACH-000097,-0.189873132403
ACH-000098,-0.25711280820300003
ACH-000099,-0.0456767524768
ACH-000108,-0.301430804534
ACH-000113,-0.0117680546316
ACH-000115,-0.17712670869000002
ACH-000116,-0.14412286281
ACH-000118,-0.154447890369
ACH-000120,-0.122218285177
ACH-000123,-0.15153513602399998
ACH-000127,-0.24406153776700001
ACH-000128,0.0663987637181
ACH-000132,-0.276805193316
ACH-000133,-0.366398412348
ACH-000137,-0.40389706410099996
ACH-000138,-0.0967624271254
ACH-000142,-0.128137508609
ACH-000143,-0.262622450905
ACH-000146,-0.152997251896
ACH-000148,-0.287211523417
ACH-000150,-0.12733448775800002
ACH-000152,-0.327540731998
ACH-000153,0.0764620779073
ACH-000159,-0.23820421037700001
ACH-000160,-0.029474052861
ACH-000163,-0.08511409776170001
ACH-000167,0.157043165495
ACH-000168,0.08257276437939999
ACH-000169,-0.13748060729800002
ACH-000178,-0.23349330068500002
ACH-000182,-0.19817191064800002
ACH-000183,-0.306966273708
ACH-000188,-0.14441193009
ACH-000189,0.0558261996827
ACH-000190,-0.39433247671899996
ACH-000198,-0.253989633536
ACH-000204,-1.1796430668100002
ACH-000206,-0.0628632603434
ACH-000207,-0.0533236664495
ACH-000211,-0.151758846364
ACH-000215,-0.27089273118
ACH-000221,-0.0394912317325
ACH-000222,-0.24993812507399998
ACH-000223,-0.14798598335000002
ACH-000226,-0.11018330155600001
ACH-000227,0.0491195982477
ACH-000228,-0.17008338704300002
ACH-000231,-0.220198084227
ACH-000232,-0.403752144537
ACH-000233,-0.167092006129
ACH-000234,-0.220599121023
ACH-000235,-0.180059961307
ACH-000237,-0.321313050709
ACH-000238,-0.210413562949
ACH-000243,-0.045603343210500004
ACH-000244,-0.04856905704990001
ACH-000246,-0.26494141637400004
ACH-000248,-0.168457117584
ACH-000250,-0.136064368305
ACH-000251,0.267299891302
ACH-000253,-0.362077870763
ACH-000255,-0.21550706933699998
ACH-000256,-0.1409091378
ACH-000257,-0.00582974356489
ACH-000258,-0.621659793763
ACH-000259,-0.19266903251400003
ACH-000260,-0.220687888953
ACH-000261,-0.179090280902
ACH-000262,-0.552153270728
ACH-000263,0.0111404533284
ACH-000264,-0.13960221905300002
ACH-000265,0.0027730175931699997
ACH-000266,-0.16821962662
ACH-000272,-0.182074639258
ACH-000273,-0.190639502501
ACH-000274,-0.101153175515
ACH-000277,-0.437935662659
ACH-000278,-0.582085155417
ACH-000279,-0.17022373534200003
ACH-000280,0.037342872873400004
ACH-000281,-0.213709378302
ACH-000288,-0.15358169509400002
ACH-000291,-0.228539398294
ACH-000293,-0.305262104499
ACH-000294,-0.159255661523
ACH-000295,0.150034166046
ACH-000296,-0.257608913951
ACH-000302,-0.126486085697
ACH-000304,0.025555015882599997
ACH-000307,-0.130354502421
ACH-000308,-0.0965082782618
ACH-000310,-0.09653844064379999
ACH-000311,-0.0188911128272
ACH-000312,-0.205944739115
ACH-000315,-0.22877830738899999
ACH-000316,-0.274336780984
ACH-000317,-0.15938367421
ACH-000318,-0.054534834979999995
ACH-000319,-0.190455218682
ACH-000320,-0.0944260302672
ACH-000322,-0.105035278287
ACH-000323,-0.262829411473
ACH-000324,-0.0164980598664
ACH-000329,-0.17625296087200001
ACH-000330,-0.17341128151000001
ACH-000331,-0.157917243992
ACH-000332,-0.0945801978867
ACH-000334,-0.129776377377
ACH-000335,-0.159125112948
ACH-000336,-0.17373692386300002
ACH-000337,-0.10879625473400001
ACH-000339,-0.17914433362799997
ACH-000341,-0.23654117843199998
ACH-000348,-0.19881820809300002
ACH-000350,-0.25050325115600003
