,CAST (831)
ACH-000004,-0.465982289598
ACH-000007,-0.0320048116151
ACH-000009,-0.296716496732
ACH-000011,-0.126903122406
ACH-000012,-0.235637323916
ACH-000013,-0.284428504868
ACH-000014,-0.334293668667
ACH-000015,-0.497774473163
ACH-000017,-0.201750562347
ACH-000018,-0.195529718933
ACH-000019,-0.18268256445
ACH-000021,-0.401553029851
ACH-000022,-0.307281225017
ACH-000025,-0.24846451801600003
ACH-000028,-0.314680413716
ACH-000030,-0.312089538062
ACH-000035,-0.33128899241
ACH-000036,-0.432033319909
ACH-000037,-0.35224866369999996
ACH-000039,-0.6725816840819999
ACH-000040,-0.343438622501
ACH-000041,-0.2113895841
ACH-000042,-0.331068088874
ACH-000045,-0.217988399386
ACH-000047,-0.29660986402600004
ACH-000052,-0.37029765129299996
ACH-000053,-0.435065436878
ACH-000054,-0.329807856516
ACH-000055,-0.31749803880399996
ACH-000060,-0.230012658505
ACH-000067,-0.44086618404600003
ACH-000070,-0.32308645697099997
ACH-000075,-0.603919840667
ACH-000078,-0.527225663473
ACH-000082,-0.33159389411
ACH-000085,-0.241803824989
ACH-000086,-0.44129230557899995
ACH-000087,-0.157035632477
ACH-000092,-0.35495354994499995
ACH-000095,-0.237748753521
ACH-000097,-0.362425496502
ACH-000098,-0.330437356452
ACH-000099,-0.41828885603
ACH-000108,-0.282331691874
ACH-000113,-0.34233541579000004
ACH-000115,-0.339877647768
ACH-000116,-0.443500691113
ACH-000118,-0.289668686908
ACH-000120,-0.306281332982
ACH-000123,-0.26486430014400003
ACH-000127,-0.324566380243
ACH-000128,-0.22168846900800002
ACH-000132,-0.291994443953
ACH-000133,-0.249355288394
ACH-000137,-0.468293689168
ACH-000138,-0.30261512843800004
ACH-000142,-0.17563567414099998
ACH-000143,-0.1987889
ACH-000146,-0.289929160718
ACH-000148,-0.336983448976
ACH-000150,-0.049960392419300004
ACH-000152,-0.37212015208899996
ACH-000153,-0.493784092655
ACH-000159,-0.38720276120700003
ACH-000160,-0.250074104775
ACH-000163,-0.23507879971700002
ACH-000167,-0.72091799985
ACH-000168,-0.29761502846099996
ACH-000169,-0.366039083315
ACH-000178,-0.34249405189599996
ACH-000182,-0.271056213888
ACH-000183,-0.252076876631
ACH-000188,-0.369075466969
ACH-000189,-0.286832131068
ACH-000190,-0.479979678737
ACH-000198,-0.31004270206900003
ACH-000204,-0.309767095724
ACH-000206,-0.20459498818900002
ACH-000207,-0.0170803205984
ACH-000211,-0.298058005189
ACH-000215,-0.388120004809
ACH-000221,-0.220786692483
ACH-000222,-0.255210408321
ACH-000223,-0.153343882857
ACH-000226,-0.404044433985
ACH-000227,-0.21090671896699997
ACH-000228,-0.302515671988
ACH-000231,-0.319167058943
ACH-000232,-0.308399534732
ACH-000233,-0.269118302616
ACH-000234,-0.142789486012
ACH-000235,-0.356181176791
ACH-000237,-0.354314955101
ACH-000238,-0.22701793950100002
ACH-000243,-0.332061509002
ACH-000244,-0.525006899556
ACH-000246,-0.521397818122
ACH-000248,-0.38065837614500003
ACH-000250,-0.270967801931
ACH-000251,-0.512486118861
ACH-000253,-0.12713941612
ACH-000255,-0.409146628573
ACH-000256,-0.27770535915600003
ACH-000257,-0.278602790231
ACH-000258,-0.232164062102
ACH-000259,-0.265560129429
ACH-000260,-0.39350400916999995
ACH-000261,-0.425627039892
ACH-000262,-0.142945268477
ACH-000263,-0.150922371237
ACH-000264,-0.299512471638
ACH-000265,-0.339620773419
ACH-000266,-0.441227674829
ACH-000272,-0.28481301295
ACH-000273,-0.21649526849700002
ACH-000274,-0.33702420076800005
ACH-000277,-0.110855503027
ACH-000278,-0.34374369503300006
ACH-000279,-0.268116676164
ACH-000280,-0.37302611056100005
ACH-000281,-0.556157103788
ACH-000288,-0.23426841778700003
ACH-000291,-0.331654945357
