,NACA2 (342538)
ACH-000004,-0.526632252122
ACH-000007,-0.193524659397
ACH-000009,-0.5540898872300001
ACH-000011,-0.26067689569
ACH-000012,-0.354925854855
ACH-000013,-0.288063790542
ACH-000014,-0.179766286464
ACH-000015,-0.08632038180410001
ACH-000017,-0.08598702706280001
ACH-000018,-0.324090048708
ACH-000019,-0.27782204898
ACH-000021,-0.359848514697
ACH-000022,-0.229769792478
ACH-000025,-0.29005326730000003
ACH-000028,-0.405975592173
ACH-000030,-0.185169489125
ACH-000035,-0.24556147159299999
ACH-000036,-0.42474299930299997
ACH-000037,-0.102297497533
ACH-000039,-0.168868205082
ACH-000040,-0.357526396915
ACH-000041,-0.28264758205400003
ACH-000042,-0.5470523484709999
ACH-000045,0.123621385123
ACH-000047,-0.025403597669099998
ACH-000052,-0.16127051903200001
ACH-000053,-0.253150600307
ACH-000054,-0.33271474784
ACH-000055,-0.23111643983600003
ACH-000060,-0.27636711542500003
ACH-000067,-0.13024066385299998
ACH-000070,-0.09811520009260001
ACH-000075,-0.42162392897900003
ACH-000078,-0.470577247489
ACH-000082,-0.346974642615
ACH-000085,-0.39064386785599997
ACH-000086,-0.500769337864
ACH-000087,-0.324291463418
ACH-000092,-0.31895313753800003
ACH-000095,-0.244111463289
ACH-000097,-0.272030361228
ACH-000098,-0.226944997921
ACH-000099,-0.228361414653
ACH-000108,-0.10573486774
ACH-000113,-0.0143165267765
ACH-000115,-0.041636128981
ACH-000116,-0.202515656821
ACH-000118,-0.31828820904
ACH-000120,-0.390957893394
ACH-000123,-0.202214899913
ACH-000127,-0.18233615271099998
ACH-000128,-0.157579932346
ACH-000132,-0.297685478929
ACH-000133,-0.188390740621
ACH-000137,-0.0793031966702
ACH-000138,-0.473690184172
ACH-000142,-0.49914224328900003
ACH-000143,-0.311528397899
ACH-000146,-0.22215162609900002
ACH-000148,-0.261193032419
ACH-000150,-0.264394662592
ACH-000152,-0.43579836516500003
ACH-000153,-0.061090384794500005
ACH-000159,-0.211295873055
ACH-000160,-0.100163159292
ACH-000163,-0.12520728691400002
ACH-000167,-0.35662602275300004
ACH-000168,0.032278226231599996
ACH-000169,-0.151057676045
ACH-000178,-0.220130248066
ACH-000182,-0.235394717078
ACH-000183,-0.296835587336
ACH-000188,-0.414170457785
ACH-000189,0.0699818491969
ACH-000190,-0.148855637443
ACH-000198,-0.0931694450806
ACH-000204,-0.15026816969
ACH-000206,-0.181913208702
ACH-000207,-0.28637903503400003
ACH-000211,-0.14496984219
ACH-000215,-0.341768413934
ACH-000221,-0.12577652270300002
ACH-000222,-0.289807298941
ACH-000223,-0.251230486358
ACH-000226,-0.212698721578
ACH-000227,-0.615515940595
ACH-000228,-0.207987150857
ACH-000231,-0.233580869461
ACH-000232,-0.10295871568399999
ACH-000233,-0.139821128622
ACH-000234,-0.19849727936500003
ACH-000235,-0.47967916473300004
ACH-000237,-0.290015042499
ACH-000238,-0.550399309913
ACH-000243,-0.569218048968
ACH-000244,-0.173043496441
ACH-000246,-0.183520714641
ACH-000248,-0.308271319913
ACH-000250,-0.38568070520900005
ACH-000251,-0.276368644572
ACH-000253,-0.33532783223900003
