,PRPH (5630)
ACH-000004,-0.23368403041900002
ACH-000007,-0.317844611267
ACH-000009,-0.193321968379
ACH-000011,-0.18899378846099998
ACH-000012,-0.0715763328685
ACH-000013,-0.17569375479600002
ACH-000014,-0.28113790054000004
ACH-000015,-0.231297119498
ACH-000017,-0.35991091377800005
ACH-000018,-0.172925050917
ACH-000019,0.09095888503119999
ACH-000021,-0.0870485216639
ACH-000022,-0.08986443560239998
ACH-000025,-0.385514007499
ACH-000028,-0.241034989363
ACH-000030,-0.210609617068
ACH-000035,-0.24259949181499998
ACH-000036,-0.150207369397
ACH-000037,-0.236108300066
ACH-000039,0.0551221298256
ACH-000040,-0.139049799528
ACH-000041,-0.34291329312700003
ACH-000042,-0.135528305888
ACH-000045,-0.14242381541500002
ACH-000047,-0.259399547036
ACH-000052,-0.339632545083
ACH-000053,-0.012370258957700001
ACH-000054,-0.221959706369
ACH-000055,-0.0809671342872
ACH-000060,0.0276213769594
ACH-000067,-0.280865314475
ACH-000070,-0.122856481639
ACH-000075,-0.556193610622
ACH-000078,0.0728390107057
ACH-000082,-0.050387534913099996
ACH-000085,-0.234871180821
ACH-000086,-0.27117163969999997
ACH-000087,0.103741420929
ACH-000092,-0.11762984656099999
ACH-000095,-0.0549521074028
ACH-000097,-0.225477237248
ACH-000098,-0.12227317437000002
ACH-000099,-0.11174719222400001
ACH-000108,0.230812636618
ACH-000113,-0.221941400479
ACH-000115,0.008335163812300001
ACH-000116,-0.071700565181
ACH-000118,-0.0304962959033
ACH-000120,0.0846200443024
ACH-000123,-0.08767628866
ACH-000127,-0.0505819758395
ACH-000128,-0.21278835326099999
ACH-000132,-0.07406453866160001
ACH-000133,-0.234033440545
ACH-000137,-0.250115909324
ACH-000138,-0.177492690686
ACH-000142,-0.10653871552899999
ACH-000143,-0.186395468041
ACH-000146,0.027756331386599997
ACH-000148,-0.24993808327
ACH-000150,-0.472260787952
ACH-000152,-0.134590373795
ACH-000153,-0.059728882225
ACH-000159,-0.026243232200599997
ACH-000160,-0.138799404081
ACH-000163,-0.21696937256700002
ACH-000167,-0.211685561344
ACH-000168,-0.14658298395199998
ACH-000169,-0.0755223353063
ACH-000178,0.0175810593992
ACH-000182,-0.0648936837852
ACH-000183,-0.08764295196350001
ACH-000188,-0.0836194281823
ACH-000189,-0.394130760191
ACH-000190,-0.169643485257
ACH-000198,-0.165799429673
ACH-000204,-0.19297141090300002
ACH-000206,-0.20387647216
ACH-000207,-0.11661467383400001
ACH-000211,-0.147808742456
ACH-000215,-0.0799650101908
ACH-000221,-0.24289418485800002
ACH-000222,-0.107107945175
