,HLA-DMA (3108)
ACH-000004,-0.12312856930400001
ACH-000007,-0.073657362098
ACH-000009,-0.17229333199900002
ACH-000011,-0.15623730820999998
ACH-000012,-0.144380440687
ACH-000013,-0.153721495962
ACH-000014,-0.0980895684487
ACH-000015,-0.006043689857739999
ACH-000017,-0.24707825084399998
ACH-000018,-0.0093194382541
ACH-000019,0.012299028977299998
ACH-000021,-0.08298310605630001
ACH-000022,-0.047584706647800006
ACH-000025,0.0918517555954
ACH-000028,-0.0554929582927
ACH-000030,-0.0556179240544
ACH-000035,-0.24321004533000004
ACH-000036,-0.134517312149
ACH-000037,0.016033659077899998
ACH-000039,-0.113004916863
ACH-000040,-0.0395247082752
ACH-000041,-0.0952275515582
ACH-000042,-0.0323591335263
ACH-000045,-0.15871382540200002
ACH-000047,-0.07476252313210001
ACH-000052,-0.161963111898
ACH-000053,-0.20280766337
ACH-000054,-0.265961176591
ACH-000055,0.06003965986840001
ACH-000060,-0.205109421584
ACH-000067,-0.257949190002
ACH-000070,0.0258118314042
ACH-000075,0.06461043793330001
ACH-000078,-0.130693223987
ACH-000082,-0.161024248801
ACH-000085,-0.297949759937
ACH-000086,0.11555103887399999
ACH-000087,-0.248877636899
ACH-000092,-0.033214792620799995
ACH-000095,-0.0961095379107
ACH-000097,-0.0966609616587
ACH-000098,-0.10425644209400001
ACH-000099,-0.0648557643977
ACH-000108,-0.0469218788128
ACH-000113,-0.12263583775
ACH-000115,-0.3171645994
ACH-000116,-0.015756172287999998
ACH-000118,-0.00238350085072
ACH-000120,-0.32139716206
ACH-000123,-0.192411106912
ACH-000127,-0.17828340553199998
ACH-000128,0.0136919424401
ACH-000132,-0.159537958349
ACH-000133,-0.16556568087999998
ACH-000137,0.058467367988
ACH-000138,-0.0656954086145
ACH-000142,0.0200589913492
ACH-000143,0.00878426577591
ACH-000146,0.010302466287500001
ACH-000148,0.11251814866399999
ACH-000150,-0.0510778134949
ACH-000152,-0.049214754299
ACH-000153,-0.19686368204399998
ACH-000159,-0.0389016358405
ACH-000160,-0.05047247087619999
ACH-000163,0.08817720263139998
ACH-000167,0.0028459983500399998
ACH-000168,-0.321197029488
ACH-000169,-0.0061201443215899995
ACH-000178,-0.133822448353
ACH-000182,-0.252899130013
ACH-000183,-0.171032572911
ACH-000188,0.0316806302477
ACH-000189,-0.026937214500099997
ACH-000190,-0.20726646117199998
ACH-000198,-0.191847900941
ACH-000204,-0.265577244409
ACH-000206,-0.112293972031
ACH-000207,-0.599671047134
ACH-000211,-0.224124711938
ACH-000215,-0.0273984894995
ACH-000221,-0.018185292237799997
ACH-000222,0.013015250778299998
ACH-000223,-0.11045796729
ACH-000226,-0.170963157663
ACH-000227,0.0205628502613
ACH-000228,-0.0351444397377
ACH-000231,-0.16047448997000002
ACH-000232,-0.0285246337849
ACH-000233,-0.111069112537
ACH-000234,-0.0224363720787
ACH-000235,-0.09385333614019999
ACH-000237,0.024072764021200004
ACH-000238,-0.17005869496800002
ACH-000243,-0.106667501779
ACH-000244,-0.300823731597
ACH-000246,-0.11164935919999999
ACH-000248,-0.364436169494
ACH-000250,-0.163563572595
ACH-000251,-0.429581905632
ACH-000253,-0.10492877611500001
ACH-000255,-0.122425220645
ACH-000256,-0.037641043691
ACH-000257,-0.1617089923
ACH-000258,-0.151927052261
ACH-000259,0.0159779338257
ACH-000260,-0.15860048429
ACH-000261,-0.167450661928
ACH-000262,-0.15911598929600002
ACH-000263,0.0173846707295
ACH-000264,-0.127593631538
ACH-000265,-0.117664996622
ACH-000266,-0.14024877705299998
ACH-000272,-0.0387499383351
ACH-000273,-0.153206593309
ACH-000274,-0.047120539348
ACH-000277,-0.0748447391312
ACH-000278,-0.048966752478599995
ACH-000279,-0.10337782375
ACH-000280,-0.157052088123
ACH-000281,-0.13038700057299998
ACH-000288,-0.137427512232
ACH-000291,-0.258387570273
ACH-000293,0.00877026654686
ACH-000294,-0.11820254926200001
ACH-000295,-0.253296666216
ACH-000296,-0.240495744469
ACH-000302,-0.10262521706399999
ACH-000304,0.05022475123930001
ACH-000307,-0.0731101770866
ACH-000308,-0.190966086055
ACH-000310,-0.35198400213500003
ACH-000311,0.0288067481378
ACH-000312,-0.23252026409600002
ACH-000315,-0.21064703862999998
ACH-000316,-0.09745451230789999
ACH-000317,-0.276338196308
ACH-000318,0.08566500574010001
ACH-000319,-0.0616722033218
ACH-000320,-0.0256716660729
ACH-000322,0.198229138812
ACH-000323,-0.06182525263230001
ACH-000324,-0.20521152943799997
ACH-000329,-0.0927609886395
ACH-000330,-0.406529718428
