,COX7A1 (1346)
ACH-000004,0.285066654579
ACH-000007,0.0105723806749
ACH-000009,0.287820687063
ACH-000011,0.34694770507600003
ACH-000012,0.22794743977200002
ACH-000013,0.0745961991324
ACH-000014,0.300781195383
ACH-000015,0.17742428083
ACH-000017,0.267802976468
ACH-000018,0.28656266567600003
ACH-000019,0.25483174401700004
ACH-000021,0.159246917599
ACH-000022,0.0366389476559
ACH-000025,0.11027401016699999
ACH-000028,0.14650454729100001
ACH-000030,0.255338895092
ACH-000035,0.09909822616630001
ACH-000036,0.134284790409
ACH-000037,0.197787171966
ACH-000039,0.392966313794
ACH-000040,0.43008639719999997
ACH-000041,0.297094361562
ACH-000042,0.25381997671100004
ACH-000045,0.28996182039900004
ACH-000047,0.39978526756800004
ACH-000052,0.19024450461
ACH-000053,0.213544843899
ACH-000054,0.19194317349800002
ACH-000055,0.27575342031800004
ACH-000060,0.339505627208
ACH-000067,0.294554564282
ACH-000070,0.155258479821
ACH-000075,0.11980528454600001
ACH-000078,0.32218551712
ACH-000082,0.230330508675
ACH-000085,0.278966835762
ACH-000086,0.026285466132400005
ACH-000087,0.314234389619
ACH-000092,0.210453457322
ACH-000095,0.27620728466999994
ACH-000097,0.219044595678
ACH-000098,0.107864012291
ACH-000099,0.386789546026
ACH-000108,0.174938417906
ACH-000113,0.158814786835
ACH-000115,0.38675046179300004
ACH-000116,0.215527141615
ACH-000118,0.107474005131
ACH-000120,0.118738009674
ACH-000123,0.189390194116
ACH-000127,0.23273186548099997
ACH-000128,0.114004108265
ACH-000132,0.22657590995700003
ACH-000133,0.23887142431400002
ACH-000137,0.215527259181
ACH-000138,0.118926950012
ACH-000142,0.201125044538
ACH-000143,0.192101189889
ACH-000146,0.241830784549
ACH-000148,0.16116126468699998
ACH-000150,0.295049219648
ACH-000152,0.0728914161495
ACH-000153,0.32497163550999997
ACH-000159,0.183793148649
ACH-000160,-0.0126755279035
ACH-000163,0.204383913035
ACH-000167,0.440772111504
ACH-000168,0.239819058985
ACH-000169,0.217291912844
ACH-000178,0.319148253186
ACH-000182,0.123736582877
ACH-000183,0.357377359083
ACH-000188,0.215060481081
ACH-000189,0.124635962546
ACH-000190,0.17936202304999999
ACH-000198,0.310512872755
ACH-000204,-0.0123853452281
ACH-000206,0.161953900151
ACH-000207,-0.10622487987500001
ACH-000211,0.325694056108
ACH-000215,0.180513010053
ACH-000221,0.32756327335499996
ACH-000222,0.10942310504200001
ACH-000223,0.338305900452
ACH-000226,0.135386300046
ACH-000227,0.190597459939
ACH-000228,0.082828757241
ACH-000231,0.320737807024
ACH-000232,0.22910944088500002
ACH-000233,0.285633895137
ACH-000234,0.37139127594099997
ACH-000235,0.178253946396
ACH-000237,0.45773719428099996
