,FGGY (55277)
ACH-000676,0.0575815626388
ACH-000677,0.136738306161
ACH-000681,0.060725153412699996
ACH-000682,0.129024015698
ACH-000683,0.047075242178
ACH-000684,0.10421050505200001
ACH-000688,-0.0116396597575
ACH-000693,0.05308369761369999
ACH-000694,0.12889295551899999
ACH-000695,0.358577699198
ACH-000696,0.0861800818955
ACH-000697,0.0337577270261
ACH-000699,0.184144130834
ACH-000701,0.19779869704
ACH-000706,0.025256591858599995
ACH-000711,0.22394193560800002
ACH-000713,0.141571304566
ACH-000714,0.146576752739
ACH-000718,0.0590674116328
ACH-000720,0.116824575386
ACH-000721,0.026843880928099997
ACH-000724,0.28766045746
ACH-000725,0.09824452077469999
ACH-000732,0.184691740088
ACH-000734,0.17911130152600002
ACH-000735,0.0760894073429
ACH-000736,0.190054940642
ACH-000738,0.0700618239218
ACH-000746,0.139660687327
ACH-000747,0.146638439277
ACH-000748,0.125804958371
ACH-000753,0.0805271368155
ACH-000756,0.26241798233
ACH-000757,-0.030800912075999998
ACH-000758,0.223560496653
ACH-000760,0.126757925002
ACH-000763,0.127186418972
ACH-000764,0.0337212991183
ACH-000765,0.200564921587
ACH-000766,0.128014682839
ACH-000767,0.15745573553099998
ACH-000768,0.18216403910999998
ACH-000769,0.0657873102057
ACH-000770,0.0531325251551
ACH-000771,0.19384617756499997
ACH-000773,0.165877380626
ACH-000776,0.17188053548
ACH-000777,0.04017495709030001
ACH-000778,-0.05638030241280001
ACH-000781,0.167548508149
ACH-000782,0.10722346803300001
ACH-000783,0.19892984439800002
ACH-000784,0.0405765197368
ACH-000785,0.0756468614438
ACH-000787,0.102316661832
ACH-000788,0.012754367377
ACH-000791,0.0191463062545
ACH-000792,0.182406090933
ACH-000794,0.08238767641889999
ACH-000796,0.18165465058
ACH-000799,0.17474472790999998
ACH-000800,0.09247854658119999
ACH-000802,0.0998567984142
ACH-000804,-0.0148287105479
ACH-000805,0.00560564970462
ACH-000809,0.185439800839
ACH-000810,0.153831079749
ACH-000811,0.059448460203499996
ACH-000817,-0.03800214819640001
ACH-000819,0.16862673229800001
ACH-000820,0.32156504423099996
ACH-000821,-0.0224891206708
ACH-000822,0.259704625893
ACH-000823,0.0833081242842
ACH-000824,0.173282664482
ACH-000827,0.126177334913
ACH-000829,0.11544557658
ACH-000831,0.09833356366280001
ACH-000832,0.0859270432704
ACH-000833,0.278269698768
ACH-000834,-0.058479260737500004
ACH-000835,0.115160775316
ACH-000836,0.164847141346
ACH-000837,0.0713108989673
ACH-000838,-0.0170076201
ACH-000839,0.317095880584
ACH-000840,0.08519743553260001
ACH-000841,0.174784567311
ACH-000843,0.316791810396
ACH-000846,0.0802486504254
ACH-000847,0.0662730762526
ACH-000848,0.171736009632
ACH-000849,0.0901729555242
ACH-000851,-0.251757629282
ACH-000855,-0.0346997752157
ACH-000856,0.280052885417
ACH-000858,0.175101295958
ACH-000859,0.265879134142
ACH-000861,0.0733966761377
ACH-000862,0.156483588581
ACH-000865,0.0744294325498
ACH-000866,0.0549710675801
