,FANCG (2189)
ACH-000004,-0.310896383133
ACH-000007,-0.00852831605953
ACH-000009,-0.285877306701
ACH-000011,-0.36675873686899996
ACH-000012,-0.0989498423111
ACH-000013,-0.21333927197500002
ACH-000014,-0.556482309951
ACH-000015,-0.184118619595
ACH-000017,-0.140609716754
ACH-000018,-0.23032751647799998
ACH-000019,-0.317936932233
ACH-000021,-0.28744875040600004
ACH-000022,-0.11987483847000001
ACH-000025,-0.113963215659
ACH-000028,-0.400552213313
ACH-000030,-0.131959701297
ACH-000035,-0.38359952139799997
ACH-000036,-0.23413280051600002
ACH-000037,-0.27367669253000004
ACH-000039,-0.156446691757
ACH-000040,-0.243289891221
ACH-000041,-0.052800601308500006
ACH-000042,-0.146597237985
ACH-000045,-0.565586045196
ACH-000047,-0.156874473841
ACH-000052,-0.477719701425
ACH-000053,0.0723372250391
ACH-000054,-0.138060506311
ACH-000055,-0.360320053857
ACH-000060,0.08952714260130001
ACH-000067,-0.373112306836
ACH-000070,-0.40520614266599997
ACH-000075,-0.185989126778
ACH-000078,-0.020514922473799997
ACH-000082,-0.35956010002300004
ACH-000085,-0.253011740416
ACH-000086,-0.113777723376
ACH-000087,-0.527237504649
ACH-000092,-0.137416991907
ACH-000095,-0.031243605697400003
ACH-000097,-0.292207238349
ACH-000098,-0.243455606431
ACH-000099,-0.383715984986
ACH-000108,-0.0639583673828
ACH-000113,-0.732883129655
ACH-000115,-0.024417279548900002
ACH-000116,-0.187884423759
ACH-000118,-0.622705213865
ACH-000120,-0.362714149831
ACH-000123,-0.259639517051
ACH-000127,-0.11463241116499999
ACH-000128,0.130206101209
ACH-000132,-0.705901897493
ACH-000133,-0.750656972775
ACH-000137,-0.06737192001140001
ACH-000138,-0.034307276165999996
ACH-000142,-0.0902656137903
ACH-000143,-0.214553450653
ACH-000146,-3.09326135805e-05
ACH-000148,-0.399981016326
ACH-000150,-0.020500743569999997
ACH-000152,-0.53104136846
ACH-000153,-0.14207908094900001
ACH-000159,-0.0960022568224
ACH-000160,-0.188853837955
ACH-000163,-0.36331366883199995
ACH-000167,-0.117507594062
ACH-000168,-0.388909794776
ACH-000169,-0.0416834351995
ACH-000178,-0.021861232883
ACH-000182,-0.0106916292811
ACH-000183,-0.0382635841057
ACH-000188,-0.30109386944899996
