,CCZ1B (221960)
ACH-000004,-0.0657535603511
ACH-000007,-0.227547680405
ACH-000009,-0.554408456496
ACH-000011,-0.333746450841
ACH-000012,-0.0917323577434
ACH-000013,0.0465236185451
ACH-000014,-0.22760122159
ACH-000015,-0.069195904797
ACH-000017,-0.384069856572
ACH-000018,-0.147425679062
ACH-000019,-0.296835505203
ACH-000021,-0.131317594596
ACH-000022,-0.21439811813499998
ACH-000025,-0.387348543475
ACH-000028,-0.07999136278239999
ACH-000030,-0.317910551847
ACH-000035,-0.0925703096974
ACH-000036,-0.442999814273
ACH-000037,-0.140114078486
ACH-000039,-0.11319415244200001
ACH-000040,-0.57817473549
ACH-000041,-0.00712019589431
ACH-000042,-0.154474816559
ACH-000045,-0.259548899787
ACH-000047,-0.13208145688
ACH-000052,-0.060579210346
ACH-000053,-0.40991029989699995
ACH-000054,-0.331096095605
ACH-000055,0.0462812837113
ACH-000060,-0.42637298159599996
ACH-000067,-0.391559383932
ACH-000070,-0.233961348455
ACH-000075,-0.518966121309
ACH-000078,-0.326241991142
ACH-000082,-0.455088423661
ACH-000085,-0.20172195582199998
ACH-000086,-0.11125609285900001
ACH-000087,-0.07566891361219999
ACH-000092,-0.24973656382599999
ACH-000095,-0.339636073304
ACH-000097,-0.0221576379887
ACH-000098,-0.250295162925
ACH-000099,-0.326058317237
ACH-000108,-0.207796056605
ACH-000113,-0.0743349892511
ACH-000115,-0.0687617551527
ACH-000116,0.042909133770399996
ACH-000118,-0.15881601483899999
ACH-000120,-0.0341119302789
ACH-000123,-0.36326172262900003
ACH-000127,-0.009440834255120002
ACH-000128,-0.374287299176
ACH-000132,-0.14835099383199998
ACH-000133,-0.15771207796199999
ACH-000137,-0.22962934214800002
ACH-000138,0.0442322530093
ACH-000142,-0.262452871427
ACH-000143,-0.0353876347465
ACH-000146,-0.299612586163
ACH-000148,-0.11261287944800001
ACH-000150,0.204575099496
ACH-000152,-0.183728678248
ACH-000153,-0.142823186456
ACH-000159,-0.190753074694
ACH-000160,-0.321751281471
ACH-000163,-0.0545257476282
ACH-000167,-0.348185359998
ACH-000168,-0.128828728884
ACH-000169,-0.34092412927599997
ACH-000178,-0.217533327242
ACH-000182,-0.0751307774978
ACH-000183,-0.26435739228599997
ACH-000188,-0.33036877266
ACH-000189,-0.177796128726
ACH-000190,-0.0937167300413
ACH-000198,0.0284135845157
ACH-000204,-0.0989089910004
ACH-000206,-0.168061276044
ACH-000207,-0.21708432141999998
ACH-000211,-0.0782612190184
ACH-000215,-0.156456948387
ACH-000221,-0.20238643732
ACH-000222,-0.299213410763
ACH-000223,-0.280742539498
ACH-000226,-0.259847745927
ACH-000227,-0.208104882648
ACH-000228,-0.23636652263799998
ACH-000231,-0.29233412296100003
ACH-000232,-0.122657186875
ACH-000233,-0.210826298103
ACH-000234,-0.445911680162
ACH-000235,-0.20767362891600002
ACH-000237,-0.252915230426
ACH-000238,-0.38526467371399997
ACH-000243,-0.005528701738430001
ACH-000244,-0.487655206826
ACH-000246,-0.0933566502025
ACH-000248,-0.362508981815
ACH-000250,-0.24008716434
ACH-000251,-0.08916200737189998
ACH-000253,-0.270851576059
ACH-000255,-0.000313247850984
ACH-000256,-0.00733343288946
ACH-000257,-0.128493689917
ACH-000258,0.0322769922374
ACH-000259,-0.113150721648
ACH-000260,-0.0658531023911
ACH-000261,0.0033370329702399996
ACH-000262,-0.188615283656
ACH-000263,-0.22199465519499997
ACH-000264,-0.105859608189
ACH-000265,-0.0343429838015
ACH-000266,-0.243217464995
ACH-000272,0.15381903213
ACH-000273,-0.34168803791
ACH-000274,-0.488887577556
ACH-000277,-0.347741973455
ACH-000278,-0.0321642142227
ACH-000279,-0.16507765342800002
ACH-000280,-0.12935360254699999
ACH-000281,-0.21335627246
ACH-000288,-0.27624311955499997
ACH-000291,-0.393259307008
ACH-000293,-0.256940777918
ACH-000294,-0.244821819958
ACH-000295,-0.631761298129
ACH-000296,-0.223016081548
ACH-000302,0.00113551977637
ACH-000304,-0.33136031131099997
ACH-000307,-0.185111704058
ACH-000308,-0.248314186709
ACH-000310,-0.18792530601
ACH-000311,-0.19078768217599998
ACH-000312,-0.0611223097578
ACH-000315,0.0231826774022
ACH-000316,-0.215933960143
ACH-000317,-0.0267578960428
ACH-000318,-0.218528905218
ACH-000319,-0.207117048581
ACH-000320,-0.023776116232
ACH-000322,-0.127353824215
ACH-000323,-0.324699295823
ACH-000324,-0.116003121697
ACH-000329,-0.265529725669
ACH-000330,-0.130018965441
ACH-000331,-0.0357844349194
ACH-000332,-0.006396387363
ACH-000334,-0.276943641246
ACH-000335,-0.24855671376999997
ACH-000336,-0.190673773436
ACH-000337,-0.365964707922
ACH-000339,-0.24145270325999998
ACH-000341,-0.017771243266499998
ACH-000348,-0.08057202266039999
ACH-000350,0.00709830954741
ACH-000352,-0.19048047432999998
ACH-000356,-0.27559728247299997
ACH-000361,-0.256130792049
ACH-000362,-0.205438481697
ACH-000363,-0.0188334103777
ACH-000364,-0.29567259300099996
ACH-000365,-0.393220145992
ACH-000366,-0.365234211641
ACH-000368,-0.0693214006385
ACH-000374,-0.374968681809
ACH-000375,-0.211613974197
ACH-000376,-0.042274944766300004
ACH-000381,-0.195760946721
ACH-000383,-0.42615778201399995
ACH-000387,-0.263432384602
ACH-000389,-0.451635005972
ACH-000390,-0.0986653390271
ACH-000393,-0.187946729997
ACH-000395,-0.26655445225
ACH-000397,-0.159384999933
ACH-000401,-0.00662633924813
ACH-000402,-0.266865502689
ACH-000403,-0.34640076193400005
ACH-000404,0.0164460508391
ACH-000406,0.00942608559981
ACH-000407,-0.11257659554600001
ACH-000408,-0.303211141305
ACH-000410,-0.0037992166983699996
ACH-000411,-0.280997186376
ACH-000414,-0.210773256721
ACH-000415,-0.150520425218
ACH-000416,-0.320720284237
ACH-000420,-0.150650338467
ACH-000421,-0.0997862956037
ACH-000424,-0.10251519519999999
ACH-000425,-0.161477657764
ACH-000426,-0.157635653116
ACH-000427,-0.10487490901100001
ACH-000433,-0.16902865300099998
ACH-000436,-0.07313182783
ACH-000444,0.0508737127636
ACH-000445,-0.18435973503699998
ACH-000448,-0.266348075094
ACH-000450,-0.049694032296199994
ACH-000452,-0.401466591562
ACH-000454,-0.187639649721
ACH-000458,-0.126900557385
ACH-000459,-0.14188465902699998
ACH-000460,-0.150547759977
ACH-000461,0.0067953325463800006
ACH-000463,-0.167833346877
ACH-000464,-0.254295650914
ACH-000466,-0.148673269362
ACH-000467,-0.155798007863
ACH-000468,-0.172879266732
ACH-000469,-0.19467113742400002
ACH-000470,-0.507413500135
ACH-000471,-0.534143249714
ACH-000472,-0.22831237165100002
ACH-000473,-0.0542882597961
ACH-000475,-0.23168213031999998
ACH-000476,-0.280311395335
ACH-000477,-0.07217505474060001
ACH-000480,-0.276371590646
ACH-000481,-0.0997890190699
ACH-000483,-0.19370349562
ACH-000484,-0.270180748684
ACH-000485,-0.424552047782
ACH-000486,-0.11087522441099999
ACH-000487,-0.450941617924
ACH-000488,-0.12113080226299999
ACH-000490,-0.299941981706
ACH-000491,-0.13495237950300001
ACH-000495,-0.0984463413754
ACH-000496,-0.350418244233
ACH-000499,-0.04716642831730001
ACH-000500,-0.148280241468
ACH-000502,-0.18589162369000004
ACH-000503,-0.35840244694300005
ACH-000505,-0.129417840692
ACH-000507,-0.34656470427
ACH-000510,-0.11426805445
ACH-000511,-0.17422721475400002
ACH-000512,-0.0693529839393
ACH-000516,-0.218524240832
ACH-000517,9.64600441513e-05
ACH-000518,-0.33780131049999995
ACH-000520,-0.395035315357
ACH-000521,-0.060018950356300005
ACH-000522,-0.436259810455
ACH-000524,-0.19999876513599998
ACH-000527,-0.0364068621644
ACH-000528,0.0503974415608
ACH-000537,-0.21985418216699998
ACH-000541,-0.46326846044500003
ACH-000542,-0.23599808345800002
ACH-000544,-0.366505743737
ACH-000545,-0.339661555732
ACH-000547,-0.34408397551799996
ACH-000548,-0.425135434724
ACH-000549,-0.250830329849
ACH-000550,-0.274647960684
ACH-000552,-0.22838459734400002
ACH-000556,-0.14834387061100002
ACH-000557,0.060726886100199995
ACH-000570,-0.147321827649
ACH-000571,-0.364034420796
ACH-000573,0.0537812190881
ACH-000576,0.320605756761
ACH-000580,-0.320281671723
ACH-000584,-0.179727806132
ACH-000585,-0.262376566889
ACH-000588,0.0246484395731
ACH-000589,-0.167787014795
ACH-000591,-0.175871098636
ACH-000593,-0.07369088139010001
ACH-000600,-0.312116937607
ACH-000601,-0.09959411662380001
ACH-000604,-0.178803249917
ACH-000605,-0.21052584799899998
ACH-000606,-0.318450048152
ACH-000608,-0.375375561988
ACH-000614,-0.382065873856
ACH-000616,-0.6123080187359999
ACH-000618,-0.325098987099
ACH-000619,-0.426382527342
ACH-000620,-0.27611130946400003
ACH-000621,-0.47415769572099997
ACH-000622,-0.326047670168
ACH-000623,-0.187321851914
