,RUNX1T1 (862)
ACH-000004,-0.39157151208999996
ACH-000007,-0.145250399397
ACH-000009,0.0615625513466
ACH-000011,-0.0447058479347
ACH-000012,-0.0749138992933
ACH-000013,-0.114498327311
ACH-000014,-0.07356213057189999
ACH-000015,-0.0815879424545
ACH-000017,-0.105699793836
ACH-000018,-0.043055373709800004
ACH-000019,-0.171281137083
ACH-000021,-0.0540503613549
ACH-000022,-0.257964603295
ACH-000025,-0.129305287137
ACH-000028,-0.139377015415
ACH-000030,-0.136239773298
ACH-000035,0.0364707617688
ACH-000036,-0.16753284034000002
ACH-000037,-0.105372720257
ACH-000039,-0.0995767137465
ACH-000040,-0.152776698284
ACH-000041,-0.0452199957752
ACH-000042,-0.05406252100219999
ACH-000045,-0.09434891673180001
ACH-000047,-0.130031951203
ACH-000052,-0.0387670563944
ACH-000053,-0.10775045270400001
ACH-000054,-0.138859016924
ACH-000055,-0.136385941866
ACH-000060,-0.16614237374500002
ACH-000067,0.037562251273500005
ACH-000070,-0.0197648142783
ACH-000075,0.151927042345
ACH-000078,-0.160500978929
ACH-000082,-0.0357917174144
ACH-000085,-0.0762643042772
ACH-000086,-0.0335770741737
ACH-000087,-0.08366290256719999
ACH-000092,-0.176768762041
ACH-000095,-0.0726370752583
ACH-000097,-0.17625889397
ACH-000098,-0.027711233319399998
ACH-000099,-0.133783576246
ACH-000108,-0.07410086108839999
ACH-000113,-0.135572497
ACH-000115,-0.0530163735645
ACH-000116,0.0728343942332
ACH-000118,-0.160790850263
ACH-000120,-0.07186628593239999
ACH-000123,-0.0253962889079
ACH-000127,-0.18328989425
ACH-000128,-0.216879779241
ACH-000132,-0.0578675234689
ACH-000133,-0.321268619459
ACH-000137,0.00413006623753
ACH-000138,-0.0542026803715
ACH-000142,0.00882658261762
ACH-000143,-0.084943671714
ACH-000146,-0.145409640503
ACH-000148,-0.0702204171609
ACH-000150,-0.130819995585
ACH-000152,-0.13814140592399998
ACH-000153,0.0101647304911
ACH-000159,-0.100174135984
ACH-000160,0.024372268894199998
ACH-000163,-0.20947446460299998
ACH-000167,-0.11642835497300001
ACH-000168,-0.19471661721
ACH-000169,0.08744304286039999
ACH-000178,-0.272679976837
ACH-000182,-0.406614218773
ACH-000183,-0.127654944309
ACH-000188,-0.130285798182
ACH-000189,-0.262257318533
ACH-000190,-0.24875829760899998
ACH-000198,0.00771515847791
ACH-000204,-0.125395005482
ACH-000206,0.0151956715757
ACH-000207,-0.11014803361400001
ACH-000211,-0.09769041491380001
ACH-000215,-0.07247249433849999
ACH-000221,-0.0041819788725999995
ACH-000222,-0.100533496798
ACH-000223,-0.235607828682
ACH-000226,-0.16138474888499998
ACH-000227,-0.39480764052699996
ACH-000228,-0.150296430786
ACH-000231,-0.160345148671
ACH-000232,-0.14571304345
ACH-000233,-0.247456860986
ACH-000234,0.05079331367790001
ACH-000235,-0.078323125573
ACH-000237,-0.129439330654
ACH-000238,-0.129666555797
ACH-000243,-0.170682164168
ACH-000244,-0.0991272761275
ACH-000246,-0.0551513342337
ACH-000248,-0.05018940955569999
ACH-000250,-0.093078796302
ACH-000251,-0.0531905862374
ACH-000253,-0.042661635175999996
ACH-000255,0.0821377569502
ACH-000256,-0.20155797647
ACH-000257,0.11813252902799999
ACH-000258,-0.145745782247
ACH-000259,-0.19208683563200002
ACH-000260,-0.00986603815872
ACH-000261,-0.084783165707
ACH-000262,-0.0341143619141
ACH-000263,-1.13835768814
ACH-000264,-0.26877088440200003
ACH-000265,-0.08344485267260002
ACH-000266,-0.11030101135800001
ACH-000272,0.019291805509900003
ACH-000273,-0.13555504619
ACH-000274,0.020442503992
ACH-000277,-0.23559388913899998
ACH-000278,-0.058691355208400006
ACH-000279,-0.24108138926699998
ACH-000280,0.10963971015
ACH-000281,-0.17431379947200001
ACH-000288,0.0609298199524
ACH-000291,-0.122113166407
ACH-000293,0.06261634722019999
ACH-000294,-0.272079997187
ACH-000295,0.0993288182384
ACH-000296,-0.0259267102592
ACH-000302,-0.173070969399
ACH-000304,0.048858373913699994
ACH-000307,-0.19054231871
ACH-000308,-0.164699402862
ACH-000310,-0.526127628846
ACH-000311,-0.153403446375
ACH-000312,-0.0477958058515
ACH-000315,-0.124278378513
ACH-000316,-0.156191099332
ACH-000317,-0.033935098663
ACH-000318,-0.022904216443
ACH-000319,0.114835141502
ACH-000320,0.0644429691722
ACH-000322,-0.012636184554999999
ACH-000323,-0.142968130436
ACH-000324,-0.14676194682
ACH-000329,-0.048342039259800004
ACH-000330,-0.320917969667
ACH-000331,-0.0644168319638
ACH-000332,-0.22337940293900002
ACH-000334,-0.47707808254600004
ACH-000335,0.131147073338
ACH-000336,-0.208804716612
ACH-000337,0.109100824459
ACH-000339,-0.190961169796
ACH-000341,-0.25968750386
ACH-000348,-0.172856975335
ACH-000350,-0.09241472447839999
ACH-000352,-0.0312048243136
ACH-000356,0.056607247067599994
ACH-000361,-0.146085376667
ACH-000362,-0.0659408294724
ACH-000363,-0.4374247087
ACH-000364,-0.10961505839199999
ACH-000365,-0.06937873453519999
ACH-000366,-0.179944439163
ACH-000368,-0.239340410681
ACH-000374,0.0661883444066
ACH-000375,-0.08303620256010001
ACH-000376,-0.17968480473700002
ACH-000381,-0.24693743699999998
ACH-000383,-0.202240993719
ACH-000387,-0.028003885489400002
ACH-000389,0.19507364178300002
ACH-000390,-0.0227652862703
ACH-000393,-0.09935703894480001
ACH-000395,0.22276449741
ACH-000397,-0.12099855957999998
ACH-000401,-0.08503657345389999
ACH-000402,-0.15540214976800001
ACH-000403,-0.224571656272
ACH-000404,-0.0008785296810610002
ACH-000406,-0.0880289759517
ACH-000407,-0.12479250053600001
ACH-000408,0.008619031665379999
ACH-000410,-0.0853520125262
ACH-000411,-0.19631287169300002
ACH-000414,-0.0804736914117
ACH-000415,-0.038338504887000004
ACH-000416,-0.17714921326900002
ACH-000420,-0.08230123112610001
ACH-000421,-0.237493824175
ACH-000424,0.0433947711863
ACH-000425,-0.2273599757
ACH-000426,-0.249035595028
ACH-000427,-0.158345632723
ACH-000433,0.124500611371
ACH-000436,-0.268370579599
ACH-000444,-0.08582125059389999
ACH-000445,-0.00117887293643
ACH-000448,-0.278088998277
ACH-000450,0.0326203335948
ACH-000452,-0.100284471209
ACH-000454,-0.0551665805719
ACH-000458,-0.199460934643
ACH-000459,-0.273930941364
ACH-000460,-0.0545534982642
ACH-000461,0.152563212399
ACH-000463,-0.039869409199800004
ACH-000464,-0.102265351834
ACH-000466,-0.0295405522885
ACH-000467,-0.0724727994551
ACH-000468,-0.0550675866632
ACH-000469,-0.146674885962
ACH-000470,-0.17795261814
ACH-000471,-0.15589873313
ACH-000472,-0.143510450752
ACH-000473,0.014273591882100001
ACH-000475,-0.118079059668
ACH-000476,-0.20320767162999998
ACH-000477,-0.20705526514800002
ACH-000480,-0.0920953317055
ACH-000481,0.0349229195832
ACH-000483,-0.255494963818
ACH-000484,-0.09550808011800001
ACH-000485,-0.0630140508676
ACH-000486,-0.183809811096
ACH-000487,-0.06571974378499999
ACH-000488,-0.0156271223352
ACH-000490,-0.180405724106
ACH-000491,-0.0006557490120049999
ACH-000495,-0.159250977466
ACH-000496,-0.0792468358836
ACH-000499,-0.213277634971
ACH-000500,-0.346220220512
ACH-000502,-0.0627440541327
ACH-000503,0.399983496981
ACH-000505,-0.154877277839
ACH-000507,-0.146616437086
ACH-000510,-0.142443496906
ACH-000511,-0.24956795003
