,AHRR (57491)
ACH-000004,-0.134982056778
ACH-000007,0.07320352604
ACH-000009,-0.323960572914
ACH-000011,-0.328001967243
ACH-000012,-0.0733186856961
ACH-000013,-0.118373188597
ACH-000014,-0.247563015818
ACH-000015,-0.18260122315000002
ACH-000017,-0.376806929889
ACH-000018,-0.0378428790752
ACH-000019,0.11917275264
ACH-000021,-0.0660164154182
ACH-000022,-0.157846916631
ACH-000025,-0.215658640537
ACH-000028,-0.0772431521271
ACH-000030,-0.022195440210599996
ACH-000035,-0.212032923556
ACH-000036,-0.08320485937810002
ACH-000037,-0.47609211699500004
ACH-000039,0.0691734415329
ACH-000040,-0.399879786021
ACH-000041,-0.166475996985
ACH-000042,-0.12892351886
ACH-000045,0.0168432665108
ACH-000047,-0.192320459949
ACH-000052,-0.389538246716
ACH-000053,-0.23004240919100002
ACH-000054,-0.255358808323
ACH-000055,0.10211153706599999
ACH-000060,-0.133916884279
ACH-000067,0.10470991147500001
ACH-000070,-0.34359515514600003
ACH-000075,-0.12851933214199998
ACH-000078,-0.22836268839200002
ACH-000082,-0.337065307761
ACH-000085,-0.328480632246
ACH-000086,-0.144927006278
ACH-000087,-0.217275277406
ACH-000092,-0.188166038828
ACH-000095,-0.09302988291589999
ACH-000097,-0.147729724933
ACH-000098,-0.020503131292299998
ACH-000099,-0.09031947760339999
ACH-000108,-0.21846058059300003
ACH-000113,-0.0910748635234
ACH-000115,-0.214903031668
ACH-000116,-0.144810270946
ACH-000118,-0.00151780994144
ACH-000120,-0.0418474855268
ACH-000123,-0.255474979512
ACH-000127,-0.167904494982
ACH-000128,-0.22789247826099998
ACH-000132,-0.08465637138530001
ACH-000133,0.048269036233599995
ACH-000137,-0.0380470373993
ACH-000138,-0.233375832275
ACH-000142,-0.102280235314
ACH-000143,-0.22413284619899998
ACH-000146,-0.028454634151900002
ACH-000148,-0.19179166910999998
ACH-000150,-0.130127884691
ACH-000152,-0.322249228038
ACH-000153,-0.14277875567099998
ACH-000159,-0.17054095352499998
ACH-000160,-0.236424972492
ACH-000163,-0.249543600302
ACH-000167,0.00794814808284
ACH-000168,-0.111258155361
ACH-000169,-0.08874577318710002
ACH-000178,-0.165818686792
ACH-000182,-0.0560737194003
ACH-000183,-0.19021725248799998
ACH-000188,-0.197159082714
ACH-000189,-0.0891289571896
ACH-000190,-0.13164968964600002
ACH-000198,-0.8545704704289999
ACH-000204,-0.0946692357278
ACH-000206,-0.276564169403
ACH-000207,-0.314427770065
ACH-000211,-0.0953913919103
ACH-000215,-0.208486653143
ACH-000221,-0.167444052956
ACH-000222,-0.0056839511226700005
ACH-000223,-0.237088826382
ACH-000226,0.060604857959199995
ACH-000227,-0.321370959314
ACH-000228,0.0645599942614
ACH-000231,-0.192998468004
ACH-000232,-0.0934441715453
ACH-000233,-0.0877291808691
ACH-000234,-0.244729068217
ACH-000235,-0.14938225476
ACH-000237,-0.07371665488939999
ACH-000238,-0.11336327661800001
ACH-000243,-0.0681127979201
ACH-000244,-0.0910173561373
ACH-000246,-0.169231614333
ACH-000248,-0.264889658092
ACH-000250,-0.373029011059
ACH-000251,0.045771977064800004
ACH-000253,-0.167208704067
ACH-000255,0.0399135216487
ACH-000256,-0.23215898454199999
ACH-000257,-0.48958514860299995
ACH-000258,0.0110050614866
ACH-000259,-0.22998416411999997
ACH-000260,-0.149283607801
ACH-000261,-0.144334146444
ACH-000262,-0.423222193064
ACH-000263,-0.360304566065
ACH-000264,-0.342923150168
ACH-000265,0.0603780091155
ACH-000266,-0.260384515157
ACH-000272,-0.246174887213
ACH-000273,-0.3078784843
ACH-000274,-0.026958120852700003
ACH-000277,-0.4321366389
ACH-000278,-0.21460925887
ACH-000279,-0.343184664257
ACH-000280,-0.258136925056
ACH-000281,-0.323550385007
ACH-000288,-0.21086164098700003
ACH-000291,-0.09707333317119998
ACH-000293,-0.29632330445099997
ACH-000294,-0.22326138681699997
ACH-000295,0.07186173145830001
ACH-000296,-0.147275772942
ACH-000302,0.0215427998006
ACH-000304,0.22898668133900002
ACH-000307,-0.023369028260499997
ACH-000308,-0.075303239801
ACH-000310,-0.04608166530380001
ACH-000311,-0.14385858583699998
ACH-000312,-0.158678204766
ACH-000315,-0.018095536323
ACH-000316,-0.025754177664099997
ACH-000317,-0.375952157648
ACH-000318,-0.0305124297261
ACH-000319,-0.121677021911
ACH-000320,-0.219527720357
ACH-000322,-0.268058064301
ACH-000323,-0.303289836395
ACH-000324,-0.19096416666700003
ACH-000329,-0.36038599720700004
