,VAV1 (7409)
ACH-000004,-0.27187887371999997
ACH-000007,-0.10847974694700001
ACH-000009,-0.157778616541
ACH-000011,0.058619127172999996
ACH-000012,-0.131177277549
ACH-000013,-0.28179280941
ACH-000014,-0.31055169682100003
ACH-000015,-0.367946255627
ACH-000017,-0.0202756761867
ACH-000018,-0.247701537951
ACH-000019,-0.0819405124725
ACH-000021,-0.19274601557799997
ACH-000022,-0.311288508446
ACH-000025,-0.18849584874800002
ACH-000028,-0.24069361665
ACH-000030,-0.221733908995
ACH-000035,-0.0386887783236
ACH-000036,-0.009193256932790002
ACH-000037,-0.251139216582
ACH-000039,-0.0727373112506
ACH-000040,-0.10590186973400001
ACH-000041,-0.041404913180900005
ACH-000042,-0.06628914217109999
ACH-000045,-0.23253033989500002
ACH-000047,-0.09487472068080001
ACH-000052,-0.359569935254
ACH-000053,-0.167339160789
ACH-000054,-0.08558578036
ACH-000055,-0.16022651056700002
ACH-000060,-0.10009105411800001
ACH-000067,-0.26197651481999995
ACH-000070,-0.0783463390142
ACH-000075,-0.0993594815346
ACH-000078,-0.153022847165
ACH-000082,-0.0697495898014
ACH-000085,-0.140856920938
ACH-000086,-0.18579377549800002
ACH-000087,-0.122378229356
ACH-000092,-0.0726151767675
ACH-000095,-0.07746891742669999
ACH-000097,-0.0694155840002
ACH-000098,-0.350483360646
ACH-000099,-0.300178783914
ACH-000108,-0.197935342035
ACH-000113,-0.195131884381
ACH-000115,-0.24376178216299998
ACH-000116,-0.147481900255
ACH-000118,-0.284806007998
ACH-000120,-0.197987793838
ACH-000123,-0.302742084322
ACH-000127,-0.404285293021
ACH-000128,-0.547897353653
ACH-000132,-0.17566261356600002
ACH-000133,-0.14430918729800002
ACH-000137,-0.143627089977
ACH-000138,-0.16809457571400002
ACH-000142,-0.22602189180399998
ACH-000143,-0.206955586138
ACH-000146,-0.248774490503
ACH-000148,-0.06335949684190001
ACH-000150,-0.13195674551
ACH-000152,-0.275258248443
ACH-000153,0.071089268545
ACH-000159,-0.131101154331
ACH-000160,-0.139001104779
ACH-000163,-0.234798819228
ACH-000167,-0.309661184707
ACH-000168,-0.336055894084
ACH-000169,-0.0428534220462
ACH-000178,-0.198091237609
ACH-000182,-0.132119427189
ACH-000183,-0.278648480878
ACH-000188,-0.30642181829
ACH-000189,-0.055302418364199996
ACH-000190,-0.39439802325999995
ACH-000198,-0.171774787659
ACH-000204,0.15436146558
ACH-000206,-0.174597378296
ACH-000207,0.044681709784900006
ACH-000211,-0.135848953385
ACH-000215,-0.226932181577
ACH-000221,-0.30071964212900004
ACH-000222,-0.164777274826
ACH-000223,-0.268986413084
ACH-000226,-0.0894284477172
ACH-000227,-0.23187966846900002
ACH-000228,-0.166960666508
ACH-000231,-0.204042165977
ACH-000232,-0.041617192614
ACH-000233,-0.226235318939
ACH-000234,-0.0621574930578
ACH-000235,-0.220375390297
ACH-000237,-0.206072758306
ACH-000238,0.0809539967678
ACH-000243,-0.158670640134
ACH-000244,-0.495469948236
ACH-000246,-0.0299676756886
ACH-000248,-0.276848010465
ACH-000250,-0.10182669319
ACH-000251,-0.312089391171
ACH-000253,-0.274984791271
ACH-000255,-0.117158001412
ACH-000256,-0.026600925645400002
ACH-000257,-0.017719714993799998
ACH-000258,-0.318355794367
ACH-000259,-0.109906687753
ACH-000260,-0.247442174923
ACH-000261,-0.14386248000399998
ACH-000262,-0.36556412865099996
ACH-000263,-0.0796260601168
ACH-000264,-0.054484320004400004
ACH-000265,-0.172851403081
ACH-000266,-0.12757975193600002
ACH-000272,-0.19985880924000002
ACH-000273,0.0510713753963
ACH-000274,-0.190834155283
ACH-000277,-0.216332296928
ACH-000278,-0.21458291439
ACH-000279,-0.029381309751900002
ACH-000280,-0.184009030203
ACH-000281,-0.145289649987
