,TRIOBP (11078)
ACH-000004,-0.0452430157395
ACH-000007,-0.22576387431999997
ACH-000009,-0.0612227836596
ACH-000011,-0.351868983533
ACH-000012,-0.21872009773200002
ACH-000013,-0.22396807638900001
ACH-000014,-0.34219735401199997
ACH-000015,-0.334917355086
ACH-000017,-0.0918419672181
ACH-000018,-0.194389187094
ACH-000019,-0.263981537552
ACH-000021,-0.158447500641
ACH-000022,-0.113805902361
ACH-000025,-0.253983017624
ACH-000028,-0.13579028792
ACH-000030,-0.296484310975
ACH-000035,-0.22942359329300002
ACH-000036,-0.293008664425
ACH-000037,-0.206013492839
ACH-000039,-0.290971123743
ACH-000040,-0.195169810422
ACH-000041,-0.156392192836
ACH-000042,-0.34731703828
ACH-000045,-0.20641205366700002
ACH-000047,-0.184501821299
ACH-000052,-0.1063810643
ACH-000053,-0.14745356927
ACH-000054,-0.20518611838
ACH-000055,-0.18441777834000003
ACH-000060,-0.347178917256
ACH-000067,-0.182001484072
ACH-000070,-0.21241422020599998
ACH-000075,-0.155783322615
ACH-000078,-0.132056499729
ACH-000082,-0.145445930998
ACH-000085,-0.353408373554
ACH-000086,0.10131911422
ACH-000087,0.020756794053799998
ACH-000092,-0.41428436040399996
ACH-000095,-0.160148642397
ACH-000097,-0.3924778423
ACH-000098,-0.31291752468899997
ACH-000099,-0.21114646405
ACH-000108,-0.17695848629900002
ACH-000113,-0.0960372994081
ACH-000115,-0.255496518749
ACH-000116,-0.237296796849
ACH-000118,-0.21015954352699998
ACH-000120,-0.162659975539
ACH-000123,-0.243357982415
ACH-000127,-0.07003013164139998
ACH-000128,-0.12545678081800002
ACH-000132,-0.185242895835
ACH-000133,-0.29998013876999996
ACH-000137,-0.274583998338
ACH-000138,-0.0584395120514
ACH-000142,0.0113369794512
ACH-000143,-0.260297705599
ACH-000146,-0.07662121489910001
ACH-000148,-0.101165475364
ACH-000150,-0.198509195822
ACH-000152,-0.104878578216
ACH-000153,-0.0391594531842
ACH-000159,-0.147566259091
ACH-000160,-0.08625655794260001
ACH-000163,-0.30780744330800003
ACH-000167,-0.407111510349
ACH-000168,-0.18099209260200003
ACH-000169,-0.233904012675
ACH-000178,-0.17636795655
ACH-000182,-0.20856931820099997
ACH-000183,-0.15475638299799999
ACH-000188,-0.197018718148
ACH-000189,-0.360574111931
ACH-000190,-0.08821510547280001
ACH-000198,-0.18417780464800002
ACH-000204,-0.22712692858800002
ACH-000206,-0.38050091733
ACH-000207,-0.06494725753859999
ACH-000211,-0.149229293791
ACH-000215,-0.19835639174699998
ACH-000221,-0.21143136250300001
ACH-000222,0.008519611874329999
ACH-000223,-0.127453331839
ACH-000226,-0.218739126138
ACH-000227,-0.210160961776
ACH-000228,-0.310126720681
ACH-000231,-0.149210651307
ACH-000232,-0.18446770240899998
ACH-000233,-0.426819149481
ACH-000234,-0.31879713734000004
ACH-000235,-0.189451458197
ACH-000237,-0.163399446931
ACH-000238,-0.233559128162
ACH-000243,-0.40004374781400004
ACH-000244,-0.270267725513
ACH-000246,-0.21819695097
ACH-000248,-0.0598416787603
ACH-000250,-0.271779938304
ACH-000251,0.338363043297
ACH-000253,-0.201109627913
ACH-000255,-0.222318813653
ACH-000256,-0.241324795303
ACH-000257,-0.180426263197
ACH-000258,-0.106495686864
ACH-000259,-0.255419229513
ACH-000260,-0.09379596271400001
ACH-000261,-0.291891115503
ACH-000262,-0.0825047388522
ACH-000263,-0.0820776084024
ACH-000264,-0.237196570243
ACH-000265,-0.192436771871
ACH-000266,-0.18620583491300002
ACH-000272,-0.14168502371
ACH-000273,-0.258320584385
ACH-000274,-0.307913160212
ACH-000277,-0.156977840618
ACH-000278,-0.286576298088
ACH-000279,-0.198166017517
ACH-000280,-0.19170967124899999
ACH-000281,-0.10971543269600001
ACH-000288,-0.196215619338
