,GOLGB1 (2804)
ACH-000004,-0.265903673936
ACH-000007,0.028601388089700003
ACH-000009,-0.222485953583
ACH-000011,-0.166074427126
ACH-000012,-0.102260740176
ACH-000013,-0.18780438744199998
ACH-000014,-0.17607471973299998
ACH-000015,-0.103037410158
ACH-000017,-0.104728455093
ACH-000018,-0.290278456466
ACH-000019,-0.501586980168
ACH-000021,-0.292313652769
ACH-000022,-0.255112830174
ACH-000025,-0.178725595904
ACH-000028,-0.2771950737
ACH-000030,-0.323233833435
ACH-000035,-0.46603858177
ACH-000036,-0.212525514492
ACH-000037,-0.0859465578633
ACH-000039,-0.32702818202
ACH-000040,-0.169480101844
ACH-000041,-0.280683131608
ACH-000042,-0.15091186651
ACH-000045,-0.126776797226
ACH-000047,-0.135711374094
ACH-000052,-0.11557526455
ACH-000053,-0.303551859288
ACH-000054,-0.249928156283
ACH-000055,-0.06711335966950001
ACH-000060,-0.0629289178943
ACH-000067,-0.26570762494100003
ACH-000070,-0.220653748668
ACH-000075,0.020600546039499998
ACH-000078,-0.423116110509
ACH-000082,-0.26638081789900003
ACH-000085,-0.215194615959
ACH-000086,-0.182009143024
ACH-000087,0.0106523339567
ACH-000092,-0.164152335733
ACH-000095,-0.267966768576
ACH-000097,-0.23084204098400002
ACH-000098,-0.164074000336
ACH-000099,-0.335954636751
ACH-000108,-0.29694797788800004
ACH-000113,-0.308303579622
ACH-000115,-0.259109917535
ACH-000116,-0.18191145505399997
ACH-000118,-0.23390081854800002
ACH-000120,-0.253907205554
ACH-000123,-0.404125319215
ACH-000127,-0.221702753445
ACH-000128,-0.45832772713799996
ACH-000132,-0.268814421661
ACH-000133,-0.14777005895
ACH-000137,-0.32622593005600004
ACH-000138,-0.311610602764
ACH-000142,-0.13157132805500002
ACH-000143,-0.222060874339
ACH-000146,-0.155970100151
ACH-000148,-0.08710025497139999
ACH-000150,-0.0438790011663
ACH-000152,0.0157176941921
ACH-000153,-0.166756519675
ACH-000159,-0.0721344722729
ACH-000160,-0.309734715101
ACH-000163,-0.25164457171300003
ACH-000167,-0.305511855462
ACH-000168,-0.177651880088
ACH-000169,-0.275434198591
ACH-000178,-0.171999849912
ACH-000182,-0.19972878842
ACH-000183,-0.219697584018
ACH-000188,-0.151202089767
ACH-000189,-0.163508548567
ACH-000190,-0.184930010069
ACH-000198,-0.0743015079656
ACH-000204,0.17840176714699998
ACH-000206,-0.14081357909199999
ACH-000207,-0.271349655239
ACH-000211,-0.29222107294
ACH-000215,-0.0738010057181
ACH-000221,-0.291651004576
ACH-000222,-0.144816358421
ACH-000223,-0.315970091035
ACH-000226,-0.447818745081
ACH-000227,-0.46236899054999997
ACH-000228,-0.123749783828
ACH-000231,-0.352704628107
ACH-000232,-0.192787669943
ACH-000233,-0.16192664622000003
ACH-000234,-0.18550352878899998
ACH-000235,-0.29489091826999997
ACH-000237,-0.09179191848169999
ACH-000238,-0.130599970347
ACH-000243,-0.185629175942
ACH-000244,-0.309813042177
ACH-000246,-0.163913141692
ACH-000248,-0.319060628896
ACH-000250,-0.14180529784
ACH-000251,-0.358293112813
ACH-000253,-0.255892905816
ACH-000255,-0.06954084169110002
ACH-000256,-0.045366822359
ACH-000257,0.0847565249756
ACH-000258,0.19354492269200002
ACH-000259,-0.184900373558
ACH-000260,-0.34490637868100005
ACH-000261,-0.317502882669
ACH-000262,-0.0612953681845
ACH-000263,-0.306209372576
ACH-000264,-0.159622350518
ACH-000265,-0.129461773474
ACH-000266,-0.174761759133
ACH-000272,-0.586826677303
ACH-000273,-0.11057329228
ACH-000274,-0.285789146118
ACH-000277,-0.17294148664
ACH-000278,-0.241173573254
ACH-000279,-0.11053066005699999
ACH-000280,-0.07132828711900001
ACH-000281,-0.540788142484
ACH-000288,-0.08675945308790001
ACH-000291,-0.04978473977109999
ACH-000293,-0.324225338972
ACH-000294,-0.22775310596700002
ACH-000295,0.07956029943819999
ACH-000296,-0.446172768119
ACH-000302,-0.161526242003
ACH-000304,-0.09455286057769999
ACH-000307,-0.360426417606
ACH-000308,-0.211557083466
ACH-000310,-0.42508214679799994
ACH-000311,-0.195539276939
ACH-000312,-0.296975644253
ACH-000315,-0.262245293113
ACH-000316,-0.0142191083222
ACH-000317,-0.203520988956
ACH-000318,-0.123447565982
ACH-000319,-0.0738945090117
ACH-000320,-0.291362520872
ACH-000322,-0.19743174962299997
ACH-000323,-0.218066228214
ACH-000324,-0.172996773121
ACH-000329,-0.256105745883
ACH-000330,-0.388684978953
ACH-000331,-0.25162397770100003
ACH-000332,-0.239349857786
ACH-000334,-0.0274688138355
ACH-000335,-0.148677519254
ACH-000336,-0.208796348451
ACH-000337,-0.419108277122
ACH-000339,-0.18827198714499999
ACH-000341,-0.32108987158
ACH-000348,-0.217103406138
ACH-000350,-0.1633610293
ACH-000352,-0.313254409534
ACH-000356,-0.333254799214
ACH-000361,-0.277328226166
ACH-000362,-0.307548069008
ACH-000363,-0.326749149908
ACH-000364,-0.178752313087
ACH-000365,-0.234029151947
ACH-000366,-0.211836163305
ACH-000368,-0.292605055761
ACH-000374,-0.043412338182699996
ACH-000375,-0.257025730994
ACH-000376,-0.140097844351
ACH-000381,-0.058693172682699996
ACH-000383,-0.277239838796
ACH-000387,-0.172344980895
ACH-000389,-0.174310042293
ACH-000390,-0.129101934582
ACH-000393,-0.39969571280199995
ACH-000395,-0.286917513711
ACH-000397,-0.405161149753
ACH-000401,-0.278634183001
ACH-000402,-0.26926964479000004
ACH-000403,-0.24019528335299997
ACH-000404,-0.017187580173400004
ACH-000406,-0.13094599114
ACH-000407,-0.10883586829500001
ACH-000408,-0.32806799959399996
ACH-000410,-0.126794716612
ACH-000411,-0.24598337909200002
ACH-000414,-0.196817314689
ACH-000415,-0.21941644759599999
ACH-000416,-0.13986353168500001
ACH-000420,-0.362614217821
ACH-000421,-0.267547715111
ACH-000424,-0.5570353268899999
ACH-000425,-0.157621412105
ACH-000426,0.020357241898400002
ACH-000427,-0.06370399088550001
ACH-000433,-0.07537991143999999
ACH-000436,-0.10348127178099999
ACH-000444,-0.209769387839
ACH-000445,-0.0441537790613
ACH-000448,-0.289923829048
ACH-000450,-0.216070526248
ACH-000452,-0.393199950485
ACH-000454,-0.386424328566
ACH-000458,-0.432983882928
ACH-000459,0.0813127272607
ACH-000460,-0.16773950902999998
ACH-000461,-0.163862726442
ACH-000463,-0.281579176797
ACH-000464,0.040154061187999995
ACH-000466,-0.17678243372400002
ACH-000467,-0.319996417922
ACH-000468,-0.283790866277
ACH-000469,-0.23781206787099998
ACH-000470,-0.245944557777
ACH-000471,-0.0924643482694
ACH-000472,-0.22403689554
ACH-000473,-0.19898038917999997
ACH-000475,-0.222146325439
ACH-000476,-0.332793762888
ACH-000477,-0.0889784433283
ACH-000480,-0.152400075857
ACH-000481,-0.397763037274
ACH-000483,-0.061205441447099995
ACH-000484,-0.0059303831371
ACH-000485,-0.171211766534
ACH-000486,-0.18487816390700001
ACH-000487,-0.0364644515462
ACH-000488,-0.22560235409499999
ACH-000490,-0.174011684912
ACH-000491,-0.16035649680800002
ACH-000495,-0.477623120844
ACH-000496,-0.09894254976479999
ACH-000499,-0.292758346668
ACH-000500,-0.36783425896099997
ACH-000502,-0.282327412102
ACH-000503,-0.405324612209
ACH-000505,-0.325154673725
ACH-000507,-0.27953707768
ACH-000510,-0.100881334486
ACH-000511,-0.110801318781
ACH-000512,-0.471644728658
ACH-000516,-0.198280374468
ACH-000517,-0.234319617288
ACH-000518,-0.0953608472478
ACH-000520,-0.193423892615
ACH-000521,-0.316575419344
ACH-000522,-0.145012645086
ACH-000524,-0.21170823294100002
ACH-000527,-0.202708648161
ACH-000528,-0.296786524805
ACH-000537,-0.280405409289
ACH-000541,-0.07846269063689999
ACH-000542,-0.278948177237
ACH-000544,-0.24882198634
ACH-000545,-0.148213985926
ACH-000547,-0.0441210488187
ACH-000548,-0.155253507235
ACH-000549,-0.09741530502460001
ACH-000550,-0.286798336184
ACH-000552,-0.17754552058400003
ACH-000556,-0.11005088624600001
ACH-000557,-0.133640487623
ACH-000570,-0.342718496851
ACH-000571,-0.268721577441
ACH-000573,-0.231947724227
ACH-000576,-0.435622074659
ACH-000580,-0.08770279784320001
ACH-000584,-0.180001060986
ACH-000585,-0.323148506539
ACH-000588,-0.159447666593
ACH-000589,-0.424714351805
ACH-000591,-0.05805924239569999
ACH-000593,-0.23829977523200002
ACH-000600,-0.280538487436
ACH-000601,-0.13080117656999998
ACH-000604,-0.18070475185600002
ACH-000605,-0.12645718790899999
ACH-000606,0.0592619242404
ACH-000608,-0.20674786074499998
ACH-000614,-0.141787773986
ACH-000616,-0.276112047626
ACH-000618,-0.14929664251299998
ACH-000619,-0.18046925614700002
ACH-000620,-0.10383025464
ACH-000621,-0.22402175828200002
ACH-000622,-0.136958823946
ACH-000623,-0.157683948815
ACH-000624,-0.29157768151700003
ACH-000627,-0.289127132856
ACH-000630,-0.6938277349199999
ACH-000632,-0.22501764587499998
ACH-000633,-0.29119165024
ACH-000637,-0.11797379323599999
ACH-000638,-0.407225319316
ACH-000646,-0.0690613330873
ACH-000647,-0.184358768699
ACH-000648,-0.0118153149511
ACH-000649,-0.261222604189
ACH-000651,-0.363305511636
ACH-000652,-0.478144436224
ACH-000653,-0.100943883427
ACH-000657,-0.169541653366
ACH-000658,-0.32874059046
ACH-000661,-0.15028866525999998
ACH-000662,-0.49803555795000004
ACH-000663,-0.250049606532
