,MNAT1 (4331)
ACH-000004,-1.23075634777
ACH-000007,-1.4262345840900001
ACH-000009,-1.17543124302
ACH-000011,-1.4816076444400001
ACH-000012,-1.09147606738
ACH-000013,-1.19811218089
ACH-000014,-1.28226782735
ACH-000015,-1.29455309977
ACH-000017,-0.451662892718
ACH-000018,-0.870488546056
ACH-000019,-0.661581409957
ACH-000021,-1.14561654862
ACH-000022,-1.06645290851
ACH-000025,-1.25516580068
ACH-000028,-0.938527663443
ACH-000030,-0.835762557875
ACH-000035,-1.23947135204
ACH-000036,-1.4578786648100002
ACH-000037,-1.3886408129700003
ACH-000039,-1.17696454309
ACH-000040,-0.843388409587
ACH-000041,-1.56292845859
ACH-000042,-1.13412861514
ACH-000045,-1.1308620407899999
ACH-000047,-0.9867829144410001
ACH-000052,-1.05872522139
ACH-000053,-1.2406339153000001
ACH-000054,-0.9768505777490001
ACH-000055,-0.9690218476100001
ACH-000060,-1.33770379947
ACH-000067,-1.05159767604
ACH-000070,-1.30867451213
ACH-000075,-0.9427429296340001
ACH-000078,-1.40959751021
ACH-000082,-0.7905763398160001
ACH-000085,-1.0026187497
ACH-000086,-1.1184715537999999
ACH-000087,-0.9640255365129999
ACH-000092,-1.01240597794
ACH-000095,-0.9628093001019999
ACH-000097,-1.01867096984
ACH-000098,-1.2458326067799999
ACH-000099,-1.00070052262
ACH-000108,-1.42764428307
ACH-000113,-0.9762460773010001
ACH-000115,-1.2642566919
ACH-000116,-1.14372417351
ACH-000118,-0.976015039362
ACH-000120,-1.06112866565
ACH-000123,-1.08213979624
ACH-000127,-0.7420781986730001
ACH-000128,-1.03507599065
ACH-000132,-1.10633631197
ACH-000133,-1.12484167835
ACH-000137,-1.3977132417700002
ACH-000138,-1.18049456987
ACH-000142,-1.0967192250700002
ACH-000143,-1.14720343163
ACH-000146,-1.21817934222
ACH-000148,-1.51004658493
ACH-000150,-0.951059093627
ACH-000152,-1.1050134934
ACH-000153,-1.7145161759999998
ACH-000159,-1.1619880730399998
ACH-000160,-0.636073619994
ACH-000163,-1.197703034
ACH-000167,-0.618164610369
ACH-000168,-1.2836120273
ACH-000169,-0.9662469844670001
ACH-000178,-1.0631483534200001
ACH-000182,-1.22487970884
ACH-000183,-1.3088984273200002
ACH-000188,-1.08510968545
ACH-000189,-1.32339986441
ACH-000190,-0.7159392718269999
ACH-000198,-1.05867047429
ACH-000204,-1.1752748727200002
ACH-000206,-0.593037860561
ACH-000207,-1.07694441453
ACH-000211,-1.17447822945
ACH-000215,-1.12958989348
ACH-000221,-1.10183662751
ACH-000222,-1.0873446672799998
ACH-000223,-1.02008849591
ACH-000226,-1.25493809193
ACH-000227,-1.06483222486
ACH-000228,-1.00397068861
ACH-000231,-1.0052656771600001
ACH-000232,-1.1964800495899999
ACH-000233,-1.0398289161499998
ACH-000234,-0.961344154507
ACH-000235,-1.06357461696
ACH-000237,-1.33119687033
ACH-000238,-1.2435028589700001
ACH-000243,-1.17938202409
ACH-000244,-0.97224394876
ACH-000246,-1.27555593395
ACH-000248,-0.9104385928350001
ACH-000250,-1.1530095706999999
ACH-000251,-1.11025004315
ACH-000253,-0.9900347367799999
ACH-000255,-0.9607336972759999
ACH-000256,-1.14749695262
ACH-000257,-1.04001952586
ACH-000258,-1.2207899172299999
ACH-000259,-1.07009744411
ACH-000260,-1.06128690245
ACH-000261,-1.10100209425
ACH-000262,-1.45832701155
ACH-000263,-0.9946512958079999
ACH-000264,-0.8859197701980001
ACH-000265,-1.22485494639
ACH-000266,-1.1622253527700002
ACH-000272,-1.161429351
ACH-000273,-1.3113904365
ACH-000274,-1.04839593058
ACH-000277,-0.6937772801440001
ACH-000278,-1.39258913483
ACH-000279,-1.37604812671
ACH-000280,-0.9640607700489999
ACH-000281,-1.34979247705
ACH-000288,-1.0722240817200002
ACH-000291,-1.2658213349299998
ACH-000293,-0.7459279367649999
ACH-000294,-1.4050954061
ACH-000295,-1.18479310941
ACH-000296,-0.9552223713019999
ACH-000302,-1.1129925359100001
ACH-000304,-1.2295618089700002
ACH-000307,-1.17483732437
ACH-000308,-0.999159887269
ACH-000310,-0.989184210058
ACH-000311,-0.898553161849
ACH-000312,-1.09945395491
ACH-000315,-1.38428399632
ACH-000316,-1.4114761483200002
ACH-000317,-1.5121567310600001
ACH-000318,-0.85764781119
ACH-000319,-1.08044229142
ACH-000320,-1.3679637189700002
ACH-000322,-0.907603969575
ACH-000323,-1.2521474014799998
ACH-000324,-1.08930228521
ACH-000329,-0.985896256469
ACH-000330,-1.01603668796
ACH-000331,-1.20266199312
ACH-000332,-0.934976521541
ACH-000334,-1.60717416516
ACH-000335,-0.9576754918200001
ACH-000336,-1.1952009628
ACH-000337,-1.31903415572
ACH-000339,-0.974017392466
ACH-000341,-0.9531567204000001
ACH-000348,-1.1045307305
ACH-000350,-0.8670058870880001
ACH-000352,-0.811492148237
ACH-000356,-1.2245439012600001
ACH-000361,-1.20180592565
ACH-000362,-1.18228653027
ACH-000363,-1.33186150972
ACH-000364,-1.03376264606
ACH-000365,-1.4967579347799997
ACH-000366,-1.2920311067899999
ACH-000368,-0.9751266198790001
ACH-000374,-1.1379417952700002
ACH-000375,-0.9896525757160001
ACH-000376,-1.1310541692899998
ACH-000381,-0.971007594418
ACH-000383,-1.05616907698
ACH-000387,-1.07941538676
ACH-000389,-0.904171479713
ACH-000390,-1.24088226395
ACH-000393,-1.36333086474
ACH-000395,-1.15860318893
ACH-000397,-0.7820546194269999
ACH-000401,-1.18106493998
ACH-000402,-1.3065347003899999
ACH-000403,-0.8888400015360001
ACH-000404,-1.5660499620200001
