,UTP23 (84294)
ACH-000004,-0.755221786531
ACH-000007,-1.1172148686399999
ACH-000009,-0.945189164615
ACH-000011,-1.14222260926
ACH-000012,-0.804573140644
ACH-000013,-0.8822355232100001
ACH-000014,-0.964182509067
ACH-000015,-0.752658922886
ACH-000017,-0.835361779322
ACH-000018,-0.525746639913
ACH-000019,-0.561958896105
ACH-000021,-0.780708533626
ACH-000022,-0.734822651866
ACH-000025,-0.585601613548
ACH-000028,-0.967311210898
ACH-000030,-0.949694858329
ACH-000035,-0.7166696277689999
ACH-000036,-0.862067829891
ACH-000037,-0.85600041454
ACH-000039,-0.745991744402
ACH-000040,-1.10195371106
ACH-000041,-0.8926597812870001
ACH-000042,-0.605279152237
ACH-000045,-0.8705348545739999
ACH-000047,-0.631945972226
ACH-000052,-0.7936235648350001
ACH-000053,-0.827004709629
ACH-000054,-0.8511313473100001
ACH-000055,-0.7979221141959999
ACH-000060,-0.6766482195769999
ACH-000067,-0.941477040025
ACH-000070,-0.8505391898929999
ACH-000075,-0.7829468857359999
ACH-000078,-0.831293478786
ACH-000082,-0.7509394265449999
ACH-000085,-0.7974616137289999
ACH-000086,-0.553392409388
ACH-000087,-0.827492468274
ACH-000092,-0.894912126728
ACH-000095,-0.7508002571619999
ACH-000097,-0.787995113744
ACH-000098,-0.7578096304590001
ACH-000099,-0.70432637046
ACH-000108,-0.91863170835
ACH-000113,-0.677575583924
ACH-000115,-0.531895610564
ACH-000116,-0.997256443587
ACH-000118,-0.804447588913
ACH-000120,-0.8060354027330001
ACH-000123,-0.7590794306029999
ACH-000127,-0.737587241568
ACH-000128,-0.9858650569930001
ACH-000132,-0.7792167301530001
ACH-000133,-0.9350177897740001
ACH-000137,-0.898582980186
ACH-000138,-0.85752531269
ACH-000142,-0.843979489349
ACH-000143,-0.9306022352140001
ACH-000146,-0.959967511636
ACH-000148,-0.8054179464769999
ACH-000150,-0.782479353775
ACH-000152,-1.03588519323
ACH-000153,-0.7034140287980001
ACH-000159,-0.914371235677
ACH-000160,-0.8228387455859999
ACH-000163,-0.870221506236
ACH-000167,-0.932982389168
ACH-000168,-0.791111231356
ACH-000169,-1.07001113113
ACH-000178,-0.8892047493790001
ACH-000182,-0.8906656361059999
ACH-000183,-0.8013972139830001
ACH-000188,-0.855464999726
ACH-000189,-0.7681508230769999
ACH-000190,-0.538224108207
ACH-000198,-0.717170192887
ACH-000204,-0.9036603531790001
ACH-000206,-1.0605947491
ACH-000207,-0.827219858274
ACH-000211,-0.790437265897
ACH-000215,-0.927522293384
ACH-000221,-0.8326758306540001
ACH-000222,-0.777736621093
ACH-000223,-0.637063697181
ACH-000226,-0.867935234741
ACH-000227,-0.7351326645909999
ACH-000228,-0.64895591947
ACH-000231,-0.890233100844
ACH-000232,-1.01260913207
ACH-000233,-1.04346660948
ACH-000234,-0.8765205319320001
ACH-000235,-0.7978011410699999
ACH-000237,-0.8328771267139999
ACH-000238,-0.661618532095
ACH-000243,-0.954616805728
ACH-000244,-0.902651694194
ACH-000246,-0.696024889622
ACH-000248,-0.680309996612
ACH-000250,-0.79040794082
ACH-000251,-1.29737667763
ACH-000253,-0.8997908634049999
ACH-000255,-0.6924190928689999
ACH-000256,-1.2011072173000001
ACH-000257,-0.852504625661
ACH-000258,-1.51422850343
ACH-000259,-0.924972579506
ACH-000260,-1.16717056574
ACH-000261,-1.0036490913
ACH-000262,-0.709405621545
ACH-000263,-0.491329968194
ACH-000264,-0.788332378518
ACH-000265,-0.6814866698350001
ACH-000266,-0.7015946174269999
ACH-000272,-0.8693328008169999
ACH-000273,-1.11509070067
ACH-000274,-0.957464760088
ACH-000277,-0.884167535872
ACH-000278,-0.8429488064990001
ACH-000279,-0.6898481961290001
ACH-000280,-0.6874700916329999
ACH-000281,-0.9606025125740001
ACH-000288,-0.583898057025
ACH-000291,-0.869111952798
ACH-000293,-0.951168196551
ACH-000294,-1.25742888988
ACH-000295,-0.41870513145000005
ACH-000296,-0.886308984954
ACH-000302,-0.994806550279
ACH-000304,-0.783832751883
ACH-000307,-0.8869178619949999
ACH-000308,-0.72621522834
ACH-000310,-1.04909566741
ACH-000311,-0.9275251444410001
ACH-000312,-0.9066604418109999
ACH-000315,-1.04395080713
ACH-000316,-1.04706293674
ACH-000317,-0.9703174353640001
ACH-000318,-0.8731039031000001
ACH-000319,-0.8127234791769999
ACH-000320,-0.8918016964959999
