,LIX1L (128077)
ACH-000004,-0.213580741468
ACH-000007,-0.176663979014
ACH-000009,-0.503344193636
ACH-000011,-0.0999964671249
ACH-000012,-0.364864751603
ACH-000013,-0.172064320671
ACH-000014,-0.226736085236
ACH-000015,-0.226444165939
ACH-000017,-0.152933543329
ACH-000018,-0.350426437438
ACH-000019,-0.356522574043
ACH-000021,-0.273751544406
ACH-000022,-0.105634955383
ACH-000025,-0.21530599341099999
ACH-000028,-0.290429291674
ACH-000030,-0.260942646195
ACH-000035,-0.27788405399599997
ACH-000036,-0.289059098951
ACH-000037,-0.044835093470000004
ACH-000039,-0.197676341901
ACH-000040,-0.273862988191
ACH-000041,-0.226862320514
ACH-000042,-0.267184729963
ACH-000045,-0.04411980074630001
ACH-000047,-0.11548355881899999
ACH-000052,-0.0573872397762
ACH-000053,-0.390717792756
ACH-000054,-0.07900914444410001
ACH-000055,-0.139962711046
ACH-000060,-0.163977394488
ACH-000067,0.106555187814
ACH-000070,-0.12276018169299999
ACH-000075,-0.311245761654
ACH-000078,-0.235269479771
ACH-000082,-0.27092803673
ACH-000085,-0.328770849468
ACH-000086,-0.40051818584700005
ACH-000087,-0.232949722566
ACH-000092,-0.262189409935
ACH-000095,-0.12199308040899999
ACH-000097,-0.177660591285
ACH-000098,-0.288429163244
ACH-000099,-0.16694567752
ACH-000108,-0.0377830769099
ACH-000113,-0.187310596185
ACH-000115,-0.146107988761
ACH-000116,-0.163337893509
ACH-000118,-0.225822411049
ACH-000120,-0.120031917198
ACH-000123,-0.21421168442299998
ACH-000127,-0.203292501418
ACH-000128,-0.12327390661800001
ACH-000132,-0.13246642972
ACH-000133,-0.387084209265
ACH-000137,-0.118381527759
ACH-000138,-0.143925791542
ACH-000142,-0.37043693163
ACH-000143,-0.125984450469
ACH-000146,-0.267469638024
ACH-000148,-0.153172871195
ACH-000150,-0.237396472283
ACH-000152,-0.346864080414
ACH-000153,-0.175851338119
ACH-000159,-0.14337691012599998
ACH-000160,-0.160141913267
ACH-000163,-0.292363232998
ACH-000167,-0.341381348984
ACH-000168,-0.28482098205
ACH-000169,-0.244888716133
ACH-000178,-0.0884911366865
ACH-000182,-0.125700498769
ACH-000183,0.0469326888852
ACH-000188,-0.246284898647
ACH-000189,-0.12167539212799999
ACH-000190,-0.351799834736
ACH-000198,-0.266270980652
ACH-000204,-0.60826863985
ACH-000206,-0.0627638226461
ACH-000207,-0.37368768052
ACH-000211,-0.09327069245110002
ACH-000215,-0.271876472939
ACH-000221,-0.168490595574
ACH-000222,-0.253062347359
ACH-000223,-0.481083883988
ACH-000226,-0.262396852118
ACH-000227,-0.019487437767900004
ACH-000228,-0.157608267885
ACH-000231,-0.197372116877
ACH-000232,-0.27957856303899997
ACH-000233,-0.167184884522
ACH-000234,-0.09110601067119999
ACH-000235,-0.253615982814
ACH-000237,-0.11601746076099999
ACH-000238,-0.169954094161
ACH-000243,-0.254532249251
ACH-000244,-0.35797719796300004
ACH-000246,-0.24406962063999998
ACH-000248,-0.27271365054
ACH-000250,-0.168200659763
ACH-000251,-0.197568654552
ACH-000253,-0.332522964349
ACH-000255,-0.150050541054
ACH-000256,-0.210588972113
ACH-000257,-0.0205997249334
ACH-000258,-0.054395793716699996
ACH-000259,0.027226056659
ACH-000260,-0.248860171189
ACH-000261,-0.0896507796651
ACH-000262,-0.147398146777
ACH-000263,-0.0156696712839
ACH-000264,-0.279744018142
ACH-000265,-0.12021748705299999
ACH-000266,-0.285086601708
ACH-000272,-0.206158062932
ACH-000273,-0.49149271084799995
ACH-000274,-0.111763737021
ACH-000277,-0.177850261032
