,ARSA (410)
ACH-000004,-0.227626882904
ACH-000007,-0.382858254899
ACH-000009,-0.358556949597
ACH-000011,-0.330108710832
ACH-000012,-0.333948437657
ACH-000013,-0.49395646096100004
ACH-000014,-0.177460335824
ACH-000015,-0.314012273444
ACH-000017,-0.553159824745
ACH-000018,-0.42312749350699996
ACH-000019,-0.235696056133
ACH-000021,-0.309407972495
ACH-000022,-0.292242364673
ACH-000025,-0.39488202482900003
ACH-000028,-0.182941790042
ACH-000030,-0.47222806578500004
ACH-000035,-0.241037297013
ACH-000036,-0.466098261729
ACH-000037,-0.344376258898
ACH-000039,-0.26811644344999996
ACH-000040,-0.377855877
ACH-000041,-0.33263634825800004
ACH-000042,-0.387769549463
ACH-000045,-0.31585655917399996
ACH-000047,-0.340212444197
ACH-000052,-0.0302169991619
ACH-000053,-0.281959351545
ACH-000054,-0.265062948586
ACH-000055,-0.07285325718260001
ACH-000060,-0.476131105473
ACH-000067,-0.36472033278099997
ACH-000070,-0.302520982771
ACH-000075,-0.188578412127
ACH-000078,-0.218221776279
ACH-000082,-0.427453200938
ACH-000085,-0.604866482206
ACH-000086,-0.22203162938499998
ACH-000087,-0.48824905776999994
ACH-000092,-0.27826407498000005
ACH-000095,-0.299882261632
ACH-000097,-0.233231588678
ACH-000098,-0.239725642091
ACH-000099,-0.327574042884
ACH-000108,-0.433301965338
ACH-000113,-0.341015211651
ACH-000115,-0.23875743655499998
ACH-000116,-0.35511380095
ACH-000118,-0.286790396439
ACH-000120,-0.447279327415
ACH-000123,-0.305493969776
ACH-000127,-0.198655434298
ACH-000128,-0.417249634305
ACH-000132,-0.467750387928
ACH-000133,-0.206353110232
ACH-000137,-0.296543360544
ACH-000138,-0.171680099738
ACH-000142,-0.24915132960499997
ACH-000143,-0.395286385172
ACH-000146,-0.42573647835999995
ACH-000148,-0.266944023624
ACH-000150,-0.406713040381
ACH-000152,-0.144779106177
ACH-000153,0.53651754373
ACH-000159,-0.1474225904
ACH-000160,-0.27543006208
ACH-000163,-0.15920996785900002
ACH-000167,0.049703138213800006
ACH-000168,-0.150235035208
ACH-000169,-0.470215083791
ACH-000178,-0.47116073879299997
ACH-000182,-0.215047053754
ACH-000183,-0.592988871555
ACH-000188,-0.347275693301
ACH-000189,-0.0573937043521
ACH-000190,0.05760928782790001
ACH-000198,-0.43618691630199996
ACH-000204,-0.30227552287799997
ACH-000206,-0.42773653892200003
ACH-000207,-0.21747406027199997
ACH-000211,-0.501909972679
ACH-000215,-0.396476537848
ACH-000221,-0.0951448133439
ACH-000222,-0.324713037145
ACH-000223,-0.24635774350099998
ACH-000226,-0.291773104863
ACH-000227,-0.778477042537
ACH-000228,-0.232547005768
ACH-000231,-0.41754660689900003
ACH-000232,-0.31083407654399997
ACH-000233,-0.304805003645
ACH-000234,-0.5104157744960001
ACH-000235,-0.345569320075
ACH-000237,-0.28893789229600003
ACH-000238,-0.467819531647
ACH-000243,-0.26323737953000004
ACH-000244,-0.504085539085
ACH-000246,-0.36041607407799997
ACH-000248,-0.222965252625
ACH-000250,-0.44006750141400003
ACH-000251,-0.6769514224969999
ACH-000253,-0.548899227311
ACH-000255,-0.168601878019
ACH-000256,-0.385329113984
ACH-000257,0.008410314262359999
ACH-000258,-0.34062504973499996
ACH-000259,-0.232859574197
ACH-000260,-0.283168366032
ACH-000261,-0.370427907615
ACH-000262,-0.44405175656400003
ACH-000263,-0.43460443651999997
ACH-000264,-0.45553878053400004
ACH-000265,-0.228388050892
ACH-000266,-0.458804403411
ACH-000272,-0.485600200993
ACH-000273,-0.479379272155
ACH-000274,-0.548242340399
ACH-000277,-0.31039707496
ACH-000278,-0.431612333372
ACH-000279,-0.37334923116700003
ACH-000280,-0.445216689696
ACH-000281,-0.380553579591
ACH-000288,-0.387969934937
ACH-000291,-0.48010366767800006
ACH-000293,-0.156230258687
ACH-000294,-0.10913319007899999
ACH-000295,-0.33740238412100004
ACH-000296,-0.37626745984399995
ACH-000302,-0.125260734058
ACH-000304,-0.449951395442
ACH-000307,-0.293998098743
ACH-000308,-0.39091764859800004
ACH-000310,-0.11380114090500001
ACH-000311,-0.422220906542
ACH-000312,-0.260772882854
ACH-000315,-0.408471123387
ACH-000316,-0.221545349628
ACH-000317,-0.233994755001
ACH-000318,-0.255843451453
ACH-000319,-0.497954140634
ACH-000320,0.103421988193
ACH-000322,-0.15949357185000002
ACH-000323,-0.41196113979500004
ACH-000324,-0.41178165445799997
ACH-000329,-0.501542420119
ACH-000330,-0.167192428299
ACH-000331,-0.299495820671
ACH-000332,-0.40398776570699996
ACH-000334,-0.18785691825599998
ACH-000335,-0.27078436112599996
ACH-000336,0.154014629263
ACH-000337,-0.5894478229569999
ACH-000339,-0.24477814590100003
ACH-000341,-0.163689159528
ACH-000348,-0.36223940824
ACH-000350,-0.393269105678
ACH-000352,-0.23023229469300002
ACH-000356,-0.18609334783599998
ACH-000361,-0.12370106917899999
ACH-000362,-0.180384802606
ACH-000363,-0.590276906631
