,PLAU (5328)
ACH-000004,-0.07128207548210001
ACH-000007,0.286097537284
ACH-000009,-0.0983006066168
ACH-000011,-0.058054632156699995
ACH-000012,-0.146343561145
ACH-000013,-0.08396771836989998
ACH-000014,-0.182609561986
ACH-000015,-0.153123772651
ACH-000017,-0.08327319182839998
ACH-000018,-0.222741550005
ACH-000019,-0.141984984226
ACH-000021,-0.0030221749165500003
ACH-000022,-0.11019577028
ACH-000025,-0.123678161326
ACH-000028,-0.049377940441500005
ACH-000030,-0.33257680519
ACH-000035,-0.127178949044
ACH-000036,0.0319933183346
ACH-000037,-0.0635550817855
ACH-000039,0.0851531532392
ACH-000040,-0.0885190721905
ACH-000041,-0.242123690042
ACH-000042,-0.106333820355
ACH-000045,-0.162174086389
ACH-000047,-0.0359745458751
ACH-000052,-0.39881914241599997
ACH-000053,-0.018536411157
ACH-000054,-0.106696464505
ACH-000055,-0.13857155281199998
ACH-000060,0.0225014674415
ACH-000067,-0.104345600069
ACH-000070,-0.294773843923
ACH-000075,0.0786693763528
ACH-000078,-0.0735432805655
ACH-000082,-0.06289424842500001
ACH-000085,-0.254990455061
ACH-000086,-0.200876649859
ACH-000087,-0.242480981946
ACH-000092,0.008325511857439998
ACH-000095,-0.0589801716473
ACH-000097,-0.00569832238409
ACH-000098,-0.10204700045399999
ACH-000099,-0.05884209699680001
ACH-000108,-0.155614898189
ACH-000113,-0.032593120279
ACH-000115,0.127199895098
ACH-000116,0.0377298119162
ACH-000118,-0.09706082001980001
ACH-000120,-0.165182428118
ACH-000123,-0.00508307472561
ACH-000127,-0.15429396704099999
ACH-000128,-0.110063232684
ACH-000132,-0.0623717841956
ACH-000133,-0.270202255568
ACH-000137,-0.0676038421563
ACH-000138,-0.0226994329408
ACH-000142,0.0296841240034
ACH-000143,-0.30812651967
ACH-000146,-0.040507741041900004
ACH-000148,-0.12871977909
ACH-000150,-0.18977027911
ACH-000152,-0.14157220749000002
ACH-000153,-0.140372406908
ACH-000159,0.09246615599989999
ACH-000160,-0.289174401092
ACH-000163,-0.0538509431348
ACH-000167,0.36252510632
ACH-000168,-0.169622747489
ACH-000169,-0.032999503837599996
ACH-000178,-0.026240454730599997
ACH-000182,-0.116913965102
ACH-000183,-0.19348341155499998
ACH-000188,-0.122059284817
ACH-000189,-0.073615528799
ACH-000190,-0.129744881799
ACH-000198,-0.182828389007
ACH-000204,0.0521499265331
ACH-000206,-0.0884162356233
ACH-000207,-0.14751815497600002
ACH-000211,-0.00970985873019
ACH-000215,-0.0009611470487939999
ACH-000221,-0.14048729775399998
ACH-000222,0.120864722216
ACH-000223,-0.14164040641200001
ACH-000226,-0.175177918276
ACH-000227,-0.293773388125
ACH-000228,-0.17102421884100003
ACH-000231,-0.12334363281199999
ACH-000232,-0.052611095435499994
ACH-000233,-0.0889239639495
ACH-000234,-0.156074664295
ACH-000235,-0.0763022221582
ACH-000237,-0.161405851867
ACH-000238,-0.0396345056795
ACH-000243,-0.0668455096819
ACH-000244,-0.0211601092388
ACH-000246,0.051511741323100005
ACH-000248,-0.154662953446
ACH-000250,-0.0014821230072200001
ACH-000251,-0.119008014014
ACH-000253,-0.140124654641
ACH-000255,-0.24331947600499998
ACH-000256,-0.163519124365
ACH-000257,-0.019125533541000002
ACH-000258,-0.339582021302
ACH-000259,-0.10405231690500001
ACH-000260,0.0327025059902
ACH-000261,-0.169806999861
ACH-000262,-0.0295139295418
ACH-000263,-0.276543708248
ACH-000264,-0.079362920648
ACH-000265,-0.051595876121100004
ACH-000266,-0.0449083634368
ACH-000272,-0.0250000555877
ACH-000273,0.0441827055984
ACH-000274,-0.0301963540252
ACH-000277,-0.11413930315300001
ACH-000278,0.00949093409418
ACH-000279,-0.20759930050099998
ACH-000280,-0.21618379268399998
ACH-000281,-0.204600382964
ACH-000288,-0.134278223386
ACH-000291,-0.057591241057799995
ACH-000293,-0.21727726387600002
ACH-000294,-0.271312628833
ACH-000295,-0.229461069619
ACH-000296,0.115479774781
ACH-000302,-0.214498812785
ACH-000304,-0.055584142828400004
ACH-000307,-0.026236139282
ACH-000308,-0.0493935416188
ACH-000310,-0.10924322062999998
ACH-000311,-0.0175927887922
ACH-000312,-0.182761423448
ACH-000315,-0.21837495977600002
ACH-000316,0.006369109469689999
ACH-000317,-0.045088306844300007
ACH-000318,-0.27244131648000003
ACH-000319,-0.132003871369
ACH-000320,-0.31552175299
ACH-000322,-0.14781806324400001
ACH-000323,-0.0119085073827
ACH-000324,-0.0888743815549
ACH-000329,-0.163826428848
ACH-000330,-0.271189794343
ACH-000331,-0.13928425650499998
ACH-000332,-0.101535157783
ACH-000334,-0.15427907224600002
ACH-000335,-0.00350365330336
ACH-000336,-0.15043604364
ACH-000337,-0.0673525859906
ACH-000339,-0.019641178033900003
ACH-000341,0.258519189865
ACH-000348,-0.0217929280515
ACH-000350,-0.0766925831554
ACH-000352,-0.0483180003352
ACH-000356,-0.186716028271
ACH-000361,0.062115267544
ACH-000362,-0.08433593007500001
ACH-000363,-0.049799691759
ACH-000364,-0.09058465333599999
ACH-000365,-0.0706187884192
ACH-000366,-0.0710979730687
ACH-000368,-0.0486826078017
ACH-000374,-0.121499478307
ACH-000375,-0.12078355132200001
ACH-000376,-0.19176581990299998
ACH-000381,0.10675388877900001
ACH-000383,0.0136894451131
ACH-000387,-0.158843151598
ACH-000389,-0.18372208218199998
ACH-000390,-0.044006916259199995
ACH-000393,0.106433224381
ACH-000395,-0.167460437818
ACH-000397,0.042720200292100004
ACH-000401,-0.0261316046276
