,DBF4B (80174)
ACH-000004,-0.0959106784391
ACH-000007,0.0039382396887399996
ACH-000009,-0.302660837295
ACH-000011,-0.11721312833799999
ACH-000012,-0.18880814910100002
ACH-000013,-0.190350041226
ACH-000014,-0.268233014004
ACH-000015,0.09513959026589999
ACH-000017,-0.182300800607
ACH-000018,-0.0567472405222
ACH-000019,-0.175802665814
ACH-000021,-0.06888911145710001
ACH-000022,-0.16503084875600002
ACH-000025,-0.28548500016899997
ACH-000028,-0.07683015558180001
ACH-000030,-0.209556770429
ACH-000035,-0.251185153634
ACH-000036,-0.136353893575
ACH-000037,-0.12070203797199999
ACH-000039,-0.181363751351
ACH-000040,-0.159608069203
ACH-000041,-0.193846052971
ACH-000042,-0.131465823359
ACH-000045,-0.150606575893
ACH-000047,-0.181330393099
ACH-000052,0.24297364906
ACH-000053,-0.164928963857
ACH-000054,-0.0084471376528
ACH-000055,-0.24435286178399998
ACH-000060,-0.162433906511
ACH-000067,-0.12046720633199999
ACH-000070,-0.144393633887
ACH-000075,-0.048382802147699994
ACH-000078,-0.21480424737300002
ACH-000082,-0.200667354263
ACH-000085,-0.060508062341300003
ACH-000086,-0.142671322117
ACH-000087,0.030236825558400002
ACH-000092,-0.191865428787
ACH-000095,-0.10092310430500001
ACH-000097,-0.100702946383
ACH-000098,-0.134299953052
ACH-000099,-0.198209439908
ACH-000108,-0.0437754899138
ACH-000113,-0.0228007015864
ACH-000115,0.00010004270770499999
ACH-000116,-0.131449736387
ACH-000118,-0.229861402359
ACH-000120,-0.26768948313200003
ACH-000123,-0.110418362483
ACH-000127,0.07227907105010001
ACH-000128,-0.11741472074
ACH-000132,-0.184166382135
ACH-000133,-0.211815612431
ACH-000137,-0.0352583530173
ACH-000138,-0.284168260413
ACH-000142,-0.245822076197
ACH-000143,-0.10575816933
ACH-000146,0.0312014497309
ACH-000148,-0.158612225765
ACH-000150,-0.461069889248
ACH-000152,-0.25447920778
ACH-000153,0.212163822665
ACH-000159,-0.0816216243966
ACH-000160,-0.10985326019099999
ACH-000163,-0.0203957246422
ACH-000167,-0.0291921603603
ACH-000168,0.007299474869819999
ACH-000169,-0.18808569792
ACH-000178,-0.118127970353
ACH-000182,-0.011104779026799998
ACH-000183,0.05395716371190001
ACH-000188,-0.192729067353
ACH-000189,-0.299097987952
ACH-000190,-0.131023948774
ACH-000198,-0.101873076918
ACH-000204,-0.0403823071168
ACH-000206,-0.172296896544
ACH-000207,-0.158444693717
ACH-000211,-0.278743470929
ACH-000215,-0.206448055748
ACH-000221,0.07477519162139999
ACH-000222,-0.0408469818939
ACH-000223,-0.17466154449299998
ACH-000226,-0.024846296244099998
ACH-000227,-0.43359604659900003
ACH-000228,-0.0924428088095
ACH-000231,-0.07280612939610001
ACH-000232,-0.150529283773
ACH-000233,-0.0278355597762
ACH-000234,0.0313731915775
ACH-000235,-0.12268447757
