,UTP11L (51118)
ACH-000004,-0.789639763195
ACH-000007,-0.8190569876880001
ACH-000009,-1.0556399336799998
ACH-000011,-0.941917194595
ACH-000012,-0.805796934684
ACH-000013,-0.755703813084
ACH-000014,-0.8575228942569999
ACH-000015,-0.636800055865
ACH-000017,-0.889062125122
ACH-000018,-0.5132358801820001
ACH-000019,-1.08755645463
ACH-000021,-0.627816655524
ACH-000022,-0.875862093149
ACH-000025,-0.8763448862540001
ACH-000028,-0.7046548309990001
ACH-000030,-0.8304551157
ACH-000035,-0.8454050169539999
ACH-000036,-0.7036599491429999
ACH-000037,-1.02798751609
ACH-000039,-0.625527618807
ACH-000040,-0.740310647087
ACH-000041,-0.713121264488
ACH-000042,-0.6620735654600001
ACH-000045,-0.8021405257080001
ACH-000047,-0.762101741403
ACH-000052,-1.14078867567
ACH-000053,-0.860115977807
ACH-000054,-0.7160096414399999
ACH-000055,-0.721245264695
ACH-000060,-1.01055138595
ACH-000067,-0.9165867490200001
ACH-000070,-0.998476529313
ACH-000075,-0.829586487958
ACH-000078,-0.640306737355
ACH-000082,-0.925002772257
ACH-000085,-0.831380882666
ACH-000086,-0.7280005694499999
ACH-000087,-0.627338212801
ACH-000092,-0.7893559005290001
ACH-000095,-0.825887667228
ACH-000097,-0.736790791074
ACH-000098,-0.643679411992
ACH-000099,-0.989643701146
ACH-000108,-0.8696915496170001
ACH-000113,-0.709554100599
ACH-000115,-0.865214760783
ACH-000116,-0.630281175545
ACH-000118,-0.590032327438
ACH-000120,-0.964440963134
ACH-000123,-0.818622034381
ACH-000127,-0.792636166013
ACH-000128,-0.768710064814
ACH-000132,-0.835332122599
ACH-000133,-0.653804198774
ACH-000137,-0.660761940388
ACH-000138,-0.686821505514
ACH-000142,-0.9350144317829999
ACH-000143,-0.443650261075
ACH-000146,-0.800027276744
ACH-000148,-0.744578018221
ACH-000150,-0.80443001141
ACH-000152,-0.5727506947550001
ACH-000153,-1.37128228896
ACH-000159,-0.7502346303499999
ACH-000160,-0.9731073400810001
ACH-000163,-0.551540667083
ACH-000167,-0.690699760812
ACH-000168,-0.960332286321
ACH-000169,-1.01309439317
ACH-000178,-0.631590783123
ACH-000182,-0.5609815509699999
ACH-000183,-0.907111601382
ACH-000188,-0.7320367526710001
ACH-000189,-0.612541684466
ACH-000190,-0.7747417072149999
ACH-000198,-0.941802018451
ACH-000204,-0.6786297097740001
ACH-000206,-0.742053557345
ACH-000207,-0.8399716067659999
ACH-000211,-0.6824235909399999
ACH-000215,-0.829900773655
ACH-000221,-0.7073226334020001
ACH-000222,-0.6135880902790001
ACH-000223,-0.617557793232
ACH-000226,-0.9100916827500001
ACH-000227,-0.928988971033
ACH-000228,-0.860510244014
ACH-000231,-0.794927482536
ACH-000232,-0.907342130064
ACH-000233,-0.620761470221
ACH-000234,-0.699874781471
ACH-000235,-0.8046154128399999
ACH-000237,-0.875267764573
ACH-000238,-0.7051563860600001
ACH-000243,-0.785217584857
ACH-000244,-0.875779985438
ACH-000246,-0.587737243607
ACH-000248,-0.658756568746
ACH-000250,-0.883749039185
ACH-000251,-0.290730289379
ACH-000253,-0.9446601832629999
ACH-000255,-0.967549547677
ACH-000256,-0.482211097958
ACH-000257,-0.84265377146
ACH-000258,-0.805502365008
ACH-000259,-0.781370084551
ACH-000260,-0.8891778138709999
ACH-000261,-0.62428770362
ACH-000262,-0.700941967617
ACH-000263,-0.9579989090530001
ACH-000264,-0.7532881060269999
ACH-000265,-0.790328303718
ACH-000266,-0.700639387518
ACH-000272,-0.894601598709
ACH-000273,-0.765651486928
ACH-000274,-0.865355572325
ACH-000277,-0.86036131885
ACH-000278,-0.83510249779
ACH-000279,-0.734700448739
ACH-000280,-0.58183081972
ACH-000281,-0.7987538541320001
ACH-000288,-0.7051418049089999
ACH-000291,-0.7866706387729999
ACH-000293,-0.542869692222
ACH-000294,-0.517784196476
ACH-000295,-0.869066908529
ACH-000296,-0.663452594287
ACH-000302,-0.661296250874
ACH-000304,-0.680718391928
ACH-000307,-0.955976599114
ACH-000308,-0.850282442606
ACH-000310,-1.25624456939
ACH-000311,-0.657173869632
ACH-000312,-0.905103228387
ACH-000315,-0.869080212254
ACH-000316,-0.749934268041
ACH-000317,-0.779881915475
