,LAD1 (3898)
ACH-000410,-0.139754273765
ACH-000411,0.165333289404
ACH-000414,0.041874653627400005
ACH-000415,-0.11640482596799999
ACH-000416,-0.0377153026805
ACH-000420,0.059866766941900004
ACH-000421,0.104621879948
ACH-000424,0.304621950119
ACH-000425,0.087246235965
ACH-000426,0.048165532612500006
ACH-000427,-0.043881883458900005
ACH-000433,0.065322702351
ACH-000436,0.0154483656185
ACH-000444,0.114969369611
ACH-000445,0.192489130781
ACH-000448,-0.015126485433700002
ACH-000450,0.157284902989
ACH-000452,-0.0315715758787
ACH-000454,-0.130802816054
ACH-000458,-0.0318005004253
ACH-000459,-0.045534208513199996
ACH-000460,0.018485624578599997
ACH-000461,-0.035535656035
ACH-000463,-0.0725378843154
ACH-000464,-0.0866826756086
ACH-000466,0.393088667006
ACH-000467,0.0879207089209
ACH-000468,0.0211073351305
ACH-000469,0.00816711631095
ACH-000470,0.102632738444
ACH-000471,0.0223617079828
ACH-000472,0.0439264547088
ACH-000473,0.265001044906
ACH-000475,0.110819407592
ACH-000476,-0.0313413021381
ACH-000477,0.351190266825
ACH-000480,0.006737874666810001
ACH-000481,0.00718951699503
ACH-000483,0.23652216608000004
ACH-000484,-0.04469528878719999
ACH-000485,0.0979495897105
ACH-000486,0.12689464126
ACH-000487,-0.045488427605099996
ACH-000488,0.057500362266800005
ACH-000490,0.0459352077341
ACH-000491,0.153756059993
ACH-000495,0.190210035012
ACH-000496,0.06065318532459999
ACH-000499,0.046983763966699996
ACH-000500,0.20363009085099998
ACH-000502,-0.00557799463584
ACH-000503,-0.022547635782800002
ACH-000505,-0.042469974139099996
ACH-000507,-0.0136409243977
ACH-000510,-0.0049156682546099995
ACH-000511,-0.053983471031
ACH-000512,0.0725381351358
ACH-000516,-0.041865193882
ACH-000517,0.110900323979
ACH-000518,-0.0806795599443
ACH-000520,0.078028085552
ACH-000521,-0.17390925748
ACH-000522,0.0096972953024
ACH-000524,0.0194828978095
ACH-000527,0.0840294053719
ACH-000528,0.0484637546552
ACH-000537,-0.0268456514974
ACH-000541,-0.025737487618499998
ACH-000542,-0.021633028643799998
ACH-000544,-0.0496592712935
ACH-000545,-0.10181468060599999
ACH-000547,0.0233711581407
ACH-000548,0.00468302533521
ACH-000549,0.0348058524307
ACH-000550,-0.00980661302186
ACH-000552,0.120952499925
ACH-000556,-0.10321011298800001
ACH-000557,-0.0655513301059
ACH-000570,0.046572016357699995
ACH-000571,0.0371634351321
ACH-000573,0.00876985304615
ACH-000576,-0.17537162686799998
ACH-000580,-0.0737148567883
ACH-000584,-0.0272070176442
ACH-000585,-0.0274002116937
ACH-000588,-0.157975120655
ACH-000589,0.023115411648900002
ACH-000591,-0.00304793772536
ACH-000593,-0.284362118375
ACH-000600,-0.0825035793068
ACH-000601,-0.0295855627092
ACH-000604,0.204775022161
ACH-000605,0.056173814799499996
ACH-000606,-0.0445855891321
ACH-000608,0.0672655730138
ACH-000614,0.025049106628900003
ACH-000616,-0.127780697118
ACH-000618,-0.0217494936031
ACH-000619,-0.029537480297300002
ACH-000620,0.294779487078
ACH-000621,0.0840577575949
ACH-000622,0.179218727247
ACH-000623,0.04828379952549999
ACH-000624,0.06839129488319999
ACH-000627,-0.06488601426519999
ACH-000630,-0.06274696079110001
ACH-000632,0.0177050936841
ACH-000633,0.0875037134535
ACH-000637,0.147099216403
ACH-000638,0.0467369460602
ACH-000646,0.115815887479
ACH-000647,-0.00444652053083
ACH-000648,-0.07482867547830001
ACH-000649,-0.0007697965802040001
ACH-000651,-0.0823887388647
ACH-000652,-0.08882881044160001
ACH-000653,0.183165924401
ACH-000657,-0.029335084618900005
ACH-000658,-0.0171945060455
ACH-000661,0.0360827653012
ACH-000662,-0.010799078557700001
ACH-000663,-0.0633768179147
ACH-000665,0.07620658084589998
ACH-000671,-0.194475295427
ACH-000673,-0.007568837431090001
ACH-000676,-0.0380594879591
ACH-000677,0.0999195878269
ACH-000681,0.0484197382249
ACH-000682,-0.10830211658700001
ACH-000683,-0.020853261414599998
ACH-000684,0.00896374414024
ACH-000688,0.11220111127900001
ACH-000693,0.09689005866419999
ACH-000694,0.0317601837366
ACH-000695,-0.170714469401
ACH-000696,0.042718569538599996
ACH-000697,-0.0659953208585
ACH-000699,0.111725425712
ACH-000701,0.105838106603
ACH-000706,-0.105225768932
ACH-000711,0.0686117531651
ACH-000713,-0.272207741347
ACH-000714,0.007699214688189999
ACH-000718,-0.0487758414329
ACH-000720,-0.0903112080015
ACH-000721,-0.0132998850347
ACH-000724,0.0268389382194
ACH-000725,-0.0708062199367
ACH-000732,0.377593351413
ACH-000734,0.0664776909801
ACH-000735,-0.102796773195
ACH-000736,0.0750190465532
ACH-000738,0.0642653462331
ACH-000746,0.28162861690200003
ACH-000747,-0.07808527833750001
ACH-000748,0.06270962657290001
ACH-000753,-0.13157347218
ACH-000756,-0.0677114124129
ACH-000757,-0.181014234553
ACH-000758,0.0513143774328
ACH-000760,0.140166211358
ACH-000763,0.0060640276595399995
ACH-000764,-0.105322731413
ACH-000765,-0.010434392978299999
ACH-000766,-0.027617660561599998
ACH-000767,-0.0418427403001
ACH-000768,0.13134904207
ACH-000769,-0.0104208649469
ACH-000770,0.0304844009187
ACH-000771,0.147860672936
ACH-000773,0.0336904922744
ACH-000776,0.015573459696200002
ACH-000777,0.16644604895600001
ACH-000778,0.0204777571571
ACH-000781,-0.0236180383355
ACH-000782,-0.24729669019699999
ACH-000783,0.165807195529
ACH-000784,-0.0213307210587
ACH-000785,0.0437718652604
ACH-000787,-0.000317357111149
ACH-000788,0.054731906524800006
ACH-000791,-0.0387809857929
ACH-000792,-0.014764622282499999
ACH-000794,0.11367509635399999
ACH-000796,0.279805977922
ACH-000799,0.0294907173598
ACH-000800,-0.172100258828
ACH-000802,0.10284076638299999
ACH-000804,0.053373386022699996
ACH-000805,0.00863716636822
ACH-000809,0.0419902864855
ACH-000810,0.0277811490117
ACH-000811,0.0516079106819
ACH-000817,0.016248144324900002
ACH-000819,-0.0431662617838
ACH-000820,-0.188402352521
ACH-000821,0.138731192084
ACH-000822,0.100603497059
ACH-000823,-0.122036182947
ACH-000824,0.023209842964400002
ACH-000827,0.071784088126
ACH-000829,-0.031403976005899996
ACH-000831,0.0714276824847
ACH-000832,0.00239256697829
ACH-000833,-0.32678295781100003
ACH-000834,0.185482774381
ACH-000835,0.0850027648009
ACH-000836,-0.0515316871796
ACH-000837,0.0492040071583
ACH-000838,0.150524594028
ACH-000839,-0.296967211647
